"敌人ID","日本敌人名称","入队概率分母","基础入队概率","队友ID","日本队友名称","中文敌人名称","中文队友名称"
"638","舞のアリス","20","1/20（5.00%）","725","舞のアリス","舞之爱丽丝","舞之爱丽丝"
"639","呪のアリス","20","1/20（5.00%）","727","呪のアリス","咒之爱丽丝","咒之爱丽丝"
"640","兎のアリス","20","1/20（5.00%）","728","兎のアリス","兔之爱丽丝","兔之爱丽丝"
"642","蝕のアリス","20","1/20（5.00%）","714","蝕のアリス","蚀之爱丽丝","蚀之爱丽丝"
"643","海のアリス","20","1/20（5.00%）","726","海のアリス","海之爱丽丝","海之爱丽丝"
"644","魔のアリス","20","1/20（5.00%）","729","魔のアリス","魔之爱丽丝","魔之爱丽丝"
"650","ヨモツシコメ","6","1/6（16.67%）","476","モコメ","黄泉丑女","黄泉女"
"651","フェルメサーラ","8","1/8（12.50%）","477","フェルメサーラ","拉之子美西芙","拉之子美西芙"
"652","エンジェルグール","8","1/8（12.50%）","478","ユリアレスカ","天使食尸鬼","尤莉亚雷斯卡"
"653","ドラゴンゾンビ娘","10","1/10（10.00%）","479","ドルバレル","僵尸龙娘","多尔巴雷尔"
"655","ドッペルエリート","8","1/8（12.50%）","505","ルカ・ドッペル","克隆体精英","鲁卡・克隆体"
"656","サルラック娘","10","1/10（10.00%）","480","ラック","沙拉克娘","拉克"
"662","シリエル","6","1/6（16.67%）","481","シリエル","希莉艾尔","希莉艾尔"
"663","エグエル","8","1/8（12.50%）","482","エグエル","艾格艾尔","艾格艾尔"
"664","キメラチャリオッツ","8","1/8（12.50%）","483","チェリオ","奇美拉战车","切里奥"
"665","ナイトロイド","8","1/8（12.50%）","484","レイローズ","骑士机器人","蕾洛斯"
"666","アサシンロイド","8","1/8（12.50%）","485","ミネビア","刺客机器人","米涅比亚"
"668","ユリエル","8","1/8（12.50%）","486","ユリエル","尤莉艾尔","尤莉艾尔"
"669","メルシエル","8","1/8（12.50%）","487","メルシエル","梅尔希艾尔","梅尔希艾尔"
"670","セバスイール","10","1/10（10.00%）","488","セバスイール","塞巴西艾尔","塞巴西艾尔"
"676","ホルミエル","10","1/10（10.00%）","489","ホルミエル","霍尔米艾尔","霍尔米艾尔"
"677","アプティエル","10","1/10（10.00%）","490","アプティエル","阿普蒂艾尔","阿普蒂艾尔"
"678","クリオネラ","10","1/10（10.00%）","491","クリオネラ","海天使","海天使"
"679","ロズニエル","10","1/10（10.00%）","492","ロズニエル","罗兹尼艾尔","罗兹尼艾尔"
"680","キュビエル","10","1/10（10.00%）","493","キュビエル","丘比艾尔","丘比艾尔"
"681","ワミエル","10","1/10（10.00%）","494","ワミエル","瓦米艾尔","瓦米艾尔"
"691","フェンリル","4","1/4（25.00%）","606","レラ","芬里尔","蕾拉"
"692","ガルキマセラ","6","1/6（16.67%）","607","ユージィー","月笛恶魔","尤吉"
"693","グレートオーク","6","1/6（16.67%）","608","グレッタ","巨兽人","格蕾塔"
"694","ランキュバス","6","1/6（16.67%）","609","リージュ","枪兵魅魔","莉茱"
"695","リーキュバス","6","1/6（16.67%）","610","ミラノ","贪吸魅魔","米拉娜"
"697","バフォメット","8","1/8（12.50%）","612","バフォム","巴风特","巴风姆"
"698","くだん","8","1/8（12.50%）","613","くだん","件","件"
"699","ヴェルラウネ","6","1/6（16.67%）","614","ヴェルベラ","丝绒娜温","维尔贝拉"
"700","ネペンデス","6","1/6（16.67%）","615","スミレ","食人花","堇"
"701","薔薇貴族","8","1/8（12.50%）","616","ローザ","蔷薇贵族","罗萨"
"706","ボムスライム","6","1/6（16.67%）","617","ボムボム","炸弹史莱姆","嘣嘣"
"707","リキュルスライム","6","1/6（16.67%）","618","リキュルン","利口酒史莱姆","利口伦"
"708","スライムプリンセス","8","1/8（12.50%）","619","プリン","史莱姆公主","布丁"
"709","アスラ","8","1/8（12.50%）","620","アスラ","阿修罗","阿修罗"
"710","ギガスライム","8","1/8（12.50%）","621","マキス","千兆史莱姆","马基斯"
"713","ラミアンナイトメア","8","1/8（12.50%）","622","レオノーラ","梦魇拉米亚","莱奥诺拉"
"714","ロードメデューサ","8","1/8（12.50%）","623","クローラント","美杜莎领主","克罗兰"
"715","パンドラ","10","1/10（10.00%）","624","パンドラ","潘多拉","潘多拉"
"718","ウツボ娘","4","1/4（25.00%）","625","ニョロ","海鳝娘","扭扭"
"719","アンシェントスキュラ","8","1/8（12.50%）","626","アンモナ","古代斯库拉","阿蒙娜"
"724","三口あかなめ","6","1/6（16.67%）","627","さより","三口垢舐鬼","纱世里"
"725","猫神","6","1/6（16.67%）","628","ヒメ","猫神","姬"
"726","銀鬼","6","1/6（16.67%）","629","ウメ","银鬼","梅"
"727","陰陽蠍","6","1/6（16.67%）","630","エミシ","阴阳蝎","艾米希"
"729","ケット・シー","8","1/8（12.50%）","631","ケット・シー","凯西猫","凯西猫"
"730","ガルフォックス","8","1/8（12.50%）","632","フォキシー","伽利狐","芙克斯"
"732","ジュラエイビス","8","1/8（12.50%）","633","ジュラ","侏罗龙鸟","侏罗"
"733","マルコシアス娘","8","1/8（12.50%）","634","ヴィオラ","马可西亚斯娘","维奥拉"
"736","ローキュバス","6","1/6（16.67%）","635","ロビリッチ","领主魅魔","萝比里奇"
"737","テスタロッサ","8","1/8（12.50%）","636","ロッサ","特斯塔罗飒","罗飒"
"738","上級海賊マーメイド","6","1/6（16.67%）","637","マミ","高级海贼人鱼","麻美"
"739","グレイトマーマン","8","1/8（12.50%）","638","セドナ","巨型人鱼","赛德娜"
"742","ギガドライアド","10","1/10（10.00%）","639","エレグランテ","千兆树精","伊蕾格兰特"
"745","アルキュバス","6","1/6（16.67%）","640","アルキュール","炼金魅魔","阿尔库尔"
"746","レスキュバス","6","1/6（16.67%）","641","ヴェイユ","丝带魅魔","韦伊"
"747","グラナバス","8","1/8（12.50%）","642","グレイヌ","熟女魅魔","格蕾娜"
"753","ハーゲンベック","8","1/8（12.50%）","643","ハーゲンベック","哈根贝克","哈根贝克"
"755","サンタマリア","8","1/8（12.50%）","644","サンタマリア","圣玛利亚","圣玛利亚"
"757","切り裂きエリス","6","1/6（16.67%）","645","エリス","开膛手厄里斯","厄里斯"
"759","シャウトマータ","6","1/6（16.67%）","646","シャウト","咆哮人偶","肖特"
"760","ジャイアントセーラ","10","1/10（10.00%）","647","ジャイアントセーラ","巨人莎拉","巨人莎拉"
"762","パイズリ人形Mk.II","8","1/8（12.50%）","648","ズリン","パイズリ人形Mk.II","阿交"
"763","ラブマータ","8","1/8（12.50%）","649","ラブ","爱情人偶","爱"
"765","ブラヴァツキー","8","1/8（12.50%）","650","ブラヴァツキー","布拉瓦茨基","布拉瓦茨基"
"767","決戦人型兵器アグニ","10","1/10（10.00%）","651","アグニ","决战人型兵器阿耆尼","阿耆尼"
"768","快楽人形・雅姫","10","1/10（10.00%）","652","雅姫","快乐人偶・雅姬","雅姬"
"773","ナンキュバス","4","1/4（25.00%）","653","マヒナ","玉女魅魔","玛希娜"
"774","パビルサグ","6","1/6（16.67%）","654","スカルナ","帕皮尔萨格","斯卡鲁娜"
"775","マンイーター","8","1/8（12.50%）","655","ノン","食人者","诺恩"
"776","古代竜","10","1/10（10.00%）","656","シェンホー","古代龙","仙贺"
"782","ハイバフォメット","6","1/6（16.67%）","659","サバト","高阶巴风特","萨巴特"
"783","ローグエルフ","6","1/6（16.67%）","660","ミサミサ","叛逆精灵","米萨米萨"
"807","ガーゴイル娘","8","1/8（12.50%）","661","ガーゴー","石像鬼娘","伽格"
"808","アテナ","8","1/8（12.50%）","662","アテナ","雅典娜","雅典娜"
"812","阿吽","8","1/8（12.50%）","663","阿吽","阿吽","阿吽"
"813","ドラゴンヘッド","8","1/8（12.50%）","664","デアフリーゼ","龙首","德尔芙莉泽"
"814","モンストロ","10","1/10（10.00%）","665","トロ","巨鲸","特罗"
"815","シヴァ","8","1/8（12.50%）","666","シヴァ","湿婆","湿婆"
"817","ネプチューン","10","1/10（10.00%）","667","トリトン","尼普顿","特里同"
"818","タオ","10","1/10（10.00%）","668","タオ","道","道"
"819","モルボル娘","10","1/10（10.00%）","669","モルボ","魔界花娘","毛尔波"
"820","アルケオプテリクス","10","1/10（10.00%）","670","ガリア","阿尔凯奥普泰里克斯","加利亚"
"821","アスモデウス","10","1/10（10.00%）","671","アデウス","阿斯莫德","阿蒂斯"
"822","ヨルムンガンド","10","1/10（10.00%）","672","ヨルム","耶梦加得","耶梦"
"828","前鬼","6","1/6（16.67%）","432","前鬼","前鬼","前鬼"
"829","後鬼","6","1/6（16.67%）","433","後鬼","后鬼","后鬼"
"832","失墜の玉座","6","1/6（16.67%）","848","スローネ","失落王座","斯洛妮"
"833","ダブルアンデッド","6","1/6（16.67%）","849","ダブリン","双生不死族","都柏林"
"834","イズン","10","1/10（10.00%）","850","イズン","伊敦","伊敦"
"835","カースエンジェルズ","10","1/10（10.00%）","851","カースエンジェルズ","诅咒天使","诅咒天使"
"838","アルジェミニ","10","1/10（10.00%）","852","アルジェミニ","阿尔杰米妮","阿尔杰米妮"
"839","エルジェミニ","10","1/10（10.00%）","853","エルジェミニ","艾尔杰米妮","艾尔杰米妮"
"843","シェムハザ","10","1/10（10.00%）","854","シェムハザ","示米哈扎","示米哈扎"
"844","アグレイブ","10","1/10（10.00%）","855","アグレイブ","阿格雷夫","阿格雷夫"
"848","スターマ","10","1/10（10.00%）","856","スターマ","斯塔玛","斯塔玛"
"849","ラジャーラ","10","1/10（10.00%）","857","ラジャーラ","拉贾拉","拉贾拉"
"851","メギドリアード","10","1/10（10.00%）","858","メギー","米吉多树精","米婕"
"852","エグセラ","10","1/10（10.00%）","859","エグセラ","艾克撒拉","艾克撒拉"
"853","アプサラス","10","1/10（10.00%）","860","アプサラス","阿普萨拉丝","阿普萨拉丝"
"862","ゾルオクト","10","1/10（10.00%）","861","ゾルオクト","佐尔奥克托","佐尔奥克托"
"863","ティアマト","20","1/20（5.00%）","862","ティアマト","提亚玛特","提亚玛特"
"871","アプティルト","10","1/10（10.00%）","863","アプティルト","阿普蒂尔特","阿普蒂尔特"
"872","アムナリオ","20","1/20（5.00%）","864","アムナリオ","阿姆纳里奥","阿姆纳里奥"
"873","サマエル","10","1/10（10.00%）","865","サマエル","萨麦尔","萨麦尔"
"874","シャドウアサシン","10","1/10（10.00%）","866","シャドウ","影之刺客","暗影"
"875","正体不明","10","1/10（10.00%）","867","アナト","身份不明","阿娜特"
"876","正体不明","10","1/10（10.00%）","868","ベレニケ","身份不明","贝勒尼基"
"877","正体不明","10","1/10（10.00%）","869","ケレス","身份不明","克瑞斯"
"878","正体不明","10","1/10（10.00%）","870","ドゥルガー","身份不明","杜尔迦"
"879","正体不明","10","1/10（10.00%）","871","ロジェスティラ","身份不明","洛姬斯蒂拉"
"881","バンシィ","10","1/10（10.00%）","872","テティス","报丧女妖","忒提丝"
"882","ボアバンシィ","10","1/10（10.00%）","873","ネレイデス","嗜吞报丧女妖","涅瑞伊德斯"
"884","パズズ","10","1/10（10.00%）","874","パズズ","帕祖祖","帕祖祖"
"885","マステマ","10","1/10（10.00%）","875","マステマ","莫斯提马","莫斯提马"
"888","アメノハヅチ","10","1/10（10.00%）","876","アメノハヅチ","天羽槌","天羽槌"
"889","八尺様","10","1/10（10.00%）","877","八尺様","八尺大人","八尺大人"
"907","ゲシュタルト","10","1/10（10.00%）","878","ゲシュタルト","格式塔","格式塔"
"908","ハイブマインド","10","1/10（10.00%）","879","ハイブマインド","蜂巢思维","蜂巢思维"
"913","マダムラミア","10","1/10（10.00%）","880","ミルフ","拉米亚夫人","米露芙"
"922","サタナキア","10","1/10（10.00%）","881","サタナキア","萨塔妮基亚","萨塔妮基亚"
"923","ブラッディドラゴン","20","1/20（5.00%）","882","ブラディ","血龙","布拉迪"
"928","パイズリ人形終異体","10","1/10（10.00%）","883","パズン","乳交人偶终异体","派兹"
"929","アイアンメイデン終異体","10","1/10（10.00%）","884","エヴォル","铁处女终异体","埃沃珥"
"930","呪いの人形終異体","10","1/10（10.00%）","885","いおり","诅咒人偶终异体","伊织"
"932","マグダ","10","1/10（10.00%）","886","マグダ","玛格达","玛格达"
"933","シスエル","20","1/20（5.00%）","887","シスエル","希斯艾尔","希斯艾尔"
"934","アザゼル","10","1/10（10.00%）","888","アザゼル","阿撒兹勒","阿撒兹勒"
"935","グリゴリ","10","1/10（10.00%）","889","グリゴリ","守望者","守望者"
"944","奉仕種族","10","1/10（10.00%）","892","ディーピー","仆从种族","渊嗣"
"945","落とし子","20","1/20（5.00%）","893","クトゥ","眷族","克图"
"947","触手の眷属","10","1/10（10.00%）","894","ワーミィ","触手眷属","蠕米"
"948","粘膜の眷属","10","1/10（10.00%）","895","プラーナ","粘膜眷属","涡虫"
"949","アウタージェリー","20","1/20（5.00%）","896","アンドロメダ","域外水母","安德洛墨达"
"950","アウターワーム","20","1/20（5.00%）","897","ディアマンティナ","域外蠕虫","迪亚曼蒂娜"
"956","ヌルの眷属","10","1/10（10.00%）","898","ヌルアオ","黏黏的眷属","黏黏青"
"957","ヌルの眷属","10","1/10（10.00%）","899","ヌルアカ","黏黏的眷属","黏黏红"
"958","ヌルの眷属","10","1/10（10.00%）","900","ヌルキ","黏黏的眷属","黏黏黄"
"959","TT","10","1/10（10.00%）","901","TT","TT","TT"
"960","QQ","20","1/20（5.00%）","902","QQ","QQ","QQ"
"962","グラン・アラーニェ","10","1/10（10.00%）","903","グラーニェ","巨型阿拉涅","格拉涅"
"973","インドラ","10","1/10（10.00%）","905","インドラ","因陀罗","因陀罗"
"974","トンベリ娘","20","1/20（5.00%）","904","トゥーン","冬贝利娘","冬恩"
"976","アバドン","20","1/20（5.00%）","906","アバドン","亚巴顿","亚巴顿"
"977","エクスキュウビ","20","1/20（5.00%）","907","ナイン","极・九尾","玖"
"978","ドーラドーラ","20","1/20（5.00%）","908","ドーラドーラ","朵拉朵拉","朵拉朵拉"
"979","ベルゼバブ終異体","20","1/20（5.00%）","909","瑠渦","别西卜终异体","瑠渦"
"980","メルカヴァ","20","1/20（5.00%）","910","メルカヴァ","灵轮","灵轮"
"981","フレール","20","1/20（5.00%）","911","フレール","弗莱尔","弗莱尔"
"982","アガリアレプト","20","1/20（5.00%）","912","アガリアレプト","阿加利亚雷普特","阿加利亚雷普特"
"983","ゲイザー","20","1/20（5.00%）","913","ゲイズ","凝视者","盖兹"
"984","ベリアル","20","1/20（5.00%）","914","ベリアル","贝利亚尔","贝利亚尔"
