"来源ID","日本名称","学习等级","学习类型","学习对象ID","日本技能/能力名称","日本所属","日本说明","HP消耗","MP消耗","SP消耗（内部TP）","所需AP（记忆容量）","技能类型ID","中文名称","中文技能/能力名称","中文所属","中文说明"
"215","風精","2","能力","452","魔力20%アップ","魔法アビリティ","魔力が20%アップする","","","","5","3","风精灵","魔力提升20%","魔法能力","魔力提升20%"
"215","風精","2","能力","658","沈黙無効","防御アビリティ","沈黙状態を完全に無効化する","","","","4","4","风精灵","沉默无效","防御能力","完全无效化沉默状态"
"215","風精","2","技能","1514","ウィンド","黒魔法","威力：Ｄ（魔）　対象：敵単体　属性：風
真空で敵を斬り裂く風の初級魔法","0","3","0","","23","风精灵","疾风","黑魔法","威力：Ｄ（魔）　対象：敵単体　属性：風
用真空斩裂敌人的初级风魔法"
"215","風精","3","技能","2033","不思議な踊り","踊る","威力：Ｅ（器・魔）　対象：敵単体　効果：MP吸収
魔力のこもった舞いで敵のMPを吸い取る","0","0","1","","37","风精灵","不可思议之舞","踊る","威力：Ｅ（器・魔）　対象：敵単体　効果：MP吸収
充满魔力的舞蹈，吸取敌人的MP"
"215","風精","3","技能","3056","ワンダーヒール","自然感応","対象：味方全体　効果：HP大回復
自然と感応し、味方全体を回復する","0","0","6","","61","风精灵","奇迹治愈","自然感应","対象：味方全体　効果：HP大回復
与自然共鸣，恢复全体友方的生命"
"215","風精","4","技能","3038","突風","自然感応","威力：Ｃ（速or魔）　対象：敵全体　属性：風
自然と感応し、突風を巻き起こす","0","0","5","","61","风精灵","突风","自然感应","威力：Ｃ（速or魔）　対象：敵全体　属性：風
与自然共鸣，掀起突风"
"215","風精","5","能力","611","風ダメージ半減","防御アビリティ","風属性のダメージを半分にする","","","","10","4","风精灵","风伤害减半","防御能力","风属性的伤害减半"
"215","風精","6","技能","2018","たつまきダンス","踊る","威力：Ｃ（器）　対象：敵全体　属性：風
風を呼ぶ舞いでたつまきを引き起こす","0","5","3","","37","风精灵","龙卷风之舞","踊る","威力：Ｃ（器）　対象：敵全体　属性：風
以呼唤风的舞步引发龙卷风"
"215","風精","6","技能","2038","ミステリーダンス","踊る","対象：敵全体　効果：混乱
奇妙な舞いで敵の心を乱す","0","0","2","","37","风精灵","神秘之舞","踊る","対象：敵全体　効果：混乱
奇妙的舞蹈扰乱敌人的心"
"215","風精","7","技能","1515","エアロ","黒魔法","威力：Ｂ（魔）　対象：敵単体　属性：風
無数の真空刃を敵に叩き込む風の上級魔法","0","12","0","","23","风精灵","空气","黑魔法","威力：Ｂ（魔）　対象：敵単体　属性：風
向敌人猛击无数真空刃的上级风魔法"
"215","風精","7","技能","3112","風の戯れ","特技","対象：使用者　効果：命中率・回避率中アップ
風と感応し、風と共に舞う","0","0","2","","63","风精灵","风之戏","特技","対象：使用者　効果：命中率・回避率中アップ
与风感应，与风共舞"
"215","風精","8","能力","813","自然感応ブースター","特殊アビリティ","「自然感応」によるダメージが15%アップする","","","","10","5","风精灵","自然感应增强","特殊能力","「自然感应」造成的伤害增加15%"
"215","風精","9","能力","479","風ブースター","魔法アビリティ","風属性のダメージが15%アップする","","","","8","3","风精灵","风增强","魔法能力","风属性伤害提升15%"
"215","風精","9","能力","714","毎ターンMP2%回復","特殊アビリティ","ターンごとにMPが2%回復する","","","","10","5","风精灵","每回合MP恢复2%","特殊能力","每回合MP恢复2%"
"215","風精","10","能力","456","MP消費3/4","魔法アビリティ","スキル使用時のMP消費が3/4になる","","","","10","3","风精灵","MP消費3/4","魔法能力","スキル使用時のMP消費が3/4になる"
"215","風精","10","技能","3052","恍惚の風","自然感応","威力：Ｃ（魔or器）　対象：敵全体　属性：快楽・風　効果：恍惚
風を呼び、くすぐるように愛撫する快楽技","0","0","6","","61","风精灵","恍惚之风","自然感应","威力：Ｃ（魔or器）　対象：敵全体　属性：快楽・風　効果：恍惚
呼唤风，像爱抚一样给予快乐的技巧"
"216","風の精霊","2","能力","453","魔力30%アップ","魔法アビリティ","魔力が30%アップする","","","","7","3","风之精灵","魔力提升30%","魔法能力","魔力提升30%"
"216","風の精霊","3","技能","3057","マジカルライズ","自然感応","対象：味方単体　効果：完全蘇生
自然と感応し、味方単体を蘇生する","0","0","5","","61","风之精灵","魔法复苏","自然感应","対象：味方単体　効果：完全蘇生
与自然共鸣，复活单个友方"
"216","風の精霊","4","技能","3039","大旋風","自然感応","威力：Ａ（速or魔）　対象：敵全体　属性：風
自然と感応し、大旋風を引き起こす","0","0","8","","61","风之精灵","大旋风","自然感应","威力：Ａ（速or魔）　対象：敵全体　属性：風
与自然共鸣，引发大旋风"
"216","風の精霊","5","能力","612","風ダメージ無効","防御アビリティ","風属性のダメージを無効化する","","","","15","4","风之精灵","风伤害无效","防御能力","风属性的伤害无效"
"216","風の精霊","6","技能","2028","エレメンタルダンス","踊る","威力：Ａ（器）　対象：敵全体　属性：炎・風・土・水
大自然に捧げる舞いで、四属性の力を解放する","0","10","4","","37","风之精灵","元素之舞","踊る","威力：Ａ（器）　対象：敵全体　属性：炎・風・土・水
向大自然献上的舞蹈，解放四属性的力量"
"216","風の精霊","7","能力","773","踊り状態異常率アップ","特殊アビリティ","踊り使用時のステータス異常発生率がアップする","","","","10","5","风之精灵","舞蹈状态异常率提升","特殊能力","跳舞时状态异常发生率提升"
"216","風の精霊","8","能力","814","自然感応ハイブースター","特殊アビリティ","「自然感応」によるダメージが30%アップする","","","","20","5","风之精灵","自然感应高级增强","特殊能力","「自然感应」造成的伤害增加30%"
"216","風の精霊","8","技能","1516","デルタエアロ","黒魔法","威力：Ａ（魔）　対象：敵全体　属性：風
無数の竜巻で敵を斬り裂く風の最上級魔法","0","20","0","","23","风之精灵","德尔塔空气","黑魔法","威力：Ａ（魔）　対象：敵全体　属性：風
用无数龙卷风斩裂敌人的最上级风魔法"
"216","風の精霊","9","能力","480","風ハイブースター","魔法アビリティ","風属性のダメージが30%アップする","","","","16","3","风之精灵","风高级增强","魔法能力","风属性伤害提升30%"
"216","風の精霊","9","能力","715","毎ターンMP4%回復","特殊アビリティ","ターンごとにMPが4%回復する","","","","20","5","风之精灵","每回合MP恢复4%","特殊能力","每回合MP恢复4%"
"216","風の精霊","10","能力","457","MP消費1/2","魔法アビリティ","スキル使用時のMP消費が半分になる","","","","20","3","风之精灵","MP消費1/2","魔法能力","技能使用时的MP消耗减半"
"216","風の精霊","10","技能","3053","風のセレナーデ","自然感応","威力：Ａ（魔or器）　対象：敵全体　属性：快楽・風　効果：恍惚
風を呼び、全身にまとわりつかせる快楽技","0","0","8","","61","风之精灵","风的夜曲","自然感应","威力：Ａ（魔or器）　対象：敵全体　属性：快楽・風　効果：恍惚
呼唤风，缠绕全身的快乐技"
"217","土精","2","技能","1099","暴塵斧","斧技","威力：Ｂ（力）　対象：敵単体
斧の重量を破壊力に変え、連続で叩き込む斧技","0","0","5","","11","土精","暴尘斧","斧技","威力：Ｂ（力）　対象：敵単体
将斧头的重量转化为破坏力，连续猛击的斧技"
"217","土精","2","技能","1124","剛襲棍","棍技","威力：Ｂ（力）　対象：敵単体
剛力で敵を一撃し、粉砕する棍技","0","0","5","","12","土精","刚袭棍","棍技","威力：Ｂ（力）　対象：敵単体
用刚力一击粉碎敌人的棍技"
"217","土精","3","能力","62","HP20%アップ","戦技アビリティ","最大HPが20%アップする","","","","5","1","土精","HP提升20%","战技能力","最大HP提升20%"
"217","土精","3","能力","67","攻撃力20%アップ","戦技アビリティ","攻撃力が20%アップする","","","","5","1","土精","攻击力提升20%","战技能力","攻击力提升20%"
"217","土精","3","技能","3043","地震","自然感応","威力：Ｃ（防or魔）　対象：敵全体　属性：土
自然と感応し、地震を引き起こす","0","0","5","","61","土精","地震","自然感应","威力：Ｃ（防or魔）　対象：敵全体　属性：土
与自然共鸣，引发地震"
"217","土精","4","能力","221","「棍」装備可能","戦技アビリティ","「棍」が装備可能になる","","","","5","1","土精","可以装备「棍」","战技能力","变得可以装备「棍」"
"217","土精","4","能力","615","土ダメージ半減","防御アビリティ","土属性のダメージを半分にする","","","","10","4","土精","土伤害减半","防御能力","土属性的伤害减半"
"217","土精","5","能力","220","「斧」装備可能","戦技アビリティ","「斧」が装備可能になる","","","","5","1","土精","可以装备「斧」","战技能力","变得可以装备「斧」"
"217","土精","5","技能","1128","旋棍一閃撃","棍技","威力：Ｂ（力）　対象：敵全体
棍で敵全体を一閃し、激しい乱打を浴びせる技","0","0","6","","12","土精","旋棍一闪击","棍技","威力：Ｂ（力）　対象：敵全体
用棍子一闪全体敌人，施加激烈的乱打技术"
"217","土精","6","能力","723","SPチャージ1.5倍","特殊アビリティ","SPの回復量が1.5倍になる","","","","10","5","土精","SPチャージ1.5倍","特殊能力","SPの回復量が1.5倍になる"
"217","土精","6","技能","1106","轟炎斧","斧技","威力：Ｂ（力）　対象：敵単体　属性：炎
斧に炎を宿し、敵に叩き付ける技","0","0","5","","11","土精","轰炎斧","斧技","威力：Ｂ（力）　対象：敵単体　属性：炎
斧头附着火焰，猛击敌人"
"217","土精","7","能力","693","失禁回避","防御アビリティ","失禁状態を50%の確率で無効化する","","","","2","4","土精","失禁回避","防御能力","失禁状态50%的概率无效化"
"217","土精","7","技能","3114","大地の息吹","特技","対象：使用者　効果：防御力大アップ・物理半減
土と感応し、大地の息吹をその身に宿す","0","0","2","","63","土精","大地的气息","特技","対象：使用者　効果：防御力大アップ・物理半減
与土感应，寄宿大地的气息"
"217","土精","8","能力","482","土ブースター","魔法アビリティ","土属性のダメージが15%アップする","","","","8","3","土精","土增强","魔法能力","土属性伤害提升15%"
"217","土精","9","能力","746","戦闘開始時SP増加","特殊アビリティ","戦闘開始時のSPが増加する","","","","10","5","土精","战斗开始时SP增加","特殊能力","战斗开始时的SP增加"
"217","土精","10","技能","1129","岩石落とし","棍技","威力：Ａ（力）　対象：敵全体
棍で岩石を弾き飛ばし、敵の頭上に降らせる棍技","0","0","7","","12","土精","岩石崩落","棍技","威力：Ａ（力）　対象：敵全体
用棍子弹飞岩石，使其落在敌人头顶的棍技"
"218","土の精霊","2","技能","1115","微塵連斧","斧技","威力：Ｓ（力）　対象：敵単体
豪腕による斧の乱打で敵を滅多打ちにする奥義","0","0","10","","11","土之精灵","微尘连斧","斧技","威力：Ｓ（力）　対象：敵単体
凭借豪腕进行斧头乱打，将敌人彻底击溃的奥义"
"218","土の精霊","3","能力","63","HP30%アップ","戦技アビリティ","最大HPが30%アップする","","","","7","1","土之精灵","HP提升30%","战技能力","最大HP提升30%"
"218","土の精霊","3","能力","68","攻撃力30%アップ","戦技アビリティ","攻撃力が30%アップする","","","","7","1","土之精灵","攻击力提升30%","战技能力","攻击力提升30%"
"218","土の精霊","3","技能","3044","大地の怒り","自然感応","威力：Ａ（防or魔）　対象：敵全体　属性：土
自然と感応し、大地の怒りを呼び覚ます","0","0","8","","61","土之精灵","大地之怒","自然感应","威力：Ａ（防or魔）　対象：敵全体　属性：土
与自然共鸣，唤醒大地之怒"
"218","土の精霊","4","技能","1131","轟氷撃","棍技","威力：Ａ（力）　対象：敵単体　属性：氷
氷を宿した棍の打撃で、敵を凍結させつつ粉砕する奥義","0","0","7","","12","土之精灵","轰冰击","棍技","威力：Ａ（力）　対象：敵単体　属性：氷
冰之棍的打击，使敌人冻结并粉碎的奥义"
"218","土の精霊","5","能力","226","「鉄球」装備可能","戦技アビリティ","「鉄球」が装備可能になる","","","","5","1","土之精灵","可以装备「铁球」","战技能力","变得可以装备「铁球」"
"218","土の精霊","5","能力","616","土ダメージ無効","防御アビリティ","土属性のダメージを無効化する","","","","15","4","土之精灵","土伤害无效","防御能力","土属性的伤害无效化"
"218","土の精霊","6","能力","724","SPチャージ2倍","特殊アビリティ","SPの回復量が2倍になる","","","","15","5","土之精灵","SP充能2倍","特殊能力","SP恢复量变为2倍"
"218","土の精霊","7","能力","483","土ハイブースター","魔法アビリティ","土属性のダメージが30%アップする","","","","16","3","土之精灵","土高级增强","魔法能力","土属性伤害提升30%"
"218","土の精霊","7","能力","694","失禁無効","防御アビリティ","失禁状態を完全に無効化する","","","","4","4","土之精灵","失禁无效","防御能力","完全消除失禁状态"
"218","土の精霊","8","技能","1109","轟炎乱斧","斧技","威力：Ａ（力）　対象：敵ランダム3回　属性：炎
斧に炎を宿し、敵に乱れ撃つ技","0","0","7","","11","土之精灵","轰炎乱斧","斧技","威力：Ａ（力）　対象：敵ランダム3回　属性：炎
斧头附带火焰，对敌人进行乱击的技能"
"218","土の精霊","9","能力","747","戦闘開始時SP最大","特殊アビリティ","戦闘開始時のSPが最大になる","","","","20","5","土之精灵","战斗开始时SP最大","特殊能力","战斗开始时SP达到最大"
"218","土の精霊","10","技能","1145","鬼神乱破","棍技","威力：Ｓ（力）　対象：敵ランダム4回
烈風の如く繰り出される棍の乱打奥義","0","0","10","","12","土之精灵","鬼神乱破","棍技","威力：Ｓ（力）　対象：敵ランダム4回
如烈风般施展的棍棒乱打奥义"
"219","ダークフェアリー","2","技能","2004","ダイヤのクイーン","オラクル","対象：味方全体　効果：HP小回復
ダイヤのクィーンの魔力で味方全体を回復する","0","0","2","","36","暗黑妖精","方块Q","神谕","対象：味方全体　効果：HP小回復
利用方块Q的魔力恢复我方全体"
"219","ダークフェアリー","3","能力","279","器用さ20%アップ","職技アビリティ","器用さが20%アップする","","","","5","2","暗黑妖精","灵巧提升20%","职技能力","灵巧提升20%"
"219","ダークフェアリー","3","技能","2003","クラブのジャック","オラクル","威力：Ｃ（器）　対象：敵全体
クラブのジャックの魔力で敵全体にダメージを与える","0","0","4","","36","暗黑妖精","梅花J","神谕","威力：Ｃ（器）　対象：敵全体
利用梅花J的魔力对全体敌人造成伤害"
"219","ダークフェアリー","4","技能","3029","火柱","自然感応","威力：Ｃ（力or魔）　対象：敵全体　属性：炎
自然と感応し、火柱を巻き起こす","0","0","5","","61","暗黑妖精","火柱","自然感应","威力：Ｃ（力or魔）　対象：敵全体　属性：炎
自然感应，引发火柱"
"219","ダークフェアリー","4","技能","3032","氷柱","自然感応","威力：Ｃ（魔or器）　対象：敵全体　属性：氷
自然と感応し、氷柱を発生させる","0","0","5","","61","暗黑妖精","冰柱","自然感应","威力：Ｃ（魔or器）　対象：敵全体　属性：氷
自然感应，产生冰柱"
"219","ダークフェアリー","4","技能","3035","稲妻","自然感応","威力：Ｃ（速or魔）　対象：敵全体　属性：雷
自然と感応し、稲妻を落とす","0","0","5","","61","暗黑妖精","闪电","自然感应","威力：Ｃ（速or魔）　対象：敵全体　属性：雷
自然感应，降下闪电"
"219","ダークフェアリー","5","能力","465","妖精の生け贄","魔法アビリティ","死亡時、ランダム召喚","","","","10","3","暗黑妖精","妖精的祭品","魔法能力","死亡时，随机召唤"
"219","ダークフェアリー","5","技能","1995","スロット","オラクル","効果：ランダム
スロットの出た目によって効果が変わるランダム技","0","0","2","","36","暗黑妖精","老虎机","神谕","効果：ランダム
根据老虎机的结果效果变化的随机技能"
"219","ダークフェアリー","6","技能","2005","ハートのエース","オラクル","対象：味方単体　効果：HP中回復
ハートのエースの魔力で味方単体を回復する","0","0","1","","36","暗黑妖精","红桃A","神谕","対象：味方単体　効果：HP中回復
利用红桃A的魔力恢复我方单体"
"219","ダークフェアリー","7","技能","3047","津波","自然感応","威力：Ｃ（精or魔）　対象：敵全体　属性：水
自然と感応し、津波を引き起こす","0","0","5","","61","暗黑妖精","海啸","自然感应","威力：Ｃ（精or魔）　対象：敵全体　属性：水
与自然共鸣，引发海啸"
"219","ダークフェアリー","8","能力","761","アイテムドロップ率1.5倍","特殊アビリティ","敵がアイテムを落とす確率が1.5倍になる","","","","5","5","暗黑妖精","アイテムドロップ率1.5倍","特殊能力","敵がアイテムを落とす確率が1.5倍になる"
"219","ダークフェアリー","9","技能","2036","呪いの踊り","踊る","対象：敵全体　効果：毒・暗闇・沈黙
呪いを込めた舞いで敵を状態異常にする","0","0","2","","37","暗黑妖精","诅咒之舞","踊る","対象：敵全体　効果：毒・暗闇・沈黙
注入诅咒的舞蹈使敌人陷入异常状态"
"219","ダークフェアリー","9","技能","3050","毒沼","自然感応","威力：Ｃ（魔）　対象：敵全体　属性：バイオ
自然と感応し、毒沼を出現させる","0","0","5","","61","暗黑妖精","毒沼","自然感应","威力：Ｃ（魔）　対象：敵全体　属性：バイオ
与自然共鸣，出现毒沼"
"219","ダークフェアリー","10","技能","1583","ペガサス","召喚","威力：Ａ（魔or器）　対象：敵全体　効果：強化無効
ペガサスを呼び出す召喚魔法","0","20","0","","25","暗黑妖精","天马","召唤","威力：Ａ（魔or器）　対象：敵全体　効果：強化無効
召唤天马的召唤魔法"
"220","アークフェアリー","2","技能","2042","死の踊り","踊る","対象：敵全体　効果：即死
死の舞いで敵全体の息の根を止める","0","0","5","","37","大妖精","死之舞","踊る","対象：敵全体　効果：即死
死亡之舞使全体敌人停止呼吸"
"220","アークフェアリー","2","技能","3030","マグマ","自然感応","威力：Ａ（力or魔）　対象：敵全体　属性：炎
自然と感応し、マグマを呼び覚ます","0","0","8","","61","大妖精","岩浆","自然感应","威力：Ａ（力or魔）　対象：敵全体　属性：炎
自然感应，唤醒岩浆"
"220","アークフェアリー","3","能力","280","器用さ30%アップ","職技アビリティ","器用さが30%アップする","","","","7","2","大妖精","灵巧提升30%","职技能力","灵巧提升30%"
"220","アークフェアリー","3","技能","2002","スペードのキング","オラクル","威力：Ｓ（器）　対象：敵単体
スペードのキングの魔力で敵単体に大ダメージを与える","0","0","8","","36","大妖精","黑桃K","神谕","威力：Ｓ（器）　対象：敵単体
利用黑桃K的魔力对单体敌人造成巨大伤害"
"220","アークフェアリー","3","技能","2045","召喚の踊り","踊る","効果：ランダム
魔力のこもった踊りでランダム召喚を行う","0","0","4","","37","大妖精","召唤之舞","踊る","効果：ランダム
蕴含魔力的舞蹈进行随机召唤"
"220","アークフェアリー","4","技能","1996","ポーカー","オラクル","効果：ランダム
ポーカーの役によって効果が変わるランダム技","0","0","2","","36","大妖精","扑克","神谕","効果：ランダム
根据扑克的牌型效果变化的随机技能"
"220","アークフェアリー","4","技能","3033","大氷河","自然感応","威力：Ａ（魔or器）　対象：敵全体　属性：氷
自然と感応し、大氷河を呼び覚ます","0","0","8","","61","大妖精","大冰河","自然感应","威力：Ａ（魔or器）　対象：敵全体　属性：氷
自然感应，唤醒大冰河"
"220","アークフェアリー","5","技能","2006","ジョーカーデス","オラクル","対象：敵全体　効果：即死
ジョーカーの魔力で敵全体を即死させる","0","0","5","","36","大妖精","王牌即死","神谕","対象：敵全体　効果：即死
利用小丑的魔力使全体敌人即死"
"220","アークフェアリー","6","技能","2050","生贄の舞い","踊る","対象：味方全体　効果：HP全回復・完全蘇生
自身を生け贄に捧げる舞いで味方を全回復・蘇生する","0","0","0","","37","大妖精","祭品之舞","踊る","対象：味方全体　効果：HP全回復・完全蘇生
以自身为祭品的舞蹈，为队友进行全回复和复活"
"220","アークフェアリー","6","技能","3048","大洪水","自然感応","威力：Ａ（精or魔）　対象：敵全体　属性：水
自然と感応し、大洪水を呼び起こす","0","0","8","","61","大妖精","大洪水","自然感应","威力：Ａ（精or魔）　対象：敵全体　属性：水
与自然共鸣，引发大洪水"
"220","アークフェアリー","7","技能","2007","シャッフルカード","オラクル","効果：ランダム
トランプを一枚引き、出たカードの魔力を解放する","0","0","0","","36","大妖精","洗牌","神谕","効果：ランダム
抽取一张扑克牌，释放出该牌的魔力"
"220","アークフェアリー","8","技能","3036","大轟雷","自然感応","威力：Ａ（速or魔）　対象：敵全体　属性：雷
自然と感応し、大轟雷を呼び起こす","0","0","8","","61","大妖精","大轰雷","自然感应","威力：Ａ（速or魔）　対象：敵全体　属性：雷
自然感应，唤起大轰雷"
"220","アークフェアリー","9","能力","762","アイテムドロップ率2倍","特殊アビリティ","敵がアイテムを落とす確率が2倍になる","","","","10","5","大妖精","物品掉落率2倍","特殊能力","敌人掉落物品的概率变为2倍"
"220","アークフェアリー","9","技能","3051","猛毒旋風","自然感応","威力：Ａ（魔）　対象：敵全体　属性：バイオ
自然と感応し、猛毒の旋風を引き起こす","0","0","8","","61","大妖精","猛毒旋风","自然感应","威力：Ａ（魔）　対象：敵全体　属性：バイオ
与自然共鸣，引发猛毒旋风"
"220","アークフェアリー","10","技能","1584","世界樹","召喚","威力：Ａ（魔or器）　対象：敵全体　効果：HP吸収
世界樹を呼び出す召喚魔法","0","20","0","","25","大妖精","世界树","召唤","威力：Ａ（魔or器）　対象：敵全体　効果：HP吸収
召唤世界树的召唤魔法"
"221","クィーンフェアリー","2","技能","3041","テラサイクロン","自然感応","威力：Ｓ（速or魔）　対象：敵全体　属性：風
自然と感応し、大陸規模のサイクロンを呼ぶ奥義","0","0","12","","61","妖精女王","大地旋风","自然感应","威力：Ｓ（速or魔）　対象：敵全体　属性：風
与自然共鸣，召唤大陆规模的飓风奥义"
"221","クィーンフェアリー","3","能力","449","MP40%アップ","魔法アビリティ","最大MPが40%アップする","","","","10","3","妖精女王","MP提升40%","魔法能力","最大MP提升40%"
"221","クィーンフェアリー","3","能力","454","魔力40%アップ","魔法アビリティ","魔力が40%アップする","","","","10","3","妖精女王","魔力提升40%","魔法能力","魔力提升40%"
"221","クィーンフェアリー","4","能力","859","「自然感応」使用可能","特殊アビリティ","「自然感応」が使用可能になる","","","","5","5","妖精女王","「自然感应」可用","特殊能力","「自然感应」变得可用"
"221","クィーンフェアリー","5","技能","3045","大地咆吼","自然感応","威力：Ｓ（防or魔）　対象：敵全体　属性：土
自然と感応し、大地を咆吼させる奥義","0","0","12","","61","妖精女王","大地咆哮","自然感应","威力：Ｓ（防or魔）　対象：敵全体　属性：土
与自然共鸣，让大地咆哮的奥义"
"221","クィーンフェアリー","6","能力","613","風ダメージ吸収","防御アビリティ","風属性のダメージを吸収する","","","","20","4","妖精女王","风伤害吸收","防御能力","吸收风属性的伤害"
"221","クィーンフェアリー","7","能力","650","全即死系無効","防御アビリティ","即死・昇天・絶頂攻撃を完全に無効化する","","","","10","4","妖精女王","全即死系无效","防御能力","即死・升天・绝顶攻击完全无效化"
"221","クィーンフェアリー","8","技能","3049","タイダルウェイブ","自然感応","威力：Ｓ（精or魔）　対象：敵全体　属性：水
自然と感応し、大陸級の大津波を呼び起こす奥義","0","0","12","","61","妖精女王","潮汐波浪","自然感应","威力：Ｓ（精or魔）　対象：敵全体　属性：水
与自然共鸣，引发大陆级的大海啸奥义"
"221","クィーンフェアリー","9","能力","716","毎ターンMP8%回復","特殊アビリティ","ターンごとにMPが8%回復する","","","","30","5","妖精女王","每回合MP恢复8%","特殊能力","每回合MP恢复8%"
"221","クィーンフェアリー","10","技能","2029","大精霊の舞","踊る","威力：Ｓ（器）　対象：敵全体　属性：炎・風・土・水
大精霊の力を引き出す舞いで、四属性の力を解き放つ","0","15","6","","37","妖精女王","大精灵之舞","踊る","威力：Ｓ（器）　対象：敵全体　属性：炎・風・土・水
引出大精灵力量的舞蹈，解放四属性的力量"
"222","コスモフェアリー","2","能力","8552","コスモノーム","特殊アビリティ","土精に特化した能力値になる
※フェアリー系の種族に就いていないとセットできない","","","","0","5","宇宙妖精","诺姆之子","特殊能力","能力特化为土精的能力值
※如果不是妖精系的种族就无法装备"
"222","コスモフェアリー","2","技能","9386","コズミックダンス","踊る","威力：ＳＳＳ（器）　対象：敵全体　属性：銀河
銀河の力を招来し、相手を消滅させる舞","0","40","10","","37","宇宙妖精","宇宙之舞","踊る","威力：ＳＳＳ（器）　対象：敵全体　属性：銀河
招来银河之力，将对手消灭的舞蹈"
"222","コスモフェアリー","3","能力","450","MP50%アップ","魔法アビリティ","最大MPが50%アップする","","","","15","3","宇宙妖精","MP提升50%","魔法能力","最大MP提升50%"
"222","コスモフェアリー","3","能力","455","魔力50%アップ","魔法アビリティ","魔力が50%アップする","","","","15","3","宇宙妖精","魔力提升50%","魔法能力","魔力提升50%"
"222","コスモフェアリー","4","能力","7748","銀河耐性75%","防御アビリティ","銀河属性のダメージを3/4にする","","","","15","4","宇宙妖精","银河耐性75%","防御能力","银河属性的伤害降低至3/4"
"222","コスモフェアリー","4","能力","8530","妖精の備え","特殊アビリティ","スキルがロッド・カード装備時の威力になる","","","","4","5","宇宙妖精","妖精的准备","特殊能力","使用技能时视为装备了法杖・卡牌"
"222","コスモフェアリー","5","技能","9070","土精大乱撃","棍技","威力：ＳＳＳ（力）　対象：敵ランダム4回　属性：テラ
大地の力を宿した棍で荒れ狂う強大な乱撃","0","0","18","","12","宇宙妖精","土精大乱击","棍技","威力：ＳＳＳ（力）　対象：敵ランダム4回　属性：テラ
寄宿着大地之力的棍棒，狂暴的强大乱击"
"222","コスモフェアリー","6","能力","8140","自然感応防御力無視","特殊アビリティ","自然感応で防御力を無視してダメージを与えるが、消費量が1.3倍になる","","","","10","5","宇宙妖精","自然感应防御力无视","特殊能力","自然感応で防御力を無視してダメージを与えるが、消費量が1.3倍になる"
"222","コスモフェアリー","6","能力","8178","自然感応精神力半分付加","特殊アビリティ","自然感応の威力に精神力の半分を付加する","","","","10","5","宇宙妖精","自然感应附加一半的精神力","特殊能力","自然感応の威力に精神力の半分を付加する"
"222","コスモフェアリー","7","能力","6775","斧技魔力半分付加","戦技アビリティ","斧技の威力に魔力の半分を付加する","","","","10","1","宇宙妖精","斧技附加一半的魔力","战技能力","斧技の威力に魔力の半分を付加する"
"222","コスモフェアリー","7","能力","7597","召喚攻撃力半分付加","魔法アビリティ","召喚の威力に攻撃力の半分を付加する","","","","10","3","宇宙妖精","召唤附加一半的攻击力","魔法能力","召喚の威力に攻撃力の半分を付加する"
"222","コスモフェアリー","8","能力","7295","弱体召喚","魔法アビリティ","召喚スキルに応じた属性弱体効果を付加する","","","","2","3","宇宙妖精","弱化召唤","魔法能力","召唤技能附加相应属性弱化效果"
"222","コスモフェアリー","8","能力","7909","毎ターンMP15%回復","特殊アビリティ","ターンごとにMPが15%回復する","","","","40","5","宇宙妖精","每回合MP恢复15%","特殊能力","每回合MP恢复15%"
"222","コスモフェアリー","9","能力","763","アイテムドロップ率3倍","特殊アビリティ","敵がアイテムを落とす確率が3倍になる","","","","15","5","宇宙妖精","物品掉落率3倍","特殊能力","敌人掉落物品的概率变为3倍"
"222","コスモフェアリー","10","技能","9246","正体不明","召喚","威力：ＳＳＳ（魔or器）　対象：敵全体　属性：銀河・ナイトメア
正体不明生物を呼び出す召喚魔法","0","80","0","","25","宇宙妖精","身份不明","召唤","威力：ＳＳＳ（魔or器）　対象：敵全体　属性：銀河・ナイトメア
召唤身份不明生物的召唤魔法"
"222","コスモフェアリー","11","能力","7784","ハドロン耐性75%","防御アビリティ","ハドロン属性のダメージを3/4にする","","","","10","4","宇宙妖精","强子耐性75%","防御能力","强子属性的伤害降低至3/4"
"222","コスモフェアリー","12","能力","7790","テラ耐性75%","防御アビリティ","テラ属性のダメージを3/4にする","","","","10","4","宇宙妖精","大地耐性75%","防御能力","大地属性的伤害降低至3/4"
"222","コスモフェアリー","13","能力","7796","ナノ耐性75%","防御アビリティ","ナノ属性のダメージを3/4にする","","","","10","4","宇宙妖精","纳米耐性75%","防御能力","纳米属性的伤害降低至3/4"
"222","コスモフェアリー","14","能力","8273","フェアリーチェーン","特殊アビリティ","「自然感応」の後に「召喚or踊るorオラクル」を発動できる","","","","10","5","宇宙妖精","妖精链","特殊能力","「自然感应」之后可以发动「召唤or舞蹈or神谕」"
"222","コスモフェアリー","14","能力","8275","土精チェーン","特殊アビリティ","「棍技」の後に「斧技」を発動できる","","","","10","5","宇宙妖精","土精链","特殊能力","「棍技」之后可以发动「斧技」"
"222","コスモフェアリー","15","能力","390","カードエクスブースター","職技アビリティ","カード装備時、その武器によるダメージが50%アップする","","","","30","2","宇宙妖精","卡牌极限增强","职技能力","装备卡牌时，该武器造成的伤害提升50%"
