"怪物ID","怪物名字","物品类型","物品ID","物品名字","获取方式","中文怪物名字","中文物品名字"
"449","ヴィヌム","防具","1887","あげはパンツ","可偷内裤","薇诺姆","凤蝶娘的内裤"
"450","コンキスタ","物品","21","脱淫薬","掉落","征服者","脱淫药"
"450","コンキスタ","物品","224","夜の黒片","掉落","征服者","夜的黑片"
"450","コンキスタ","物品","65","疾風緑風石","掉落","征服者","疾风绿风石"
"450","コンキスタ","物品","20","金の針","可偷物品","征服者","金针"
"450","コンキスタ","防具","1216","吸血鬼破りの呪符","可偷物品","征服者","吸血鬼破除的咒符"
"450","コンキスタ","物品","313","トマト","可偷食材","征服者","番茄"
"450","コンキスタ","物品","224","夜の黒片","可偷素材","征服者","夜的黑片"
"451","ヴェンデッタ","物品","22","万能薬","掉落","仇杀者","万能药"
"451","ヴェンデッタ","物品","224","夜の黒片","掉落","仇杀者","夜的黑片"
"451","ヴェンデッタ","物品","81","輝晶黒闇石","掉落","仇杀者","辉晶黑暗石"
"451","ヴェンデッタ","物品","20","金の針","可偷物品","仇杀者","金针"
"451","ヴェンデッタ","防具","1216","吸血鬼破りの呪符","可偷物品","仇杀者","吸血鬼破除的咒符"
"451","ヴェンデッタ","物品","313","トマト","可偷食材","仇杀者","番茄"
"451","ヴェンデッタ","物品","224","夜の黒片","可偷素材","仇杀者","夜的黑片"
"452","アラクネロード","物品","22","万能薬","掉落","阿拉克涅领主","万能药"
"452","アラクネロード","物品","175","蜘蛛の糸","掉落","阿拉克涅领主","蜘蛛之丝"
"452","アラクネロード","物品","65","疾風緑風石","掉落","阿拉克涅领主","疾风绿风石"
"452","アラクネロード","物品","22","万能薬","可偷物品","阿拉克涅领主","万能药"
"452","アラクネロード","防具","29","アサルトスーツ","可偷物品","阿拉克涅领主","突击套装"
"452","アラクネロード","物品","351","プレッツェル","可偷食材","阿拉克涅领主","扭结面包"
"452","アラクネロード","物品","175","蜘蛛の糸","可偷素材","阿拉克涅领主","蜘蛛之丝"
"453","ローレライ","物品","234","神秘の鱗","掉落","罗蕾莱","神秘的鳞片"
"453","ローレライ","物品","5","エルフの霊薬","掉落","罗蕾莱","精灵的灵药"
"453","ローレライ","物品","73","激流青水石","掉落","罗蕾莱","激流青水石"
"453","ローレライ","物品","5","エルフの霊薬","可偷物品","罗蕾莱","精灵的灵药"
"453","ローレライ","防具","1291","槍の書","可偷物品","罗蕾莱","枪之书"
"453","ローレライ","物品","382","フルーツサラダ","可偷食材","罗蕾莱","水果沙拉"
"453","ローレライ","物品","234","神秘の鱗","可偷素材","罗蕾莱","神秘的鳞片"
"454","ミステルテイン","物品","26","力の種","掉落","米斯特汀","力量之种"
"454","ミステルテイン","物品","222","艶めかしい尻尾","掉落","米斯特汀","艳丽的尾巴"
"454","ミステルテイン","物品","12","世界樹の葉","掉落","米斯特汀","世界树之叶"
"454","ミステルテイン","防具","1887","あげはパンツ","可偷内裤","米斯特汀","凤蝶娘的内裤"
"455","ランパス","物品","3","究極薬草","掉落","兰帕丝","究极药草"
"455","ランパス","物品","232","艶めかしい花びら","掉落","兰帕丝","艳丽的花瓣"
"455","ランパス","物品","50","ランパスドロップ","掉落","兰帕丝","兰帕丝蜜糖"
"455","ランパス","物品","22","万能薬","可偷物品","兰帕丝","万能药"
"455","ランパス","防具","1194","吸精の薔薇","可偷物品","兰帕丝","吸精玫瑰"
"455","ランパス","物品","393","グラタン","可偷食材","兰帕丝","奶汁烤菜"
"455","ランパス","物品","232","艶めかしい花びら","可偷素材","兰帕丝","艳丽的花瓣"
"455","ランパス","物品","1399","ランパスのミルク","可偷牛奶","兰帕丝","兰帕丝的乳汁"
"456","妖狐","物品","431","ヤマタイ酒","掉落","妖狐","邪马台酒"
"456","妖狐","物品","242","もふもふしっぽ","掉落","妖狐","毛绒绒的尾巴"
"456","妖狐","物品","32","小さなメダル","掉落","妖狐","小奖章"
"456","妖狐","物品","5","エルフの霊薬","可偷物品","妖狐","精灵的灵药"
"456","妖狐","防具","1051","鉄拳の数珠","可偷物品","妖狐","铁拳念珠"
"456","妖狐","物品","333","あぶらあげ","可偷食材","妖狐","油豆腐"
"456","妖狐","物品","209","ふかふかしっぽ","可偷素材","妖狐","蓬松的尾巴"
"456","妖狐","物品","1397","まほろば妖狐のミルク","可偷牛奶","妖狐","宝福山妖狐的乳汁"
"457","躯","物品","11","フェニックスの尾","掉落","躯","凤凰之尾"
"457","躯","物品","233","傀儡歯車","掉落","躯","傀儡齿轮"
"457","躯","物品","24","命の木の実","掉落","躯","生命之果"
"457","躯","物品","21","脱淫薬","可偷物品","躯","脱淫药"
"457","躯","防具","1169","末期の懐中時計","可偷物品","躯","末期怀表"
"457","躯","物品","357","サンドウイッチ","可偷食材","躯","三明治"
"457","躯","物品","219","魔導の歯車","可偷素材","躯","魔导齿轮"
"457","躯","物品","1400","躯のミルク","可偷牛奶","躯","躯的乳汁"
"458","キューピッド","物品","241","天使の羽根","掉落","丘比特","天使的羽毛"
"458","キューピッド","物品","5","エルフの霊薬","掉落","丘比特","精灵的灵药"
"458","キューピッド","物品","31","器用さの種","掉落","丘比特","灵巧之种"
"458","キューピッド","物品","6","イリアスの霊薬","可偷物品","丘比特","伊莉娅丝的灵药"
"458","キューピッド","防具","1636","狩人の悟り","可偷物品","丘比特","猎人的领悟"
"458","キューピッド","物品","425","パフェ","可偷食材","丘比特","芭菲"
"458","キューピッド","物品","252","奇跡の羽根","可偷素材","丘比特","奇迹的羽毛"
"458","キューピッド","防具","1954","死神のパンツ","可偷内裤","丘比特","死神的内裤"
"459","ヴァルキリー","物品","7","ブーストドリンク","掉落","瓦尔基里","能量饮料"
"459","ヴァルキリー","物品","241","天使の羽根","掉落","瓦尔基里","天使的羽毛"
"459","ヴァルキリー","物品","26","力の種","掉落","瓦尔基里","力量之种"
"459","ヴァルキリー","物品","8","バーストドリンク","可偷物品","瓦尔基里","爆发饮料"
"459","ヴァルキリー","防具","1632","竜騎士の悟り","可偷物品","瓦尔基里","龙骑士的领悟"
"459","ヴァルキリー","物品","378","すきやき","可偷食材","瓦尔基里","寿喜烧"
"459","ヴァルキリー","物品","252","奇跡の羽根","可偷素材","瓦尔基里","奇迹的羽毛"
"459","ヴァルキリー","防具","1955","ミカエラのパンツ","可偷内裤","瓦尔基里","米迦艾拉的内裤"
"460","ギルゴーン","物品","9","エリクサー","掉落","吉尔贡","圣灵药"
"460","ギルゴーン","物品","81","輝晶黒闇石","掉落","吉尔贡","辉晶黑暗石"
"460","ギルゴーン","防具","1265","闇の秘伝書","掉落","吉尔贡","暗之秘传书"
"460","ギルゴーン","防具","1930","リノアパンツ","可偷内裤","吉尔贡","莉诺雅内裤"
"460","ギルゴーン","物品","1396","ギルゴーンのミルク","可偷牛奶","吉尔贡","吉尔贡的乳汁"
"461","インプ","物品","1","薬草","掉落","小恶魔","药草"
"461","インプ","物品","162","インプの尻尾","掉落","小恶魔","小恶魔的尾巴"
"461","インプ","物品","357","サンドウイッチ","掉落","小恶魔","三明治"
"461","インプ","物品","1","薬草","可偷物品","小恶魔","药草"
"461","インプ","防具","1171","緊縛の縄","可偷物品","小恶魔","紧缚之绳"
"461","インプ","物品","357","サンドウイッチ","可偷食材","小恶魔","三明治"
"461","インプ","物品","162","インプの尻尾","可偷素材","小恶魔","小恶魔的尾巴"
"461","インプ","防具","1802","こあくまインプのパンツ","可偷内裤","小恶魔","小恶魔的内裤"
"462","サキュバス","物品","423","プリン","掉落","魅魔","布丁"
"462","サキュバス","物品","222","艶めかしい尻尾","掉落","魅魔","艳丽的尾巴"
"462","サキュバス","物品","29","精神の種","掉落","魅魔","精神之种"
"462","サキュバス","物品","52","紅炎石","可偷物品","魅魔","红炎石"
"462","サキュバス","防具","1473","敏感の印","可偷物品","魅魔","敏感之印"
"462","サキュバス","物品","415","ホワイトハートチョコ","可偷食材","魅魔","白心巧克力"
"462","サキュバス","物品","222","艶めかしい尻尾","可偷素材","魅魔","艳丽的尾巴"
"462","サキュバス","防具","1889","ナイトハーピーのパンツ","可偷内裤","魅魔","骑士哈比的内裤"
"462","サキュバス","物品","1409","夢魔のミルク","可偷牛奶","魅魔","梦魔的乳汁"
"463","シェスタ","物品","166","混沌の石","掉落","谢丝塔","混沌之石"
"463","シェスタ","物品","63","風石","掉落","谢丝塔","风石"
"463","シェスタ","物品","27","守りの種","掉落","谢丝塔","守护之种"
"463","シェスタ","物品","166","混沌の石","可偷物品","谢丝塔","混沌之石"
"463","シェスタ","防具","148","革のドレス","可偷物品","谢丝塔","皮革礼服"
"463","シェスタ","物品","166","混沌の石","可偷素材","谢丝塔","混沌之石"
"463","シェスタ","防具","1813","シェスタのパンツ","可偷内裤","谢丝塔","谢丝塔的内裤"
"464","ライオット","物品","7","ブーストドリンク","掉落","莱奥特","能量饮料"
"464","ライオット","物品","164","野獣の爪","掉落","莱奥特","野兽之爪"
"464","ライオット","物品","166","混沌の石","掉落","莱奥特","混沌之石"
"464","ライオット","物品","7","ブーストドリンク","可偷物品","莱奥特","能量饮料"
"464","ライオット","防具","1016","パワーリスト","可偷物品","莱奥特","力量护腕"
"464","ライオット","物品","166","混沌の石","可偷素材","莱奥特","混沌之石"
"465","ルクスル","物品","11","フェニックスの尾","掉落","露克斯","凤凰之尾"
"465","ルクスル","物品","172","混沌の欠片","掉落","露克斯","混沌的碎片"
"465","ルクスル","武器","889","マスケット","掉落","露克斯","滑膛枪"
"465","ルクスル","物品","11","フェニックスの尾","可偷物品","露克斯","凤凰之尾"
"465","ルクスル","物品","79","闇石","可偷物品","露克斯","暗石"
"465","ルクスル","物品","166","混沌の石","可偷素材","露克斯","混沌之石"
"466","ヴァルト","物品","198","混沌の結晶","掉落","瓦尔特","混沌的结晶"
"466","ヴァルト","物品","200","理知の歯車","掉落","瓦尔特","理智的齿轮"
"466","ヴァルト","物品","60","黄雷石","掉落","瓦尔特","黄雷石"
"466","ヴァルト","物品","60","黄雷石","可偷物品","瓦尔特","黄雷石"
"466","ヴァルト","防具","1564","ショックチェック","可偷物品","瓦尔特","电击抵抗"
"466","ヴァルト","物品","198","混沌の結晶","可偷素材","瓦尔特","混沌的结晶"
"467","シニファ","物品","4","霊薬","掉落","希妮法","灵药"
"467","シニファ","物品","198","混沌の結晶","掉落","希妮法","混沌的结晶"
"467","シニファ","物品","52","紅炎石","掉落","希妮法","红炎石"
"467","シニファ","物品","4","霊薬","可偷物品","希妮法","灵药"
"467","シニファ","防具","1111","危機の狐面","可偷物品","希妮法","危机之狐面"
"467","シニファ","物品","198","混沌の結晶","可偷素材","希妮法","混沌的结晶"
"468","ジェライラ","物品","22","万能薬","掉落","杰莱拉","万能药"
"468","ジェライラ","物品","235","混沌の塊","掉落","杰莱拉","混沌的块"
"468","ジェライラ","物品","29","精神の種","掉落","杰莱拉","精神之种"
"468","ジェライラ","物品","22","万能薬","可偷物品","杰莱拉","万能药"
"468","ジェライラ","防具","1526","音波のアミュレット","可偷物品","杰莱拉","音波之护符"
"468","ジェライラ","物品","235","混沌の塊","可偷素材","杰莱拉","混沌的块"
"469","ツィンケル","物品","225","イリス細胞","掉落","辛克尔","伊莉丝细胞"
"469","ツィンケル","物品","233","傀儡歯車","掉落","辛克尔","傀儡齿轮"
"469","ツィンケル","物品","31","器用さの種","掉落","辛克尔","灵巧之种"
"469","ツィンケル","物品","8","バーストドリンク","可偷物品","辛克尔","爆发饮料"
"469","ツィンケル","防具","1364","機械の秘伝書","可偷物品","辛克尔","机械之秘传书"
"469","ツィンケル","物品","235","混沌の塊","可偷素材","辛克尔","混沌的块"
"470","ベル","物品","8","バーストドリンク","掉落","贝尔","爆发饮料"
"470","ベル","物品","241","天使の羽根","掉落","贝尔","天使的羽毛"
"470","ベル","物品","421","エクレア","掉落","贝尔","闪电泡芙"
"470","ベル","物品","8","バーストドリンク","可偷物品","贝尔","爆发饮料"
"470","ベル","防具","1083","達人の黒帯","可偷物品","贝尔","达人的黑带"
"470","ベル","物品","358","ハンバーガー","可偷食材","贝尔","汉堡"
"470","ベル","物品","222","艶めかしい尻尾","可偷素材","贝尔","艳丽的尾巴"
"470","ベル","防具","1924","ソニアパンツ","可偷内裤","贝尔","索尼娅的内裤"
"470","ベル","物品","1402","ベルのミルク","可偷牛奶","贝尔","贝尔的乳汁"
"471","リラ","物品","19","聖水","掉落","莉拉","圣水"
"471","リラ","物品","236","妖力の結晶","掉落","莉拉","妖力的结晶"
"471","リラ","物品","424","アイスクリーム","掉落","莉拉","冰淇淋"
"471","リラ","物品","8","バーストドリンク","可偷物品","莉拉","爆发饮料"
"471","リラ","防具","1083","達人の黒帯","可偷物品","莉拉","达人的黑带"
"471","リラ","物品","358","ハンバーガー","可偷食材","莉拉","汉堡"
"471","リラ","物品","222","艶めかしい尻尾","可偷素材","莉拉","艳丽的尾巴"
"471","リラ","防具","1924","ソニアパンツ","可偷内裤","莉拉","索尼娅的内裤"
"471","リラ","物品","1403","リラのミルク","可偷牛奶","莉拉","莉拉的乳汁"
"472","ミュゼット","物品","29","精神の種","掉落","缪泽特","精神之种"
"472","ミュゼット","物品","241","天使の羽根","掉落","缪泽特","天使的羽毛"
"472","ミュゼット","物品","425","パフェ","掉落","缪泽特","芭菲"
"472","ミュゼット","物品","8","バーストドリンク","可偷物品","缪泽特","爆发饮料"
"472","ミュゼット","防具","1083","達人の黒帯","可偷物品","缪泽特","达人的黑带"
"472","ミュゼット","物品","358","ハンバーガー","可偷食材","缪泽特","汉堡"
"472","ミュゼット","物品","222","艶めかしい尻尾","可偷素材","缪泽特","艳丽的尾巴"
"472","ミュゼット","防具","1924","ソニアパンツ","可偷内裤","缪泽特","索尼娅的内裤"
"472","ミュゼット","物品","1404","ミュゼットのミルク","可偷牛奶","缪泽特","缪泽特的乳汁"
"473","フルビュア","物品","32","小さなメダル","掉落","芙尔维娅","小奖章"
"473","フルビュア","物品","222","艶めかしい尻尾","掉落","芙尔维娅","艳丽的尾巴"
"473","フルビュア","防具","1624","ローブの勲章","掉落","芙尔维娅","长袍之勋章"
"473","フルビュア","防具","1887","あげはパンツ","可偷内裤","芙尔维娅","凤蝶娘的内裤"
"473","フルビュア","物品","1395","フルビュアのミルク","可偷牛奶","芙尔维娅","芙尔维娅的乳汁"
"474","妲己","物品","8","バーストドリンク","掉落","妲己","爆发饮料"
"474","妲己","物品","242","もふもふしっぽ","掉落","妲己","毛绒绒的尾巴"
"474","妲己","防具","1420","絶頂の秘印","掉落","妲己","绝顶之秘印"
"474","妲己","物品","1401","妲己のミルク","可偷牛奶","妲己","妲己的乳汁"
"475","エスト","物品","31","器用さの種","掉落","艾斯特","灵巧之种"
"475","エスト","物品","222","艶めかしい尻尾","掉落","艾斯特","艳丽的尾巴"
"475","エスト","防具","1544","エクスタスガード","掉落","艾斯特","绝顶防护"
"475","エスト","防具","1887","あげはパンツ","可偷内裤","艾斯特","凤蝶娘的内裤"
"475","エスト","物品","1391","エストのミルク","可偷牛奶","艾斯特","艾斯特的乳汁"
"476","エスト","防具","1887","あげはパンツ","可偷内裤","艾斯特","凤蝶娘的内裤"
"476","エスト","物品","1391","エストのミルク","可偷牛奶","艾斯特","艾斯特的乳汁"
"477","エクスキューショナー","物品","30","素早さの種","掉落","艾斯丘雪娜","敏捷之种"
"477","エクスキューショナー","物品","222","艶めかしい尻尾","掉落","艾斯丘雪娜","艳丽的尾巴"
"477","エクスキューショナー","防具","1039","エルメスの腕輪","掉落","艾斯丘雪娜","赫尔墨斯手镯"
"477","エクスキューショナー","防具","1887","あげはパンツ","可偷内裤","艾斯丘雪娜","凤蝶娘的内裤"
"477","エクスキューショナー","物品","1406","エクスキューショナーのミルク","可偷牛奶","艾斯丘雪娜","艾斯丘雪娜的乳汁"
"478","オーガトゥース","物品","26","力の種","掉落","奥伽图丝","力量之种"
"478","オーガトゥース","物品","222","艶めかしい尻尾","掉落","奥伽图丝","艳丽的尾巴"
"478","オーガトゥース","防具","1004","オーラベルト","掉落","奥伽图丝","气场腰带"
"478","オーガトゥース","防具","1887","あげはパンツ","可偷内裤","奥伽图丝","凤蝶娘的内裤"
"478","オーガトゥース","物品","1407","オーガトゥースのミルク","可偷牛奶","奥伽图丝","奥伽图丝的乳汁"
"479","ミステルテイン","物品","28","魔力の種","掉落","米斯特汀","魔力之种"
"479","ミステルテイン","物品","222","艶めかしい尻尾","掉落","米斯特汀","艳丽的尾巴"
"479","ミステルテイン","防具","1490","快楽のアミュレット","掉落","米斯特汀","快乐之护符"
"479","ミステルテイン","防具","1887","あげはパンツ","可偷内裤","米斯特汀","凤蝶娘的内裤"
"479","ミステルテイン","物品","1408","ミステルテインのミルク","可偷牛奶","米斯特汀","米斯特汀的乳汁"
"480","ミュスカ","物品","31","器用さの種","掉落","缪丝卡","灵巧之种"
"480","ミュスカ","物品","222","艶めかしい尻尾","掉落","缪丝卡","艳丽的尾巴"
"480","ミュスカ","防具","1117","魔吸のマント","掉落","缪丝卡","魔吸斗篷"
"480","ミュスカ","防具","1887","あげはパンツ","可偷内裤","缪丝卡","凤蝶娘的内裤"
"480","ミュスカ","物品","1392","ミュスカのミルク","可偷牛奶","缪丝卡","缪丝卡的乳汁"
"481","ネメア","物品","28","魔力の種","掉落","涅梅雅","魔力之种"
"481","ネメア","物品","222","艶めかしい尻尾","掉落","涅梅雅","艳丽的尾巴"
"481","ネメア","防具","1068","情熱の指輪","掉落","涅梅雅","热情之戒"
"481","ネメア","防具","1887","あげはパンツ","可偷内裤","涅梅雅","凤蝶娘的内裤"
"481","ネメア","物品","1393","ネメアのミルク","可偷牛奶","涅梅雅","涅梅雅的乳汁"
"482","ヴィヌム","物品","26","力の種","掉落","薇诺姆","力量之种"
"482","ヴィヌム","物品","222","艶めかしい尻尾","掉落","薇诺姆","艳丽的尾巴"
"482","ヴィヌム","防具","1019","チャンピオンリスト","掉落","薇诺姆","冠军护腕"
"482","ヴィヌム","防具","1887","あげはパンツ","可偷内裤","薇诺姆","凤蝶娘的内裤"
"482","ヴィヌム","物品","1394","ヴィヌムのミルク","可偷牛奶","薇诺姆","薇诺姆的乳汁"
"483","ベル","物品","241","天使の羽根","掉落","贝尔","天使的羽毛"
"483","ベル","物品","421","エクレア","掉落","贝尔","闪电泡芙"
"483","ベル","物品","416","くまさんチョコ","掉落","贝尔","熊熊巧克力"
"483","ベル","物品","8","バーストドリンク","可偷物品","贝尔","爆发饮料"
"483","ベル","防具","1083","達人の黒帯","可偷物品","贝尔","达人的黑带"
"483","ベル","物品","358","ハンバーガー","可偷食材","贝尔","汉堡"
"483","ベル","物品","222","艶めかしい尻尾","可偷素材","贝尔","艳丽的尾巴"
"483","ベル","防具","1924","ソニアパンツ","可偷内裤","贝尔","索尼娅的内裤"
"483","ベル","物品","1402","ベルのミルク","可偷牛奶","贝尔","贝尔的乳汁"
"484","リラ","物品","241","天使の羽根","掉落","莉拉","天使的羽毛"
"484","リラ","物品","424","アイスクリーム","掉落","莉拉","冰淇淋"
"484","リラ","物品","423","プリン","掉落","莉拉","布丁"
"484","リラ","物品","8","バーストドリンク","可偷物品","莉拉","爆发饮料"
"484","リラ","防具","1083","達人の黒帯","可偷物品","莉拉","达人的黑带"
"484","リラ","物品","358","ハンバーガー","可偷食材","莉拉","汉堡"
"484","リラ","物品","222","艶めかしい尻尾","可偷素材","莉拉","艳丽的尾巴"
"484","リラ","防具","1924","ソニアパンツ","可偷内裤","莉拉","索尼娅的内裤"
"484","リラ","物品","1403","リラのミルク","可偷牛奶","莉拉","莉拉的乳汁"
"485","ミュゼット","物品","9","エリクサー","掉落","缪泽特","圣灵药"
"485","ミュゼット","物品","425","パフェ","掉落","缪泽特","芭菲"
"485","ミュゼット","物品","419","ロールケーキ","掉落","缪泽特","蛋糕卷"
"485","ミュゼット","物品","8","バーストドリンク","可偷物品","缪泽特","爆发饮料"
"485","ミュゼット","防具","1083","達人の黒帯","可偷物品","缪泽特","达人的黑带"
"485","ミュゼット","物品","358","ハンバーガー","可偷食材","缪泽特","汉堡"
"485","ミュゼット","物品","222","艶めかしい尻尾","可偷素材","缪泽特","艳丽的尾巴"
"485","ミュゼット","防具","1924","ソニアパンツ","可偷内裤","缪泽特","索尼娅的内裤"
"485","ミュゼット","物品","1404","ミュゼットのミルク","可偷牛奶","缪泽特","缪泽特的乳汁"
"486","フルビュア","物品","32","小さなメダル","掉落","芙尔维娅","小奖章"
"486","フルビュア","物品","222","艶めかしい尻尾","掉落","芙尔维娅","艳丽的尾巴"
"486","フルビュア","防具","1621","淫具の勲章","掉落","芙尔维娅","淫具之勋章"
"486","フルビュア","防具","1887","あげはパンツ","可偷内裤","芙尔维娅","凤蝶娘的内裤"
"486","フルビュア","物品","1395","フルビュアのミルク","可偷牛奶","芙尔维娅","芙尔维娅的乳汁"
"487","ギルゴーン","物品","9","エリクサー","掉落","吉尔贡","圣灵药"
"487","ギルゴーン","物品","81","輝晶黒闇石","掉落","吉尔贡","辉晶黑暗石"
"487","ギルゴーン","防具","1209","闇のシンボル","掉落","吉尔贡","暗之符号"
"487","ギルゴーン","防具","1930","リノアパンツ","可偷内裤","吉尔贡","莉诺雅内裤"
"487","ギルゴーン","物品","1396","ギルゴーンのミルク","可偷牛奶","吉尔贡","吉尔贡的乳汁"
"488","大明海","物品","29","精神の種","掉落","大明海","精神之种"
"488","大明海","物品","361","おにぎり","掉落","大明海","饭团"
"488","大明海","防具","1262","聖なる秘伝書","掉落","大明海","圣之秘传书"
"488","大明海","防具","1930","リノアパンツ","可偷内裤","大明海","莉诺雅内裤"
"488","大明海","物品","1398","大明海のミルク","可偷牛奶","大明海","大明海的乳汁"
"489","ターサ","物品","31","器用さの種","掉落","塔莎","灵巧之种"
"489","ターサ","物品","222","艶めかしい尻尾","掉落","塔莎","艳丽的尾巴"
"489","ターサ","防具","1658","踊り子の悟り・踊り編","掉落","塔莎","舞者的领悟・舞蹈篇"
"489","ターサ","防具","1887","あげはパンツ","可偷内裤","塔莎","凤蝶娘的内裤"
"489","ターサ","物品","1405","ターサのミルク","可偷牛奶","塔莎","塔莎的乳汁"
"490","妲己","物品","12","世界樹の葉","掉落","妲己","世界树之叶"
"490","妲己","物品","242","もふもふしっぽ","掉落","妲己","毛绒绒的尾巴"
"490","妲己","防具","1379","獣技の秘伝書","掉落","妲己","兽技之秘传书"
"490","妲己","物品","1401","妲己のミルク","可偷牛奶","妲己","妲己的乳汁"
"491","エスト","物品","10","ラストエリクサー","掉落","艾斯特","最终圣灵药"
"491","エスト","物品","222","艶めかしい尻尾","掉落","艾斯特","艳丽的尾巴"
"491","エスト","防具","1591","リボン","掉落","艾斯特","缎带"
"491","エスト","防具","1887","あげはパンツ","可偷内裤","艾斯特","凤蝶娘的内裤"
"491","エスト","物品","1391","エストのミルク","可偷牛奶","艾斯特","艾斯特的乳汁"
"492","サキュバス","物品","431","ヤマタイ酒","掉落","魅魔","邪马台酒"
"492","サキュバス","物品","222","艶めかしい尻尾","掉落","魅魔","艳丽的尾巴"
"492","サキュバス","物品","2","高級薬草","掉落","魅魔","高级药草"
"492","サキュバス","物品","52","紅炎石","可偷物品","魅魔","红炎石"
"492","サキュバス","防具","1473","敏感の印","可偷物品","魅魔","敏感之印"
"492","サキュバス","物品","415","ホワイトハートチョコ","可偷食材","魅魔","白心巧克力"
"492","サキュバス","物品","222","艶めかしい尻尾","可偷素材","魅魔","艳丽的尾巴"
"492","サキュバス","防具","1889","ナイトハーピーのパンツ","可偷内裤","魅魔","骑士哈比的内裤"
"492","サキュバス","物品","1409","夢魔のミルク","可偷牛奶","魅魔","梦魔的乳汁"
"493","ミミック娘","物品","36","幸せの種","掉落","宝箱娘","幸福之种"
"493","ミミック娘","物品","161","ヌルヌル粘液","掉落","宝箱娘","黏滑粘液"
"493","ミミック娘","物品","32","小さなメダル","掉落","宝箱娘","小奖章"
"493","ミミック娘","物品","11","フェニックスの尾","可偷物品","宝箱娘","凤凰之尾"
"493","ミミック娘","物品","32","小さなメダル","可偷物品","宝箱娘","小奖章"
"493","ミミック娘","物品","359","ピザ","可偷食材","宝箱娘","披萨"
"493","ミミック娘","物品","161","ヌルヌル粘液","可偷素材","宝箱娘","黏滑粘液"
"493","ミミック娘","防具","1823","ミミックパンツ","可偷内裤","宝箱娘","宝箱怪内裤"
"494","サキュバス","物品","417","ケーキ","掉落","魅魔","蛋糕"
"494","サキュバス","物品","222","艶めかしい尻尾","掉落","魅魔","艳丽的尾巴"
"494","サキュバス","物品","25","不思議な木の実","掉落","魅魔","不可思议之果"
"494","サキュバス","物品","52","紅炎石","可偷物品","魅魔","红炎石"
"494","サキュバス","防具","1473","敏感の印","可偷物品","魅魔","敏感之印"
"494","サキュバス","物品","415","ホワイトハートチョコ","可偷食材","魅魔","白心巧克力"
"494","サキュバス","物品","222","艶めかしい尻尾","可偷素材","魅魔","艳丽的尾巴"
"494","サキュバス","防具","1889","ナイトハーピーのパンツ","可偷内裤","魅魔","骑士哈比的内裤"
"494","サキュバス","物品","1409","夢魔のミルク","可偷牛奶","魅魔","梦魔的乳汁"
"495","エクスキューショナー","物品","30","素早さの種","掉落","艾斯丘雪娜","敏捷之种"
"495","エクスキューショナー","物品","222","艶めかしい尻尾","掉落","艾斯丘雪娜","艳丽的尾巴"
"495","エクスキューショナー","防具","1039","エルメスの腕輪","掉落","艾斯丘雪娜","赫尔墨斯手镯"
"495","エクスキューショナー","防具","1887","あげはパンツ","可偷内裤","艾斯丘雪娜","凤蝶娘的内裤"
"495","エクスキューショナー","物品","1406","エクスキューショナーのミルク","可偷牛奶","艾斯丘雪娜","艾斯丘雪娜的乳汁"
"496","オーガトゥース","物品","26","力の種","掉落","奥伽图丝","力量之种"
"496","オーガトゥース","物品","222","艶めかしい尻尾","掉落","奥伽图丝","艳丽的尾巴"
"496","オーガトゥース","防具","1004","オーラベルト","掉落","奥伽图丝","气场腰带"
"496","オーガトゥース","防具","1887","あげはパンツ","可偷内裤","奥伽图丝","凤蝶娘的内裤"
"496","オーガトゥース","物品","1407","オーガトゥースのミルク","可偷牛奶","奥伽图丝","奥伽图丝的乳汁"
"498","カサンドラ","物品","29","精神の種","掉落","卡桑德拉","精神之种"
"498","カサンドラ","物品","361","おにぎり","掉落","卡桑德拉","饭团"
"498","カサンドラ","物品","381","野菜サラダ","掉落","卡桑德拉","蔬菜沙拉"
"498","カサンドラ","物品","1297","カサンドラのミルク","可偷牛奶","卡桑德拉","卡桑德拉的乳汁"
"499","クロムドールMk.I","物品","7","ブーストドリンク","可偷物品","クロムドールMk.I","能量饮料"
"499","クロムドールMk.I","防具","1306","斧の書","可偷物品","クロムドールMk.I","斧之书"
"499","クロムドールMk.I","物品","342","ミルク","可偷食材","クロムドールMk.I","牛奶"
"499","クロムドールMk.I","物品","189","猛牛の角","可偷素材","クロムドールMk.I","猛牛之角"
"499","クロムドールMk.I","防具","1843","ミノタウロスパンツ","可偷内裤","クロムドールMk.I","米诺陶洛斯内裤"
"501","ガルーダ","物品","12","世界樹の葉","掉落","迦楼罗","世界树之叶"
"501","ガルーダ","物品","249","奇跡の卵","掉落","迦楼罗","奇迹的蛋"
"501","ガルーダ","物品","252","奇跡の羽根","掉落","迦楼罗","奇迹的羽毛"
"501","ガルーダ","物品","1411","ガルーダのミルク","可偷牛奶","迦楼罗","迦楼罗的乳汁"
"502","コックローチ娘","物品","246","覇虫の針","掉落","蟑螂娘","霸虫的针"
"502","コックローチ娘","物品","3","究極薬草","掉落","蟑螂娘","究极药草"
"502","コックローチ娘","物品","61","電光黄雷石","掉落","蟑螂娘","电光黄雷石"
"502","コックローチ娘","物品","3","究極薬草","可偷物品","蟑螂娘","究极药草"
"502","コックローチ娘","防具","1229","虫破りの呪符","可偷物品","蟑螂娘","虫破咒符"
