"来源ID","日本名称","学习等级","学习类型","学习对象ID","日本技能/能力名称","日本所属","日本说明","HP消耗","MP消耗","SP消耗（内部TP）","所需AP（记忆容量）","技能类型ID","中文名称","中文技能/能力名称","中文所属","中文说明"
"96","神唱の歌姫","2","技能","2092","空蝉の歌","歌う","対象：味方全体　効果：回避率大アップ
不思議な歌で分身を生み出し、回避率をアップさせる","0","0","4","","38","神唱的歌姬","空蝉之歌","歌唱","対象：味方全体　効果：回避率大アップ
用神奇的歌声产生分身，提高回避率"
"96","神唱の歌姫","3","能力","561","魔法回避率30%","防御アビリティ","魔法回避率が30%になる","","","","15","4","神唱的歌姬","魔法回避率30%","防御能力","魔法回避率增加30%"
"96","神唱の歌姫","4","技能","2079","愛の歌","歌う","対象：敵全体　効果：恍惚
甘いメロディーで敵全体を恍惚に浸らせる","0","0","2","","38","神唱的歌姬","爱之歌","歌唱","対象：敵全体　効果：恍惚
甜美的旋律使全体敌人陷入恍惚"
"96","神唱の歌姫","5","能力","736","超ハインド","特殊アビリティ","戦闘時、敵に狙われる確率が大きく下がる","","","","3","5","神唱的歌姬","超级隐蔽","特殊能力","战斗时，被敌人盯上的概率大幅降低"
"96","神唱の歌姫","6","技能","2075","レクイエム","歌う","威力：Ｃ（器）　対象：敵全体　属性：音波　効果：ゾンビ・幽霊特攻
死者に捧げる鎮魂歌でアンデッドにダメージを与える","0","0","4","","38","神唱的歌姬","镇魂曲","歌唱","威力：Ｃ（器）　対象：敵全体　属性：音波　効果：ゾンビ・幽霊特攻
献给死者的镇魂曲，对不死族造成伤害"
"96","神唱の歌姫","7","能力","414","「歌う」使用可能","職技アビリティ","「歌う」が使用可能になる","","","","5","2","神唱的歌姬","可以使用「歌唱」","职技能力","可以使用「歌唱」"
"96","神唱の歌姫","8","技能","2091","英雄の歌","歌う","対象：味方全体　効果：全能力アップ
勇ましい歌で味方全体の潜在能力を引き出す","0","0","8","","38","神唱的歌姬","英雄之歌","歌唱","対象：味方全体　効果：全能力アップ
用勇猛的歌激发我方全体的潜在能力"
"96","神唱の歌姫","9","能力","377","竪琴ハイブースター","職技アビリティ","竪琴装備時、その武器によるダメージが30%アップする","","","","20","2","神唱的歌姬","竖琴高级增强","职技能力","装备竖琴时，该武器造成的伤害提升30%"
"96","神唱の歌姫","10","技能","2085","精霊の歌","歌う","対象：味方全体　効果：蘇生
精霊に捧げる歌で戦闘不能の仲間を蘇生させる","0","0","3","","38","神唱的歌姬","精灵之歌","歌唱","対象：味方全体　効果：蘇生
献给精灵的歌，使战斗不能的同伴复活"
"96","神唱の歌姫","10","能力","8472","竪琴マスタリー","特殊アビリティ","竪琴の装備効果が上昇する","","","","10","5","神唱的歌姬","竖琴精通","特殊能力","竖琴的装备效果提升"
"97","娼婦","2","技能","2460","手淫","淫技","威力：Ｃ（器）　対象：敵単体　属性：快楽　効果：敏感
手で性器を愛撫する淫技","0","0","4","","49","娼妇","手淫","淫技","威力：Ｃ（器）　対象：敵単体　属性：快楽　効果：敏感
用手爱抚性器的淫技"
"97","娼婦","3","能力","687","敏感回避","防御アビリティ","敏感状態を50%の確率で無効化する","","","","2","4","娼妇","敏感回避","防御能力","敏感状态50%的概率无效化"
"97","娼婦","4","技能","2465","口淫","淫技","威力：Ｃ（器）　対象：敵単体　属性：快楽　効果：ヌルヌル
性器を口で愛撫する淫技","0","0","4","","49","娼妇","口淫","淫技","威力：Ｃ（器）　対象：敵単体　属性：快楽　効果：ヌルヌル
用口爱抚性器的淫技"
"97","娼婦","5","能力","689","恍惚回避","防御アビリティ","恍惚状態を50%の確率で無効化する","","","","2","4","娼妇","恍惚回避","防御能力","恍惚状态50%的概率无效化"
"97","娼婦","6","技能","2468","パイズリ","淫技","威力：Ｃ（器）　対象：敵単体　属性：快楽　効果：恍惚
柔らかな胸で相手の性器を刺激する性技","0","0","4","","49","娼妇","乳交","淫技","威力：Ｃ（器）　対象：敵単体　属性：快楽　効果：恍惚
用柔软的胸部刺激对方的性器"
"97","娼婦","7","能力","364","物理攻撃敏感付加10%","職技アビリティ","物理攻撃に10%の敏感効果が付加する","","","","10","2","娼妇","物理攻击敏感附加10%","职技能力","物理攻击附加10%的敏感效果"
"97","娼婦","8","能力","367","物理攻撃恍惚付加10%","職技アビリティ","物理攻撃に10%の恍惚効果が付加する","","","","10","2","娼妇","物理攻击恍惚附加10%","职技能力","物理攻击附加10%的恍惚效果"
"97","娼婦","9","能力","394","淫具ブースター","職技アビリティ","淫具装備時、その武器によるダメージが15%アップする","","","","10","2","娼妇","淫具增强","职技能力","装备淫具时，该武器造成的伤害提升15%"
"97","娼婦","10","技能","2471","騎乗位","淫技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：拘束
相手にまたがり騎乗位で敵を犯す淫技","0","0","5","","49","娼妇","骑乘位","淫技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：拘束
跨坐在对手身上，骑乘位侵犯敌人的淫技"
"98","慈愛の聖娼","2","技能","2461","恍惚の指使い","淫技","威力：Ｂ（器）　対象：敵全体　属性：快楽　効果：敏感・恍惚
艶めかしい指使いで性器をなぞり恍惚に浸らせる淫技","0","0","7","","49","慈爱的圣娼","恍惚的指法","淫技","威力：Ｂ（器）　対象：敵全体　属性：快楽　効果：敏感・恍惚
用艳丽的手法抚摸性器，使其陷入恍惚的淫技"
"98","慈愛の聖娼","3","能力","406","「淫具」装備可能","職技アビリティ","「淫具」が装備可能になる","","","","5","2","慈爱的圣娼","可以装备「淫具」","职技能力","变得可以装备「淫具」"
"98","慈愛の聖娼","4","技能","2466","至福の口淫","淫技","威力：Ａ（器）　対象：敵ランダム4回　属性：快楽　効果：ヌルヌル
甘い快楽を与える事を目的とした艶めかしい口淫","0","0","7","","49","慈爱的圣娼","至福的口交","淫技","威力：Ａ（器）　対象：敵ランダム4回　属性：快楽　効果：ヌルヌル
以给予甜美快乐为目的的艳丽口交"
"98","慈愛の聖娼","5","能力","688","敏感無効","防御アビリティ","敏感状態を完全に無効化する","","","","4","4","慈爱的圣娼","敏感无效","防御能力","完全消除敏感状态"
"98","慈愛の聖娼","6","技能","2476","ヘブンズキッス","淫技","威力：Ｂ（器）　対象：敵ランダム3回　属性：快楽　効果：敏感・昇天
天国のキッスで昇天させる淫技","0","0","7","","49","慈爱的圣娼","天堂之吻","淫技","威力：Ｂ（器）　対象：敵ランダム3回　属性：快楽　効果：敏感・昇天
用天堂之吻使其升天的淫技"
"98","慈愛の聖娼","7","能力","365","物理攻撃敏感付加25%","職技アビリティ","物理攻撃に25%の敏感効果が付加する","","","","20","2","慈爱的圣娼","物理攻击敏感附加25%","职技能力","物理攻击附加25%的敏感效果"
"98","慈愛の聖娼","8","技能","2469","慈愛の乳圧","淫技","威力：Ａ（器）　対象：敵全体　属性：快楽　効果：恍惚
性器を乳房で圧迫し慈愛に浸らせる淫技","0","0","8","","49","慈爱的圣娼","慈爱的乳压","淫技","威力：Ａ（器）　対象：敵全体　属性：快楽　効果：恍惚
用乳房压迫性器，使其沉浸在慈爱中的淫技"
"98","慈愛の聖娼","9","能力","395","淫具ハイブースター","職技アビリティ","淫具装備時、その武器によるダメージが30%アップする","","","","20","2","慈爱的圣娼","淫具高级增强","职技能力","装备淫具时，该武器造成的伤害提升30%"
"98","慈愛の聖娼","10","技能","2472","天上のカーマストラ","淫技","威力：Ｓ（器）　対象：敵単体　属性：快楽　効果：拘束
相手に天上の快楽を与える騎乗位奥義","0","0","9","","49","慈爱的圣娼","天上的爱经","淫技","威力：Ｓ（器）　対象：敵単体　属性：快楽　効果：拘束
给予对手天上快乐的骑乘位奥义"
"98","慈愛の聖娼","10","能力","8494","淫具マスタリー","特殊アビリティ","淫具の装備効果が上昇する","","","","10","5","慈爱的圣娼","淫具精通","特殊能力","淫具的装备效果提升"
"99","傾国の魔娼","2","技能","2462","昇天の指使い","淫技","威力：Ｂ（器）　対象：敵全体　属性：快楽　効果：敏感・絶頂
艶めかしい指使いで性器をなぞり昇天させる淫技","0","0","7","","49","倾国的魔娼","升天的指法","淫技","威力：Ｂ（器）　対象：敵全体　属性：快楽　効果：敏感・絶頂
用艳丽的手法抚摸性器，使其升天的淫技"
"99","傾国の魔娼","3","能力","422","「淫技」使用可能","職技アビリティ","「淫技」が使用可能になる","","","","5","2","倾国的魔娼","可以使用「淫技」","职技能力","可以使用「淫技」"
"99","傾国の魔娼","4","技能","2467","種吸いの口淫","淫技","威力：Ａ（器）　対象：敵ランダム4回　属性：快楽　効果：ヌルヌル
射精させる事を目的とした無慈悲な口淫","0","0","7","","49","倾国的魔娼","吸精的口交","淫技","威力：Ａ（器）　対象：敵ランダム4回　属性：快楽　効果：ヌルヌル
以射精为目的的无情口交"
"99","傾国の魔娼","5","能力","690","恍惚無効","防御アビリティ","恍惚状態を完全に無効化する","","","","4","4","倾国的魔娼","恍惚无效","防御能力","完全消除恍惚状态"
"99","傾国の魔娼","6","技能","2477","デスキッス","淫技","威力：Ｂ（器）　対象：敵ランダム3回　属性：快楽　効果：敏感・即死
魔性のキッスで死に誘う淫技","0","0","7","","49","倾国的魔娼","死亡之吻","淫技","威力：Ｂ（器）　対象：敵ランダム3回　属性：快楽　効果：敏感・即死
用魔性之吻诱其死亡的淫技"
"99","傾国の魔娼","7","能力","368","物理攻撃恍惚付加25%","職技アビリティ","物理攻撃に25%の恍惚効果が付加する","","","","20","2","倾国的魔娼","物理攻击恍惚附加25%","职技能力","物理攻击附加25%的恍惚效果"
"99","傾国の魔娼","8","技能","2470","悪夢の胸搾り","淫技","威力：Ａ（器）　対象：敵全体　属性：快楽　効果：恍惚
性器を乳房で圧迫し快楽地獄に悶えさせる淫技","0","0","8","","49","倾国的魔娼","恶梦的胸榨","淫技","威力：Ａ（器）　対象：敵全体　属性：快楽　効果：恍惚
用乳房压迫性器，使其在快乐地狱中挣扎的淫技"
"99","傾国の魔娼","9","能力","395","淫具ハイブースター","職技アビリティ","淫具装備時、その武器によるダメージが30%アップする","","","","20","2","倾国的魔娼","淫具高级增强","职技能力","装备淫具时，该武器造成的伤害提升30%"
"99","傾国の魔娼","10","技能","2473","傾国の夢","淫技","威力：Ｓ（器）　対象：敵単体　属性：快楽　効果：拘束
あらゆる男女を虜にする騎乗位奥義","0","0","9","","49","倾国的魔娼","倾国之梦","淫技","威力：Ｓ（器）　対象：敵単体　属性：快楽　効果：拘束
能俘获所有男女的骑乘位奥义"
"99","傾国の魔娼","10","能力","8494","淫具マスタリー","特殊アビリティ","淫具の装備効果が上昇する","","","","10","5","倾国的魔娼","淫具精通","特殊能力","淫具的装备效果提升"
"100","スーパースター","2","技能","3149","セクシービーム","特技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：誘惑
セクシーポーズから放たれる光線で狙い撃ち","0","0","4","","63","超级巨星","性感光束","特技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：誘惑
从性感姿势中发射的光线进行狙击"
"100","スーパースター","3","能力","691","誘惑回避","防御アビリティ","誘惑状態を50%の確率で無効化する","","","","2","4","超级巨星","诱惑回避","防御能力","诱惑状态50%的概率无效化"
"100","スーパースター","4","能力","773","踊り状態異常率アップ","特殊アビリティ","踊り使用時のステータス異常発生率がアップする","","","","10","5","超级巨星","舞蹈状态异常率提升","特殊能力","跳舞时状态异常发生率提升"
"100","スーパースター","5","技能","2047","ハッスルダンス","踊る","対象：味方全体　効果：HP中回復
生命力みなぎる踊りで味方全体の体力を回復する","0","0","2","","37","超级巨星","活力之舞","踊る","対象：味方全体　効果：HP中回復
充满生命力的舞蹈，为我方全体恢复体力"
"100","スーパースター","6","能力","774","歌状態異常率アップ","特殊アビリティ","歌使用時のステータス異常発生率がアップする","","","","10","5","超级巨星","歌唱状态异常率提升","特殊能力","唱歌时状态异常发生率提升"
"100","スーパースター","7","技能","2081","キラッ☆","歌う","対象：敵全体　効果：スタン・誘惑
歌姫の輝きで全てのギャラリーを魅了する","0","0","2","","38","超级巨星","闪亮☆","歌唱","対象：敵全体　効果：スタン・誘惑
歌姬的光辉魅惑所有观众"
"100","スーパースター","8","能力","370","物理攻撃誘惑付加10%","職技アビリティ","物理攻撃に10%の誘惑効果が付加する","","","","10","2","超级巨星","物理攻击诱惑附加10%","职技能力","物理攻击附加10%的诱惑效果"
"100","スーパースター","9","技能","3151","ステージタイム","特技","対象：使用者　効果：2回行動・「踊る」「歌う」のみ・SP自動回復
2回行動が可能になるが、「踊る」と「歌う」しか使えない","0","0","3","","63","超级巨星","舞台时间","特技","対象：使用者　効果：2回行動・「踊る」「歌う」のみ・SP自動回復
可以进行2次行动，但只能使用「舞蹈」和「歌唱」"
"100","スーパースター","10","技能","3150","ピンクタイフーン","特技","威力：Ｂ（器）　対象：敵全体　属性：快楽　効果：誘惑
お色気のタイフーンでどんな敵もメロメロに","0","0","6","","63","超级巨星","粉红台风","特技","威力：Ｂ（器）　対象：敵全体　属性：快楽　効果：誘惑
用色气的台风让任何敌人都心醉神迷"
"101","バトルファッカー","2","技能","2463","ゴールドフィンガー","淫技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：敏感・失禁
相手を失禁に至らせる黄金の指技","0","0","5","","49","BF斗士","黄金手指","淫技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：敏感・失禁
使对方失禁的黄金手指技"
"101","バトルファッカー","3","能力","648","絶頂回避","防御アビリティ","絶頂攻撃を50%の確率で無効化する","","","","2","4","BF斗士","绝顶回避","防御能力","绝顶攻击50%的概率无效化"
"101","バトルファッカー","3","能力","693","失禁回避","防御アビリティ","失禁状態を50%の確率で無効化する","","","","2","4","BF斗士","失禁回避","防御能力","失禁状态50%的概率无效化"
"101","バトルファッカー","4","技能","2478","淫楽絡み締め","淫技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：拘束
絡み付くように密着し、柔らかな肉体で締め上げる絞め技","0","0","5","","49","BF斗士","淫乐缠绞","淫技","威力：Ｂ（器）　対象：敵単体　属性：快楽　効果：拘束
像缠绕一样紧密贴合，用柔软的身体收紧的绞杀技"
"101","バトルファッカー","5","能力","373","物理攻撃失禁付加10%","職技アビリティ","物理攻撃に10%の失禁効果が付加する","","","","10","2","BF斗士","物理攻击失禁附加10%","职技能力","物理攻击附加10%的失禁效果"
"101","バトルファッカー","6","技能","2480","股間連続蹴り","淫技","威力：Ｂ（器or速）　対象：敵単体　属性：物理・快楽　効果：麻痺
股間を連続で蹴り付け、麻痺させる技","0","0","5","","49","BF斗士","股间连续踢","淫技","威力：Ｂ（器or速）　対象：敵単体　属性：物理・快楽　効果：麻痺
连续踢击股间，使其麻痹的技"
"101","バトルファッカー","7","能力","594","快楽ダメージ軽減","防御アビリティ","快楽属性のダメージを3/4にする","","","","10","4","BF斗士","快乐伤害减轻","防御能力","快乐属性的伤害降低至3/4"
"101","バトルファッカー","8","技能","2511","悦楽の防護","淫技","対象：使用者　効果：快楽半減
精神を集中し受ける快楽を軽減する","0","0","3","","49","BF斗士","悦乐防护","淫技","対象：使用者　効果：快楽半減
集中精神减轻所受的快乐"
"101","バトルファッカー","9","能力","467","快楽ブースター","魔法アビリティ","快楽属性のダメージが15%アップする","","","","8","3","BF斗士","快乐增强","魔法能力","快乐属性的伤害提升15%"
"101","バトルファッカー","10","技能","2474","秒殺グラインド","淫技","威力：Ａ（器）　対象：敵単体　属性：快楽　効果：拘束・絶頂
激しい腰の動きでたちどころに絶頂させる騎乗位の奥義","0","0","6","","49","BF斗士","秒杀扭臀","淫技","威力：Ａ（器）　対象：敵単体　属性：快楽　効果：拘束・絶頂
用激烈的腰部动作瞬间使其达到高潮的骑乘位奥义"
"102","クィーンファッカー","2","技能","2464","瞬殺の指技","淫技","威力：Ｓ（器）　対象：敵全体　属性：快楽　効果：敏感・絶頂
たちどころに相手を絶頂させる魔性の指技","0","0","12","","49","女王BF","瞬杀的指技","淫技","威力：Ｓ（器）　対象：敵全体　属性：快楽　効果：敏感・絶頂
瞬间使对方达到高潮的魔性手法"
"102","クィーンファッカー","3","能力","649","絶頂無効","防御アビリティ","絶頂攻撃を完全に無効化する","","","","4","4","女王BF","绝顶无效","防御能力","绝顶攻击完全无效化"
"102","クィーンファッカー","3","能力","694","失禁無効","防御アビリティ","失禁状態を完全に無効化する","","","","4","4","女王BF","失禁无效","防御能力","完全消除失禁状态"
"102","クィーンファッカー","4","技能","2475","吸精殺","淫技","威力：ＳＳ（器）　対象：敵単体　属性：快楽　効果：拘束・HP吸収
精気をじわじわと吸い上げる騎乗位の奥義","0","0","14","","49","女王BF","吸精杀","淫技","威力：ＳＳ（器）　対象：敵単体　属性：快楽　効果：拘束・HP吸収
慢慢吸取精气的骑乘位奥义"
"102","クィーンファッカー","5","能力","374","物理攻撃失禁付加25%","職技アビリティ","物理攻撃に25%の失禁効果が付加する","","","","20","2","女王BF","物理攻击失禁附加25%","职技能力","物理攻击附加25%的失禁效果"
"102","クィーンファッカー","6","技能","2481","超速電気アンマ","淫技","威力：Ａ（器or速）　対象：敵単体　属性：物理・快楽　効果：麻痺
相手の股間に足で振動を与え嫐りたてる淫技","0","0","7","","49","女王BF","超速电击按摩","淫技","威力：Ａ（器or速）　対象：敵単体　属性：物理・快楽　効果：麻痺
用脚在对手的股间施加振动，使其感到痛苦的淫技"
"102","クィーンファッカー","7","能力","595","快楽ダメージ半減","防御アビリティ","快楽属性のダメージを半分にする","","","","20","4","女王BF","快乐伤害减半","防御能力","快乐属性的伤害减半"
"102","クィーンファッカー","8","技能","2512","悦楽の遮断","淫技","対象：使用者　効果：快楽無効
精神を集中しいっさいの快楽を遮断する","0","0","6","","49","女王BF","悦乐遮断","淫技","対象：使用者　効果：快楽無効
集中精神完全遮断一切快乐"
"102","クィーンファッカー","9","能力","468","快楽ハイブースター","魔法アビリティ","快楽属性のダメージが30%アップする","","","","16","3","女王BF","快乐高级增强","魔法能力","快乐属性的伤害提升30%"
"102","クィーンファッカー","9","能力","8502","ドレスマスタリー","特殊アビリティ","ドレス・薄着の装備効果が上昇する","","","","5","5","女王BF","礼服精通","特殊能力","礼服・薄衣的装备效果提升"
"102","クィーンファッカー","10","技能","2479","愛と淫欲のドグマ","淫技","威力：ＳＳ（器）　対象：敵全体　属性：快楽　効果：拘束・絶頂
究極の性技とも言われている淫乱奥義","0","0","17","","49","女王BF","爱与淫欲的教义","淫技","威力：ＳＳ（器）　対象：敵全体　属性：快楽　効果：拘束・絶頂
被称为究极性技的淫乱奥义"
"102","クィーンファッカー","10","能力","8494","淫具マスタリー","特殊アビリティ","淫具の装備効果が上昇する","","","","10","5","女王BF","淫具精通","特殊能力","淫具的装备效果提升"
"103","学者","2","技能","2132","燃焼反応","魔導科学","威力：Ｄ（魔or器）　対象：敵全体　属性：炎
科学の力で燃焼反応を起こす","0","0","3","","40","学者","燃烧反应","魔導科学","威力：Ｄ（魔or器）　対象：敵全体　属性：炎
用科学的力量引发燃烧反应"
"103","学者","3","技能","2135","凝結反応","魔導科学","威力：Ｄ（魔or器）　対象：敵全体　属性：氷
科学の力で凝結反応を起こす","0","0","3","","40","学者","凝结反应","魔導科学","威力：Ｄ（魔or器）　対象：敵全体　属性：氷
利用科学的力量引发凝结反应"
"103","学者","4","技能","2138","通電反応","魔導科学","威力：Ｄ（魔or器）　対象：敵全体　属性：雷
科学の力で通電反応を起こす","0","0","3","","40","学者","通电反应","魔導科学","威力：Ｄ（魔or器）　対象：敵全体　属性：雷
利用科学的力量引发通电反应"
"103","学者","5","能力","634","バイオダメージ軽減","防御アビリティ","バイオ属性のダメージを3/4にする","","","","5","4","学者","生化伤害减轻","防御能力","生化属性的伤害降低至3/4"
"103","学者","6","能力","630","音波ダメージ軽減","防御アビリティ","音波属性のダメージを3/4にする","","","","5","4","学者","音波伤害减轻","防御能力","音波属性的伤害降低至3/4"
"103","学者","7","技能","2147","全環境防護","魔導科学","対象：使用者　効果：炎・氷・雷無効
全環境に耐えうる防護装備を着用する","0","0","2","","40","学者","全环境防护","魔導科学","対象：使用者　効果：炎・氷・雷無効
穿上能耐受全环境的防护装备"
"103","学者","8","技能","2152","SP変換","魔導科学","対象：使用者　効果：SP小回復
MPをSPに変換する","0","5","0","","40","学者","SP转换","魔導科学","対象：使用者　効果：SP小回復
将MP转换为SP"
"103","学者","9","技能","2148","対化学防護","魔導科学","対象：使用者　効果：状態異常予防
化学戦に耐えうる防護装備を着用する","0","0","2","","40","学者","化学防护","魔導科学","対象：使用者　効果：状態異常予防
穿上能耐受化学战的防护装备"
"103","学者","10","技能","2149","MP変換","魔導科学","対象：使用者　効果：MP小回復
SPをMPに変換する","0","0","3","","40","学者","MP转换","魔導科学","対象：使用者　効果：MP小回復
将SP转换为MP"
"104","魔導学者","2","技能","2133","超熱輻射","魔導科学","威力：Ｃ（魔or器）　対象：敵全体　属性：炎
科学の力で超熱輻射を起こす","0","0","5","","40","魔导学者","超热辐射","魔導科学","威力：Ｃ（魔or器）　対象：敵全体　属性：炎
利用科学的力量引发超热辐射"
"104","魔導学者","3","技能","2136","電荷相転移","魔導科学","威力：Ｃ（魔or器）　対象：敵全体　属性：氷
科学の力で電荷相転移を起こす","0","0","5","","40","魔导学者","电荷相变","魔導科学","威力：Ｃ（魔or器）　対象：敵全体　属性：氷
利用科学的力量引发电荷相变"
"104","魔導学者","4","技能","2139","真空放電","魔導科学","威力：Ｃ（魔or器）　対象：敵全体　属性：雷
科学の力で真空放電を起こす","0","0","5","","40","魔导学者","真空放电","魔導科学","威力：Ｃ（魔or器）　対象：敵全体　属性：雷
利用科学的力量引发真空放电"
"104","魔導学者","5","能力","631","音波ダメージ半減","防御アビリティ","音波属性のダメージを半分にする","","","","10","4","魔导学者","音波伤害减半","防御能力","音波属性的伤害减半"
"104","魔導学者","5","能力","635","バイオダメージ半減","防御アビリティ","バイオ属性のダメージを半分にする","","","","10","4","魔导学者","生化伤害减半","防御能力","生化属性的伤害减半"
"104","魔導学者","6","能力","137","キメラ特攻","戦技アビリティ","キメラに対して特攻ダメージを与える","","","","12","1","魔导学者","奇美拉特攻","战技能力","对奇美拉造成特攻伤害"
"104","魔導学者","7","技能","2153","超SP変換","魔導科学","対象：使用者　効果：SP中回復
大量のMPをSPに変換する","0","10","0","","40","魔导学者","超SP转换","魔導科学","対象：使用者　効果：SP中回復
将大量MP转换为SP"
"104","魔導学者","8","技能","2150","超MP変換","魔導科学","対象：使用者　効果：MP中回復
大量のSPをMPに変換する","0","0","8","","40","魔导学者","超MP转换","魔導科学","対象：使用者　効果：MP中回復
将大量SP转换为MP"
"104","魔導学者","9","技能","2142","デザインブレイク","魔導科学","威力：Ｂ（魔or器）　対象：敵単体　効果：キメラ特攻
遺伝子操作された特別な魔物を破壊する","0","0","5","","40","魔导学者","设计破坏","魔導科学","威力：Ｂ（魔or器）　対象：敵単体　効果：キメラ特攻
破坏经过基因操作的特殊魔物"
"104","魔導学者","10","技能","2141","沈黙の春","魔導科学","威力：Ｂ（魔or器）　対象：敵全体　属性：バイオ　効果：暗闇・沈黙
特別に生成された化学兵器を使用する","0","0","6","","40","魔导学者","寂静的春天","魔導科学","威力：Ｂ（魔or器）　対象：敵全体　属性：バイオ　効果：暗闇・沈黙
使用特别生成的化学武器"
"105","マスターアルケミスト","2","技能","2134","爆縮","魔導科学","威力：Ａ（魔or器）　対象：敵全体　属性：炎
科学の力で爆縮を起こす","0","0","8","","40","大师炼金术士","内爆","魔導科学","威力：Ａ（魔or器）　対象：敵全体　属性：炎
利用科学的力量引发内爆"
"105","マスターアルケミスト","3","能力","632","音波ダメージ無効","防御アビリティ","音波属性のダメージを無効化する","","","","15","4","大师炼金术士","音波伤害无效","防御能力","音波属性的伤害无效化"
"105","マスターアルケミスト","3","能力","636","バイオダメージ無効","防御アビリティ","バイオ属性のダメージを無効化する","","","","15","4","大师炼金术士","生化伤害无效","防御能力","生化属性的伤害无效化"
"105","マスターアルケミスト","4","技能","2143","IDデストラクション","魔導科学","威力：Ｂ（魔or器）　対象：敵全体　効果：キメラ特攻
遺伝子操作された特別な魔物を抹消する","0","0","6","","40","大师炼金术士","ID破坏","魔導科学","威力：Ｂ（魔or器）　対象：敵全体　効果：キメラ特攻
抹消经过基因操作的特殊魔物"
"105","マスターアルケミスト","5","技能","2137","絶対零度","魔導科学","威力：Ａ（魔or器）　対象：敵全体　属性：氷
科学の力で絶対零度を起こす","0","0","8","","40","大师炼金术士","绝对零度","魔導科学","威力：Ａ（魔or器）　対象：敵全体　属性：氷
利用科学的力量引发绝对零度"
"105","マスターアルケミスト","6","能力","524","「魔導科学」使用可能","魔法アビリティ","「魔導科学」が使用可能になる","","","","5","3","大师炼金术士","可以使用「魔导科学」","魔法能力","可以使用「魔导科学」"
"105","マスターアルケミスト","7","技能","2154","極SP変換","魔導科学","対象：使用者　効果：SP大回復
膨大な量のMPをSPに変換する","0","20","0","","40","大师炼金术士","极SP转换","魔導科学","対象：使用者　効果：SP大回復
将庞大数量的MP转换为SP"
"105","マスターアルケミスト","8","技能","2140","プラズマ","魔導科学","威力：Ａ（魔or器）　対象：敵全体　属性：雷
科学の力でプラズマを起こす","0","0","8","","40","大师炼金术士","等离子","魔導科学","威力：Ａ（魔or器）　対象：敵全体　属性：雷
利用科学的力量引发等离子体"
"105","マスターアルケミスト","9","技能","2151","極MP変換","魔導科学","対象：使用者　効果：MP大回復
膨大な量のSPをMPに変換する","0","0","12","","40","大师炼金术士","极MP转换","魔導科学","対象：使用者　効果：MP大回復
将庞大数量的SP转换为MP"
"105","マスターアルケミスト","10","技能","2146","ニュークリア","魔導科学","威力：Ｓ（魔or器）　対象：敵全体　属性：核熱
科学の力で核融合反応を引き起こす","0","0","11","","40","大师炼金术士","核","魔導科学","威力：Ｓ（魔or器）　対象：敵全体　属性：核熱
用科学的力量引发核融合反应"
"105","マスターアルケミスト","10","能力","8490","魔導書マスタリー","特殊アビリティ","魔導書の装備効果が上昇する","","","","10","5","大师炼金术士","魔导书精通","特殊能力","魔导书的装备效果提升"
"106","錬金術士","2","技能","2157","アル・ポーション","錬金術","対象：味方単体　効果：HP中回復
アル・ポーションを錬成し、体力を回復させる","0","0","0","","41","炼金术士","炼金药水","炼金术","対象：味方単体　効果：HP中回復
炼成炼金药水，恢复体力"
"106","錬金術士","2","技能","2179","英雄の勝鬨","錬金術","対象：味方全体　効果：全能力値アップ
英雄の勝鬨を錬成し、能力を大幅に高める","0","0","0","","41","炼金术士","英雄的欢呼","炼金术","対象：味方全体　効果：全能力値アップ
炼成英雄的欢呼，大幅提升能力"
"106","錬金術士","2","技能","2182","クラッシュドラム","錬金術","対象：味方全体　効果：攻撃必中・絶対会心
クラッシュドラムを錬成し、攻撃能力を高める","0","0","0","","41","炼金术士","粉碎鼓","炼金术","対象：味方全体　効果：攻撃必中・絶対会心
炼成粉碎鼓，提升攻击能力"
"106","錬金術士","2","技能","2185","プラネットライト","錬金術","対象：味方全体　効果：経験値・職業経験値・ゴールド5倍
プラネットライトを錬成し、戦果が大幅にアップ","0","0","0","","41","炼金术士","行星之光","炼金术","対象：味方全体　効果：経験値・職業経験値・ゴールド5倍
炼成行星之光，战斗成果大幅提升"
"106","錬金術士","3","技能","2167","世界樹の枝","錬金術","対象：味方全体　効果：蘇生
世界樹の枝を錬成し、蘇生させる","0","0","0","","41","炼金术士","世界树之枝","炼金术","対象：味方全体　効果：蘇生
炼成世界树之枝，使其复活"
"106","錬金術士","3","技能","2169","炎の剣","錬金術","対象：味方全体　効果：通常攻撃炎属性・炎属性無効
味方全体が炎の剣を装備し、炎の加護を得る","0","0","0","","41","炼金术士","炎之剑","炼金术","対象：味方全体　効果：通常攻撃炎属性・炎属性無効
全体队友装备炎之剑，获得炎的庇护"
