"角色ID","日本角色名称","Faces路径","Faces索引","角色立绘路径","角色立绘索引","角色Cut-inPictures路径","中文角色名称"
"179","シニファ","Graphics/Faces/sinifa_fc1","0","Graphics/Characters/silk19","3","Graphics/Pictures/ct_sinifa1","希妮法"
"180","シャドー","Graphics/Faces/shadow_fc1","0","Graphics/Characters/silk2","5","Graphics/Pictures/80_shadow_st01","影"
"181","リザ","Graphics/Faces/gaistvine_fc1","0","Graphics/Characters/Create01_cip","5","Graphics/Pictures/80_gaistvine_st01","丽莎"
"182","クロウリー","Graphics/Faces/c_homunculus_fc1","0","Graphics/Characters/Chimera03_cip","0","Graphics/Pictures/ct_c_homunculus；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1","克劳利"
"183","トーチャ","Graphics/Faces/ironmaiden_k_fc1","0","Graphics/Characters/Create01_cip","6","Graphics/Pictures/80_ironmaiden_k_st01；Graphics/Pictures/ct_syokusyu2；Graphics/Pictures/ct_hiru4；Graphics/Pictures/ct_syokusyu1；Graphics/Pictures/ct_hiru3；Graphics/Pictures/ct_hiru1","托琪亚"
"184","フランチェスカ","Graphics/Faces/junkdoll_fc2","0","Graphics/Characters/$JunkDoll01_cip","0","Graphics/Pictures/80_junkdoll_st01","弗朗西斯卡"
"185","ラディオ","Graphics/Faces/radio_fc1","0","Graphics/Characters/Create02_cip","5","Graphics/Pictures/ct_radio1","拉迪奥"
"191","ウィドウ","Graphics/Faces/kinoko_fc1","0","Graphics/Characters/Plant01_cip","6","Graphics/Pictures/ct_kinoko1；Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","维德"
"192","ノービィ","Graphics/Faces/nobisutam_fc1","0","Graphics/Characters/Insect02_cip","7","Graphics/Pictures/ct_nobisutam1","诺维"
"193","フリル","Graphics/Faces/u_scylla_fc1","0","Graphics/Characters/silk26","3","","芙莉露"
"194","うらら","Graphics/Faces/husuma_fc1","0","Graphics/Characters/silk10","3","","乌拉拉"
"195","メーヌ","Graphics/Faces/mermaid_fc1","3","Graphics/Characters/silk3","0","","梅努"
"196","ミンク","Graphics/Faces/s_mermaid_fc1","0","Graphics/Characters/silk23","6","Graphics/Pictures/ct_s_mermaid1","米努克"
"197","ロリッタ","Graphics/Faces/k_mermaid_fc1","0","Graphics/Characters/Fishes03_cip","2","Graphics/Pictures/ct_k_mermaid1","洛丽塔"
"198","もめん","Graphics/Faces/ittanmomen_fc4","0","Graphics/Characters/$Ittanmomens01_cip","0","Graphics/Pictures/ct_ittanmomen1","木棉"
"199","セラフィ","Graphics/Faces/dagon_fc1","0","Graphics/Characters/Fishes01_cip","5","","赛拉菲"
"200","フィアー","Graphics/Faces/hitodama_fc1","0","Graphics/Characters/Undead03_cip","0","Graphics/Pictures/ct_hitodama1","菲亚"
"201","アシェル","Graphics/Faces/ashel_fc1","0","Graphics/Characters/Fishes02_cip","2","Graphics/Pictures/ct_ashel1","阿谢尔"
"202","ボニー","Graphics/Faces/bonny_fc1","1","Graphics/Characters/Fishes02_cip","3","Graphics/Pictures/ct_bonny1","波妮"
"203","たつこ","Graphics/Faces/tatunoko_k_fc1","0","Graphics/Characters/Fishes03_cip","0","Graphics/Pictures/ct_tatunoko_k1","辰子"
"204","ステイシー","Graphics/Faces/umiusi_k_fc1","0","Graphics/Characters/Fishes03_cip","1","Graphics/Pictures/ct_umiusi_k1","斯泰西"
"205","リヴィア","Graphics/Faces/levia_fc1","0","Graphics/Characters/$Levia01_cip","0","","莉维亚"
"206","けろろん＆クルル","Graphics/Faces/kaeru_fc4","0","Graphics/Characters/$Kaerumusumes01_cip","0","Graphics/Pictures/ct_kaeru1","克罗罗恩＆库鲁鲁"
"207","ポニー","Graphics/Faces/centa_fc1","0","Graphics/Characters/Beast01_cip","4","","小马"
"208","フローラ","Graphics/Faces/alraune_fc1","0","Graphics/Characters/Plant01_cip","3","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","芙萝拉"
"209","なのは","Graphics/Faces/okikumusi_fc1","0","Graphics/Characters/Insect03_cip","0","","奈叶"
"210","ぼたん","Graphics/Faces/ghost2_fc1","0","Graphics/Characters/Undead03_cip","1","Graphics/Pictures/ct_ghost2_1","牡丹"
"211","ステファニー","Graphics/Faces/hakoiri_fc1","0","Graphics/Characters/silk24","6","Graphics/Pictures/ct_hakoiri1","斯蒂芬妮"
"212","アーサー","Graphics/Faces/durahan_fc1","0","Graphics/Characters/Evil01_cip","1","","亚瑟"
"213","シーザー","Graphics/Faces/kerberos_fc1","0","Graphics/Characters/Beast01_cip","7","","凯撒"
"214","白波","Graphics/Faces/nureonnna_fc1","0","Graphics/Characters/Lamia03_cip","0","Graphics/Pictures/ct_nureonnna1","白波"
"215","キャロル","Graphics/Faces/h_mino_fc1","0","Graphics/Characters/silk22","4","Graphics/Pictures/ct_h_mino1","卡萝尔"
"216","オデット","Graphics/Faces/m_mino_fc1","0","Graphics/Characters/silk23","2","Graphics/Pictures/ct_m_mino1","奥黛塔"
"217","トーラ","Graphics/Faces/zinitauros_fc1","0","Graphics/Characters/silk12","6","","托特"
"218","牛魔王","Graphics/Faces/nyumaou_fc1","0","Graphics/Characters/$Nyumaou_02_cip","0","Graphics/Pictures/ct_nyumaou1","牛魔王"
"219","かすみ","Graphics/Faces/kunoitielf_fc1","0","Graphics/Characters/DemiHuman01_cip","5","","霞"
"220","月花","Graphics/Faces/samuraielf_fc1","0","Graphics/Characters/DemiHuman01_cip","4","","月花"
"221","お雪","Graphics/Faces/yukionna_fc1","0","Graphics/Characters/Evil01_cip","2","","阿雪"
"222","たま","Graphics/Faces/nekomata_fc1","2","Graphics/Characters/Beast03_cip","0","","小玉"
"223","かなめ","Graphics/Faces/akaname_fc2","1","Graphics/Characters/$akaname","0","","卡娜美"
"224","カワコ","Graphics/Faces/kappa_fc1","0","Graphics/Characters/silk16","1","Graphics/Pictures/ct_kappa1","川子"
"225","さくら","Graphics/Faces/hutakuti_fc1","5","Graphics/Characters/Evil02_cip","4","","樱"
"226","白蛇様","Graphics/Faces/sirohebisama_fc1","0","Graphics/Characters/silk8","2","","白蛇大人"
"227","魅月","Graphics/Faces/mikolamia_fc1","3","Graphics/Characters/silk8","4","","魅月"
"228","まや","Graphics/Faces/mikoarachne_fc1","0","Graphics/Characters/silk23","4","Graphics/Pictures/ct_mikoarachne1","麻耶"
"229","ツバキ","Graphics/Faces/kezyorou_fc1","0","Graphics/Characters/Evil02_cip","5","","椿"
"230","ヤマタノオロチ","Graphics/Faces/yamatanooroti_fc1","3","Graphics/Characters/$Yamatanoorochi01_cip","0","","八岐大蛇"
"231","バグスタッフ","Graphics/Faces/bugstaff_fc1","0","Graphics/Characters/$magi1","0","","魔法学院低级生"
"232","マギスタンズ","Graphics/Faces/magistans_fc1","0","Graphics/Characters/$magi2","0","","魔法学院高级生"
"233","メフィスト","Graphics/Faces/mefist_fc1","0","Graphics/Characters/silk11","4","","梅菲斯特"
"234","マティス","Graphics/Faces/kamakiri_fc1","0","Graphics/Characters/Insect02_cip","2","","玛蒂斯"
"235","シルク","Graphics/Faces/kaiko_fc1","0","Graphics/Characters/$kaiko","0","","丝露库"
"236","プランツイン","Graphics/Faces/plantwin_fc1","0","Graphics/Characters/$plants1","0","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","植物双胞胎"
"237","アルプランツ","Graphics/Faces/alplants_fc1","0","Graphics/Characters/$prants2","0","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","阿娜温们"
"238","ドローシー","Graphics/Faces/dorothy_fc1","0","Graphics/Characters/Plant02_cip","1","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","多萝西"
"239","ラフィ","Graphics/Faces/rafi_fc1","0","Graphics/Characters/Plant02_cip","2","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","拉菲"
"240","ディーナ","Graphics/Faces/dina_fc1","0","Graphics/Characters/Plant02_cip","3","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","迪娜"
"241","プリエステス","Graphics/Faces/a_emp_fc1","0","Graphics/Characters/Plant02_cip","0","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","普莉艾丝缇丝"
"242","プリエステス","Graphics/Faces/a_emp_fc1","3","Graphics/Characters/Plant02_cip","4","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","普莉艾丝缇丝"
"243","インセクツ","Graphics/Faces/insects_fc1","0","Graphics/Characters/$insects","0","","昆虫娘们"
"244","ビー","Graphics/Faces/suzumebati_fc1","0","Graphics/Characters/$suzumebati","0","","蜜蜂"
"245","蜜璃亜","Graphics/Faces/queenbee_fc1","0","Graphics/Characters/Insect04_cip","0","","蜜璃亚"
"246","ジェリル","Graphics/Faces/jelly_fc1","0","Graphics/Characters/Slime01_cip","1","","杰里尔"
"247","ブロブ","Graphics/Faces/blob_fc1","0","Graphics/Characters/Slime01_cip","2","","布洛布"
"248","スライミーズ","Graphics/Faces/slime_purple_fc1","3","Graphics/Characters/$SlimeGirls01_cip","0","Graphics/Pictures/ct_slimes1","史莱姆们"
"249","アント","Graphics/Faces/ant_fc1","0","Graphics/Characters/Insect03_cip","5","","蚂蚁"
"250","コッペリア","Graphics/Faces/artm_fc1","0","Graphics/Characters/Create01_cip","4","Graphics/Pictures/ct_artm1","科佩利亚"
"251","パイン","Graphics/Faces/paizuridoll_fc1","0","Graphics/Characters/Create03_cip","1","Graphics/Pictures/ct_paizuridoll1","阿乳"
"252","キューラ","Graphics/Faces/scylla_fc1","0","Graphics/Characters/Skylla01_cip","0","","库拉"
"253","デューサ","Graphics/Faces/medusa_fc1","0","Graphics/Characters/Evil01_cip","3","","杜莎"
"254","あげは","Graphics/Faces/ageha_fc1","0","Graphics/Characters/silk21","0","","凤蝶"
"255","ブルーム","Graphics/Faces/blom_fc1","0","Graphics/Characters/Slime02_cip","2","Graphics/Pictures/ct_blom1","布鲁姆"
"256","エルマ","Graphics/Faces/warmer_fc1","0","Graphics/Characters/silk11","2","","艾尔玛"
"257","グールズ","Graphics/Faces/gool_fc1","3","Graphics/Characters/$gool","0","","食尸鬼群"
"258","アルネ","Graphics/Faces/fakejelly_fc1","0","Graphics/Characters/silk22","1","","阿尔涅"
"259","つばさ","Graphics/Faces/w_hapy_fc1","0","Graphics/Characters/bird01_cip","4","","翼"
"260","クリス","Graphics/Faces/k_hapy_fc1","0","Graphics/Characters/silk22","6","","克莉丝"
"261","ノーグ","Graphics/Faces/madgolem_fc1","0","Graphics/Characters/$MadGolemMusume01_cip","0","","诺格"
"262","エメス","Graphics/Faces/golem_fc1","0","Graphics/Characters/$GolemMusume01_cip","0","","艾梅斯"
"263","ヒナゲシ","Graphics/Faces/h_kamakiri_fc1","0","Graphics/Characters/silk15","5","Graphics/Pictures/ct_h_kamakiri_ct1","虞美人"
"264","マイス","Graphics/Faces/bgolem_fc1","0","Graphics/Characters/Create03_cip","2","Graphics/Pictures/ct_bgolem1","麦丝"
"265","はるか","Graphics/Faces/kitunezyu_fc1","0","Graphics/Characters/silk25","0","","遥"
"266","ミナモ","Graphics/Faces/kunoitisanbi_fc1","0","Graphics/Characters/Beast04_cip","2","","美奈萌"
"267","イヅナ","Graphics/Faces/mononohuyonbi_fc1","0","Graphics/Characters/Beast04_cip","3","","伊津奈"
"268","アンティーヌ・アン","Graphics/Faces/queenant_fc1","0","Graphics/Characters/Insect04_cip","1","","安提妮・安"
"269","ロミ","Graphics/Faces/yougan_fc1","0","Graphics/Characters/Slime01_cip","7","","罗米"
"270","アルビーナ","Graphics/Faces/lamiad_fc1","0","Graphics/Characters/Lamia01_cip","7","","阿尔比娜"
"271","ミリアム","Graphics/Faces/scyllad_fc1","0","Graphics/Characters/Skylla01_cip","5","","米莉亚姆"
"272","レーネ","Graphics/Faces/seiren_fc1","0","Graphics/Characters/Bird01_cip","2","","蕾涅"
"273","サンゴ","Graphics/Faces/sango_fc1","0","Graphics/Characters/silk16","7","","珊瑚"
"274","アスタ","Graphics/Faces/hitode_fc1","0","Graphics/Characters/Fishes01_cip","6","","阿斯塔"
"275","バーバレラ","Graphics/Faces/beelzebub_fc1","0","Graphics/Characters/Insect04_cip","2","Graphics/Pictures/ct_beelzebub1","芭芭蕾拉"
"276","ストリガ","Graphics/Faces/beelzebub_fc2","0","Graphics/Characters/Insect04_cip","3","Graphics/Pictures/ct_beelzebub2","斯特里加"
"277","メディア","Graphics/Faces/beelzebub_fc3","0","Graphics/Characters/Insect04_cip","4","Graphics/Pictures/ct_beelzebub3","梅迪亚"
"278","サマンサ","Graphics/Faces/arkjelly_fc1","0","Graphics/Characters/silk14","2","Graphics/Pictures/ct_arkjelly1","萨曼莎"
"279","オーマ","Graphics/Faces/e_scylla_fc1","0","Graphics/Characters/silk14","4","Graphics/Pictures/ct_e_scylla1","奥玛"
"280","ポセイドネス","Graphics/Faces/poseidones_fc1","0","Graphics/Characters/$Poseidones01_cip","0","","波塞冬尼斯"
"281","ハーレム","Graphics/Faces/succubuses_fc1","0","Graphics/Characters/$silk2","0","Graphics/Pictures/ct_succubuses3；Graphics/Pictures/ct_succubuses2；Graphics/Pictures/ct_succubuses1；Graphics/Pictures/ct_succubuses4","后宫"
"282","メイ","Graphics/Faces/maycubbus_fc1","0","Graphics/Characters/Sucbuss02_cip","3","Graphics/Pictures/ct_maycubbus1","梅"
"283","メリッサ","Graphics/Faces/maccubus_fc1","1","Graphics/Characters/Sucbuss01_cip","0","","梅丽莎"
"284","セーラ","Graphics/Faces/minccubus_fc1","1","Graphics/Characters/Sucbuss01_cip","2","","塞拉"
"285","ニーナ","Graphics/Faces/renccubus_fc1","2","Graphics/Characters/Sucbuss01_cip","4","","妮娜"
"286","ウィッチ","Graphics/Faces/witchs_fc1","0","Graphics/Characters/Sucbuss02_cip","0","","女巫"
"287","サキュバス","Graphics/Faces/succubus_fc1","0","Graphics/Characters/Sucbuss01_cip","6","","魅魔"
"288","ナターシャ","Graphics/Faces/d_succubus_fc1","0","Graphics/Characters/silk21","5","","娜塔莎"
"289","ラン","Graphics/Faces/maidscyulla_fc1","1","Graphics/Characters/Skylla01_cip","3","","兰"
"290","シルヴィア","Graphics/Faces/madaminsect_fc1","0","Graphics/Characters/Insect02_cip","3","","希尔维娅"
"291","シャロン","Graphics/Faces/madamumbrella_fc1","0","Graphics/Characters/Skylla01_cip","1","","夏洛特"
"292","アラディア","Graphics/Faces/aradia_fc1","0","Graphics/Characters/Evil03_cip","4","Graphics/Pictures/ct_aradia2；Graphics/Pictures/ct_aradia1","阿拉迪亚"
"293","キャンディ","Graphics/Faces/candy_fc1","0","Graphics/Characters/$Candy01_cip","0","Graphics/Pictures/ct_candy1","坎蒂"
"294","エミリ","Graphics/Faces/emily_fc1","1","Graphics/Characters/Skylla02_cip","0","Graphics/Pictures/ct_emily1","艾米莉"
"295","カサンドラ","Graphics/Faces/cassandra_fc1","5","Graphics/Characters/Chimera04_cip","2","Graphics/Pictures/ct_cassandra1","卡桑德拉"
"296","カサンドラ","Graphics/Faces/cassandra_fc1","1","Graphics/Characters/Chimera02_cip","2","Graphics/Pictures/ct_cassandra3","卡桑德拉"
"297","バージリン","Graphics/Faces/basilisk_fc1","0","Graphics/Characters/Bird01_cip","1","","巴吉琳"
"298","グランテ","Graphics/Faces/dragon_fc1","0","Graphics/Characters/$DragonMusume01_cip","0","Graphics/Pictures/ct_dragon1","格兰特"
"299","マージュ","Graphics/Faces/gelatinous_fc1","0","Graphics/Characters/Slime02_cip","1","Graphics/Pictures/ct_gelatinous1","玛吉"
"300","くれは","Graphics/Faces/youki_fc1","0","Graphics/Characters/silk17","4","Graphics/Pictures/ct_youki1","克蕾雅"
"301","虎南","Graphics/Faces/tora_fc1","0","Graphics/Characters/silk26","2","","虎南"
"302","ヴィルヘルミナ","Graphics/Faces/vampire_fc1","0","Graphics/Characters/Evil01_cip","4","","维尔赫尔米娜"
"303","ジェライラ","Graphics/Faces/jeraira_fc1","0","Graphics/Characters/$Jeraira01_cip","0","","杰莱拉"
"304","リボ・リボ","Graphics/Faces/libolibo_fc1","0","Graphics/Characters/$Libolibo01_cip","0","","莉波・莉波"
"305","アンフィル","Graphics/Faces/anfill_fc1","0","Graphics/Characters/silk14","1","Graphics/Pictures/ct_anfill1","安菲尔"
"306","ツィンケル","Graphics/Faces/twinkel_fc1","0","Graphics/Characters/$Twinkel01_cip","0","Graphics/Pictures/ct_twinkel1","辛克尔"
"307","アネモ","Graphics/Faces/seaanemone_fc1","0","Graphics/Characters/silk17","0","","海百合"
"308","みお","Graphics/Faces/suiryu_fc1","0","Graphics/Characters/silk25","7","","美绪"
"309","オーシャン","Graphics/Faces/manta_fc1","0","Graphics/Characters/silk16","4","Graphics/Pictures/ct_manta1","奥珊"
"310","ホルン","Graphics/Faces/ikkaku_fc1","0","Graphics/Characters/$Ikkaku01_cip","0","","霍恩"
"311","シシリー","Graphics/Faces/trickfairy_fc1","0","Graphics/Characters/Fairy03_cip","0","","希希莉"
"312","サン","Graphics/Faces/amazoneself_fc1","0","Graphics/Characters/silk21","2","Graphics/Pictures/ct_amazoneself1","桑"
"313","カルカナ","Graphics/Faces/carbuncle_fc1","0","Graphics/Characters/silk24","3","","卡尔卡娜"
"314","ジェイム","Graphics/Faces/gigantic_fc1","0","Graphics/Characters/$GiganticMusume_cip","0","Graphics/Pictures/ct_gigantic1","杰姆"
"315","エアリー","Graphics/Faces/queenfairy_fc1","0","Graphics/Characters/Fairy02_cip","0","","艾尔莉"
"316","フレイヤ","Graphics/Faces/queenelf_fc1","0","Graphics/Characters/DemiHuman02_cip","0","","芙蕾雅"
"317","アリア","Graphics/Faces/f_alraune_fc1","0","Graphics/Characters/silk21","7","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","阿莉亚"
"318","ラシェル","Graphics/Faces/f_dryad_fc1","0","Graphics/Characters/silk22","0","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","拉谢尔"
"319","ベラドンナ","Graphics/Faces/walraune_fc1","3","Graphics/Characters/Plant01_cip","5","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","贝拉多娜"
"320","ドリア","Graphics/Faces/dryad_fc1","0","Graphics/Characters/silk1","7","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","多莉亚"
"321","ドリエ","Graphics/Faces/dryad_fc1","4","Graphics/Characters/silk1","6","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","多莉耶"
"322","アルルーナ","Graphics/Faces/queenalraune_fc1","0","Graphics/Characters/$QueenAlraune01_cip","0","Graphics/Pictures/ct_queenalraune1；Graphics/Pictures/ct_queenalraune2","阿娜露娜"
"323","ルクレツィア","Graphics/Faces/queenhapy_fc1","0","Graphics/Characters/Bird02_cip","0","","露克蕾琪亚"
"324","メリル","Graphics/Faces/knight_mermaid_fc1","0","Graphics/Characters/Fishes02_cip","4","","梅莉尔"
"325","ジェシー","Graphics/Faces/g_marmaid_fc1","0","Graphics/Characters/silk3","7","","杰西"
"326","ハイネ","Graphics/Faces/loreley_fc1","0","Graphics/Characters/Fishes03_cip","3","","海涅"
"327","エル","Graphics/Faces/ningyohime_fc1","4","Graphics/Characters/silk3","5","Graphics/Pictures/ct_ningyohime1","艾露"
"328","ローラ","Graphics/Faces/queenmermaid_fc1","0","Graphics/Characters/silk3","6","","罗拉"
"329","クラーケン","Graphics/Faces/kraken_fc1","0","Graphics/Characters/$KrakenMusume01_cip","0","","克拉肯"
"330","アラクネーズ","Graphics/Faces/arachnes_fc1","0","Graphics/Characters/$silk1","0","Graphics/Pictures/ct_arachnes1","阿拉克涅集团"
"331","ミズキ","Graphics/Faces/tutigumo_fc1","0","Graphics/Characters/silk4","7","Graphics/Pictures/ct_tutigumo1","水木"
"332","アラーニェ","Graphics/Faces/alakneload_fc1","0","Graphics/Characters/silk1","3","","阿拉涅"
"333","ナクア","Graphics/Faces/atlach_fc1","0","Graphics/Characters/Insect04_cip","7","","纳克亚"
"334","蜘蛛之皇女","Graphics/Faces/kumonomiko_fc1","0","Graphics/Characters/silk7","5","","蜘蛛之皇女"
"335","エビータ","Graphics/Faces/conquista_fc1","0","Graphics/Characters/silk24","4","Graphics/Pictures/ct_conquista1","艾薇塔"
"336","アンヘラ","Graphics/Faces/vendetta_fc1","0","Graphics/Characters/silk26","7","Graphics/Pictures/ct_vendetta1","安吉拉"
"337","ヴァルヘルト","Graphics/Faces/e_vampire_fc1","0","Graphics/Characters/Evil04_cip","0","","瓦尔赫尔特"
"338","カーミラ","Graphics/Faces/carmilla_fc1","0","Graphics/Characters/silk1","1","Graphics/Pictures/ct_carmilla1","卡米拉"
"339","エリザベート","Graphics/Faces/elisabeth_fc1","0","Graphics/Characters/silk1","2","Graphics/Pictures/ct_elisabeth1","伊丽莎白"
"340","ファティマ","Graphics/Faces/queenvampire_fc1","0","Graphics/Characters/silk1","0","Graphics/Pictures/ct_queenvampire1；Graphics/Pictures/ct_queenvampire2","法蒂玛"
"341","リリス＆リリム","Graphics/Faces/lilith_fc1","0","Graphics/Characters/$Lilith&Lilim01_cip","0","","莉莉斯＆莉莉姆"
"342","エスメラルダ","Graphics/Faces/m_shadow_fc1","0","Graphics/Characters/silk23","3","","艾斯梅拉达"
"343","夕霧","Graphics/Faces/enenra_fc1","1","Graphics/Characters/Evil02_cip","2","Graphics/Pictures/ct_enenra1","夕雾"
"344","キリン","Graphics/Faces/kirin_fc1","0","Graphics/Characters/Beast03_cip","6","Graphics/Pictures/ct_kirin1","绮铃"
"345","蛇骨殿","Graphics/Faces/zyakotuonna_fc1","0","Graphics/Characters/silk26","6","","蛇骨殿"
"346","ベヒーナ","Graphics/Faces/behemoth_fc1","0","Graphics/Characters/Beast03_cip","1","","贝希娜"
"347","ワーバイン","Graphics/Faces/wyvern_fc1","0","Graphics/Characters/Lizerd01_cip","1","","瓦尔拜因"
"348","ぎが","Graphics/Faces/kyoryuu_fc1","0","Graphics/Characters/$KyoryuuMusume01_cip","0","Graphics/Pictures/ct_kyoryuu1","巍峨"
"349","エルザ","Graphics/Faces/monk_sucubuss_fc1","0","Graphics/Characters/silk25","2","Graphics/Pictures/ct_monk_sucubuss1","厄萨"
"350","アニー","Graphics/Faces/monk_demon_fc1","0","Graphics/Characters/Sucbuss02_cip","5","Graphics/Pictures/ct_monk_demon1","安妮"
"351","セシール","Graphics/Faces/scylla_s_fc1","0","Graphics/Characters/silk26","0","Graphics/Pictures/ct_scylla_s1","塞西尔"
"352","ヴィーヴィー","Graphics/Faces/vouivre_fc1","0","Graphics/Characters/silk26","5","Graphics/Pictures/ct_vouivre1","薇薇"
"353","イルマ","Graphics/Faces/icemaze_fc1","0","Graphics/Characters/silk12","1","","艾尔玛"
"354","クヌート","Graphics/Faces/shirokuma_fc1","0","Graphics/Characters/silk26","1","Graphics/Pictures/ct_shirokuma1","克努特"
"355","エンジェルズ","Graphics/Faces/angels_fc1","0","Graphics/Characters/$angels","0","Graphics/Pictures/ct_angels1","天使们"
"356","トリニティ","Graphics/Faces/trinity_fc1","3","Graphics/Characters/$trinity","0","Graphics/Pictures/ct_trinity1","三位一体"
"357","ウラヌス","Graphics/Faces/uranus_fc1","0","Graphics/Characters/silk26","4","","乌拉诺斯"
"358","エリシエル","Graphics/Faces/erisiel_fc1","0","Graphics/Characters/silk14","6","","伊利西艾尔"
"359","キューピー","Graphics/Faces/cupid_fc1","0","Graphics/Characters/silk1","4","","丘比"
"360","ヴィクトリア","Graphics/Faces/valkyrie_fc1","0","Graphics/Characters/silk2","7","","维多利亚"
"361","ヘリエル","Graphics/Faces/heriel_fc1","0","Graphics/Characters/silk24","7","","海莉艾尔"
"362","アルシエル","Graphics/Faces/arusiel_fc1","0","Graphics/Characters/$Arusiel01_cip","0","","艾尔西艾尔"
"363","がぶり","Graphics/Faces/c_beast_fc1","0","Graphics/Characters/Chimera01_cip","5","","伽捕"
"364","あわわ","Graphics/Faces/c_s2_fc1","0","Graphics/Characters/silk7","4","","阿哇哇"
"365","ぱたぱた","Graphics/Faces/c_a3_fc1","0","Graphics/Characters/silk8","1","","啪嗒啪嗒"
"366","まっきー","Graphics/Faces/AD-5_fc1","0","Graphics/Characters/Chimera03_cip","1","","玛奇"
"367","ぐるる","Graphics/Faces/q_5_fc1","0","Graphics/Characters/silk25","5","","咕噜噜"
"368","フェルナンデス","Graphics/Faces/cirqueb_fc1","0","Graphics/Characters/silk2","0","Graphics/Pictures/ct_cirque1","费尔南德斯"
"369","フェルナンデス","Graphics/Faces/cirquec_fc1","0","Graphics/Characters/silk9","0","Graphics/Pictures/ct_cirqueb1","费尔南德斯"
"370","タイタニア","Graphics/Faces/cirqueb_fc2","0","Graphics/Characters/silk6","0","Graphics/Pictures/ct_cirque2","缇坦妮雅"
"371","タイタニア","Graphics/Faces/cirquec_fc2","0","Graphics/Characters/silk9","5","Graphics/Pictures/ct_cirqueb2","缇坦妮雅"
"372","ロザ","Graphics/Faces/cirqueb_fc3","0","Graphics/Characters/silk6","1","Graphics/Pictures/ct_cirque3","罗莎"
"373","ロザ","Graphics/Faces/cirquec_fc3","0","Graphics/Characters/silk9","3","Graphics/Pictures/ct_cirqueb3","罗莎"
"374","アリア・ラミア","Graphics/Faces/cirqueb_fc4","0","Graphics/Characters/silk6","2","Graphics/Pictures/ct_cirque4","阿莉亚・拉米亚"
"375","アリア・ラミア","Graphics/Faces/cirquec_fc4","0","Graphics/Characters/silk9","2","Graphics/Pictures/ct_cirqueb4","阿莉亚・拉米亚"
"376","リフレツィア","Graphics/Faces/cirqueb_fc5","0","Graphics/Characters/silk6","3","Graphics/Pictures/ct_cirque5","莉芙蕾琪亚"
"377","リフレツィア","Graphics/Faces/cirquec_fc5","0","Graphics/Characters/silk9","1","Graphics/Pictures/ct_cirqueb5","莉芙蕾琪亚"
"378","ゼノビア","Graphics/Faces/cirqueb_fc6","0","Graphics/Characters/silk6","4","Graphics/Pictures/ct_cirque6","芝诺比娅"
"379","ゼノビア","Graphics/Faces/cirquec_fc6","0","Graphics/Characters/silk9","4","Graphics/Pictures/ct_cirqueb6","芝诺比娅"
"382","モリガン","Graphics/Faces/morrigan_fc1","0","Graphics/Characters/Sucbuss03_cip","3","Graphics/Pictures/ct_morrigan1","摩莉甘"
"383","エデン","Graphics/Faces/eden_fc1","0","Graphics/Characters/Angel01_cip","5","Graphics/Pictures/ct_eden1","伊甸"
"384","エデン","Graphics/Faces/eden_fc1","3","Graphics/Characters/$Eden01_cip","0","Graphics/Pictures/80_eden_st01","伊甸"
