"大分类","技能类型ID","技能类型名称","技能类型中文名称","技能ID","技能名称","技能中文名称"
"能力","1","戦技アビリティ","战技能力","6847","/銃技三連続発動",""
"能力","1","戦技アビリティ","战技能力","6848","多武器技二連続発動",""
"能力","1","戦技アビリティ","战技能力","6849","/多武器技三連続発動",""
"能力","1","戦技アビリティ","战技能力","6850","格闘二連続発動",""
"能力","1","戦技アビリティ","战技能力","6851","/格闘三連続発動",""
"能力","1","戦技アビリティ","战技能力","6852","/武技三連続発動",""
"能力","1","戦技アビリティ","战技能力","6853","闇を貫く槍","贯穿黑暗的枪"
"能力","1","戦技アビリティ","战技能力","6854","光を貫く槍","贯穿光之枪"
"能力","1","戦技アビリティ","战技能力","6855","防御破壊の槍","防御破坏之枪"
"能力","1","戦技アビリティ","战技能力","9957","###　野生児追加",""
"能力","1","戦技アビリティ","战技能力","9958","力のオーバーロード","力量超负荷"
"能力","1","戦技アビリティ","战技能力","10000","###　全てを癒す者追加",""
"能力","1","戦技アビリティ","战技能力","10009","バレットタイム","子弹时间"
"能力","1","戦技アビリティ","战技能力","10010","灰燼の武技","灰烬武技"
"能力","1","戦技アビリティ","战技能力","10011","驚速の武技","惊速武技"
"能力","1","戦技アビリティ","战技能力","10012","圧壊の武技","压碎武技"
"能力","1","戦技アビリティ","战技能力","10013","追打の武技","追打武技"
"能力","1","戦技アビリティ","战技能力","10014","逆境の武技","逆境武技"
"能力","1","戦技アビリティ","战技能力","10015","暗殺の武技","暗杀武技"
"能力","1","戦技アビリティ","战技能力","10016","お仕置きの武技","惩罚的武技"
"能力","1","戦技アビリティ","战技能力","10017","乾坤一擲","孤注一掷"
"能力","1","戦技アビリティ","战技能力","10018","全武技防御力付加","全武技防御力附加"
"能力","1","戦技アビリティ","战技能力","10019","全武技魔力付加","全武技魔力附加"
"能力","1","戦技アビリティ","战技能力","10020","全武技精神力付加","全武技精神力附加"
"能力","1","戦技アビリティ","战技能力","10021","全武技素早さ付加","全武技敏捷附加"
"能力","1","戦技アビリティ","战技能力","10022","全武技器用さ付加","全武技灵巧附加"
"能力","1","戦技アビリティ","战技能力","10060","###混沌の精霊・デウスエクスマキナ追加",""
"能力","1","戦技アビリティ","战技能力","10071","混沌乾坤一擲","混沌乾坤一掷"
"能力","1","戦技アビリティ","战技能力","10072","混沌バレットタイム","混沌子弹时间"
"能力","1","戦技アビリティ","战技能力","10073","混沌撃","混沌击"
"能力","1","戦技アビリティ","战技能力","10074","銃技連撃回数5アップ","铳技连击次数增加5"
"能力","1","戦技アビリティ","战技能力","10075","寝技",""
"能力","2","職技アビリティ","职技能力","268","SP10%アップ","SP提升10%"
"能力","2","職技アビリティ","职技能力","269","SP20%アップ","SP提升20%"
"能力","2","職技アビリティ","职技能力","270","SP30%アップ","SP提升30%"
"能力","2","職技アビリティ","职技能力","271","SP40%アップ","SP提升40%"
"能力","2","職技アビリティ","职技能力","272","SP50%アップ","SP提升50%"
"能力","2","職技アビリティ","职技能力","273","素早さ10%アップ","敏捷提升10%"
"能力","2","職技アビリティ","职技能力","274","素早さ20%アップ","敏捷提升20%"
"能力","2","職技アビリティ","职技能力","275","素早さ30%アップ","敏捷提升30%"
"能力","2","職技アビリティ","职技能力","276","素早さ40%アップ","敏捷提升40%"
"能力","2","職技アビリティ","职技能力","277","素早さ50%アップ","敏捷提升50%"
"能力","2","職技アビリティ","职技能力","278","器用さ10%アップ","灵巧提升10%"
"能力","2","職技アビリティ","职技能力","279","器用さ20%アップ","灵巧提升20%"
"能力","2","職技アビリティ","职技能力","280","器用さ30%アップ","灵巧提升30%"
"能力","2","職技アビリティ","职技能力","281","器用さ40%アップ","灵巧提升40%"
"能力","2","職技アビリティ","职技能力","282","器用さ50%アップ","灵巧提升50%"
"能力","2","職技アビリティ","职技能力","283","SP消費3/4",""
"能力","2","職技アビリティ","职技能力","284","SP消費1/2",""
"能力","2","職技アビリティ","职技能力","285","SP消費1/4",""
"能力","2","職技アビリティ","职技能力","286","SP究極消費ダウン","SP究极消耗降低"
"能力","2","職技アビリティ","职技能力","287","いつでもぶんどる","随时抢夺"
"能力","2","職技アビリティ","职技能力","288","生命保険","人寿保险"
"能力","2","職技アビリティ","职技能力","289","ずっと殴られ得","一直挨打赚钱"
"能力","2","職技アビリティ","职技能力","290","最期の託宣","最后的赐福"
"能力","2","職技アビリティ","职技能力","291","ラストスロット","最后的机会"
"能力","2","職技アビリティ","职技能力","292","ファイナルチャンス","最终机会"
"能力","2","職技アビリティ","职技能力","293","遺言","遗言"
"能力","2","職技アビリティ","职技能力","294","道連れBC兵器","同归于尽BC兵器"
"能力","2","職技アビリティ","职技能力","295","末期の奉仕","末期的侍奉"
"能力","2","職技アビリティ","职技能力","296","メイドの土産","女仆的礼物"
"能力","2","職技アビリティ","职技能力","297","縛られメイド","束缚女仆"
"能力","2","職技アビリティ","职技能力","298","聖者殉教","圣者殉教"
"能力","2","職技アビリティ","职技能力","299","聖者玉砕","圣者玉碎"
"能力","2","職技アビリティ","职技能力","300","出会い頭のおたけび","初次见面的呐喊"
"能力","2","職技アビリティ","职技能力","301","獣王の畏怖","兽王的敬畏"
"能力","2","職技アビリティ","职技能力","302","開幕びっくり箱","开场惊吓箱"
"能力","2","職技アビリティ","职技能力","303","バビロンの大淫婦","巴比伦的大淫妇"
"能力","2","職技アビリティ","职技能力","304","物理攻撃即死付加10%","物理攻击即死附加10%"
"能力","2","職技アビリティ","职技能力","305","物理攻撃即死付加25%","物理攻击即死附加25%"
"能力","2","職技アビリティ","职技能力","306","物理攻撃即死付加50%","物理攻击即死附加50%"
"能力","2","職技アビリティ","职技能力","307","物理攻撃昇天付加10%","物理攻击升天附加10%"
"能力","2","職技アビリティ","职技能力","308","物理攻撃昇天付加25%","物理攻击升天附加25%"
"能力","2","職技アビリティ","职技能力","309","物理攻撃昇天付加50%","物理攻击升天附加50%"
"能力","2","職技アビリティ","职技能力","310","物理攻撃絶頂付加10%","物理攻击绝顶附加10%"
"能力","2","職技アビリティ","职技能力","311","物理攻撃絶頂付加25%","物理攻击绝顶附加25%"
"能力","2","職技アビリティ","职技能力","312","物理攻撃絶頂付加50%","物理攻击绝顶附加50%"
"能力","2","職技アビリティ","职技能力","313","物理攻撃毒付加10%","物理攻击中毒附加10%"
"能力","2","職技アビリティ","职技能力","314","物理攻撃毒付加25%","物理攻击中毒附加25%"
"能力","2","職技アビリティ","职技能力","315","物理攻撃毒付加50%","物理攻击中毒附加50%"
"能力","2","職技アビリティ","职技能力","316","物理攻撃暗闇付加10%","物理攻击黑暗附加10%"
"能力","2","職技アビリティ","职技能力","317","物理攻撃暗闇付加25%","物理攻击黑暗附加25%"
"能力","2","職技アビリティ","职技能力","318","物理攻撃暗闇付加50%","物理攻击黑暗附加50%"
"能力","2","職技アビリティ","职技能力","319","物理攻撃沈黙付加10%","物理攻击沉默附加10%"
"能力","2","職技アビリティ","职技能力","320","物理攻撃沈黙付加25%","物理攻击沉默附加25%"
"能力","2","職技アビリティ","职技能力","321","物理攻撃沈黙付加50%","物理攻击沉默附加50%"
"能力","2","職技アビリティ","职技能力","322","物理攻撃混乱付加10%","物理攻击混乱附加10%"
"能力","2","職技アビリティ","职技能力","323","物理攻撃混乱付加25%","物理攻击混乱附加25%"
"能力","2","職技アビリティ","职技能力","324","物理攻撃混乱付加50%","物理攻击混乱附加50%"
"能力","2","職技アビリティ","职技能力","325","物理攻撃睡眠付加10%","物理攻击睡眠附加10%"
"能力","2","職技アビリティ","职技能力","326","物理攻撃睡眠付加25%","物理攻击睡眠附加25%"
"能力","2","職技アビリティ","职技能力","327","物理攻撃睡眠付加50%","物理攻击睡眠附加50%"
"能力","2","職技アビリティ","职技能力","328","物理攻撃麻痺付加10%","物理攻击麻痹附加10%"
"能力","2","職技アビリティ","职技能力","329","物理攻撃麻痺付加25%","物理攻击麻痹附加25%"
"能力","2","職技アビリティ","职技能力","330","物理攻撃麻痺付加50%","物理攻击麻痹附加50%"
"能力","2","職技アビリティ","职技能力","331","物理攻撃バーン付加10%","物理攻击燃烧附加10%"
"能力","2","職技アビリティ","职技能力","332","物理攻撃バーン付加25%","物理攻击燃烧附加25%"
"能力","2","職技アビリティ","职技能力","333","物理攻撃バーン付加50%","物理攻击燃烧附加50%"
"能力","2","職技アビリティ","职技能力","334","物理攻撃フリーズ付加10%","物理攻击冻结附加10%"
"能力","2","職技アビリティ","职技能力","335","物理攻撃フリーズ付加25%","物理攻击冻结附加25%"
"能力","2","職技アビリティ","职技能力","336","物理攻撃フリーズ付加50%","物理攻击冻结附加50%"
"能力","2","職技アビリティ","职技能力","337","物理攻撃ショック付加10%","物理攻击电击附加10%"
"能力","2","職技アビリティ","职技能力","338","物理攻撃ショック付加25%","物理攻击电击附加25%"
"能力","2","職技アビリティ","职技能力","339","物理攻撃ショック付加50%","物理攻击电击附加50%"
"能力","2","職技アビリティ","职技能力","340","物理攻撃スロウ付加10%","物理攻击减速附加10%"
"能力","2","職技アビリティ","职技能力","341","物理攻撃スロウ付加25%","物理攻击减速附加25%"
"能力","2","職技アビリティ","职技能力","342","物理攻撃スロウ付加50%","物理攻击减速附加50%"
"能力","2","職技アビリティ","职技能力","343","物理攻撃ストップ付加10%","物理攻击停止附加10%"
"能力","2","職技アビリティ","职技能力","344","物理攻撃ストップ付加25%","物理攻击停止附加25%"
"能力","2","職技アビリティ","职技能力","345","物理攻撃ストップ付加50%","物理攻击停止附加50%"
"能力","2","職技アビリティ","职技能力","346","物理攻撃ミニマム付加10%","物理攻击缩小附加10%"
"能力","2","職技アビリティ","职技能力","347","物理攻撃ミニマム付加25%","物理攻击缩小附加25%"
"能力","2","職技アビリティ","职技能力","348","物理攻撃ミニマム付加50%","物理攻击缩小附加50%"
"能力","2","職技アビリティ","职技能力","349","物理攻撃ゾンビ付加10%","物理攻击僵尸附加10%"
"能力","2","職技アビリティ","职技能力","350","物理攻撃ゾンビ付加25%","物理攻击僵尸附加25%"
"能力","2","職技アビリティ","职技能力","351","物理攻撃ゾンビ付加50%","物理攻击僵尸附加50%"
"能力","2","職技アビリティ","职技能力","352","物理攻撃石化付加10%","物理攻击石化附加10%"
"能力","2","職技アビリティ","职技能力","353","物理攻撃石化付加25%","物理攻击石化附加25%"
"能力","2","職技アビリティ","职技能力","354","物理攻撃石化付加50%","物理攻击石化附加50%"
"能力","2","職技アビリティ","职技能力","355","物理攻撃消化付加10%","物理攻击消化附加10%"
"能力","2","職技アビリティ","职技能力","356","物理攻撃消化付加25%","物理攻击消化附加25%"
"能力","2","職技アビリティ","职技能力","357","物理攻撃消化付加50%","物理攻击消化附加50%"
"能力","2","職技アビリティ","职技能力","358","物理攻撃スタン付加10%","物理攻击眩晕附加10%"
"能力","2","職技アビリティ","职技能力","359","物理攻撃スタン付加25%","物理攻击眩晕附加25%"
"能力","2","職技アビリティ","职技能力","360","物理攻撃スタン付加50%","物理攻击眩晕附加50%"
"能力","2","職技アビリティ","职技能力","361","物理攻撃ヌルヌル付加10%","物理攻击黏滑附加10%"
"能力","2","職技アビリティ","职技能力","362","物理攻撃ヌルヌル付加25%","物理攻击黏滑附加25%"
"能力","2","職技アビリティ","职技能力","363","物理攻撃ヌルヌル付加50%","物理攻击黏滑附加50%"
"能力","2","職技アビリティ","职技能力","364","物理攻撃敏感付加10%","物理攻击敏感附加10%"
"能力","2","職技アビリティ","职技能力","365","物理攻撃敏感付加25%","物理攻击敏感附加25%"
"能力","2","職技アビリティ","职技能力","366","物理攻撃敏感付加50%","物理攻击敏感附加50%"
"能力","2","職技アビリティ","职技能力","367","物理攻撃恍惚付加10%","物理攻击恍惚附加10%"
"能力","2","職技アビリティ","职技能力","368","物理攻撃恍惚付加25%","物理攻击恍惚附加25%"
"能力","2","職技アビリティ","职技能力","369","物理攻撃恍惚付加50%","物理攻击恍惚附加50%"
"能力","2","職技アビリティ","职技能力","370","物理攻撃誘惑付加10%","物理攻击诱惑附加10%"
"能力","2","職技アビリティ","职技能力","371","物理攻撃誘惑付加25%","物理攻击诱惑附加25%"
"能力","2","職技アビリティ","职技能力","372","物理攻撃誘惑付加50%","物理攻击诱惑附加50%"
"能力","2","職技アビリティ","职技能力","373","物理攻撃失禁付加10%","物理攻击失禁附加10%"
"能力","2","職技アビリティ","职技能力","374","物理攻撃失禁付加25%","物理攻击失禁附加25%"
"能力","2","職技アビリティ","职技能力","375","物理攻撃失禁付加50%","物理攻击失禁附加50%"
"能力","2","職技アビリティ","职技能力","376","竪琴ブースター","竖琴增强"
"能力","2","職技アビリティ","职技能力","377","竪琴ハイブースター","竖琴高级增强"
"能力","2","職技アビリティ","职技能力","378","竪琴エクスブースター","竖琴极限增强"
"能力","2","職技アビリティ","职技能力","379","包丁ブースター","菜刀增强"
"能力","2","職技アビリティ","职技能力","380","包丁ハイブースター","菜刀高级增强"
"能力","2","職技アビリティ","职技能力","381","包丁エクスブースター","菜刀极限增强"
"能力","2","職技アビリティ","职技能力","382","そろばんブースター","算盘增强"
"能力","2","職技アビリティ","职技能力","383","そろばんハイブースター","算盘高级增强"
"能力","2","職技アビリティ","职技能力","384","そろばんエクスブースター","算盘极限增强"
"能力","2","職技アビリティ","职技能力","385","メスブースター","手术刀增强"
"能力","2","職技アビリティ","职技能力","386","メスハイブースター","手术刀高级增强"
"能力","2","職技アビリティ","职技能力","387","メスエクスブースター","手术刀极限增强"
"能力","2","職技アビリティ","职技能力","388","カードブースター","卡牌增强"
"能力","2","職技アビリティ","职技能力","389","カードハイブースター","卡牌高级增强"
"能力","2","職技アビリティ","职技能力","390","カードエクスブースター","卡牌极限增强"
"能力","2","職技アビリティ","职技能力","391","皿ブースター","盘增强"
"能力","2","職技アビリティ","职技能力","392","皿ハイブースター","盘高级增强"
"能力","2","職技アビリティ","职技能力","393","皿エクスブースター","盘极限增强"
"能力","2","職技アビリティ","职技能力","394","淫具ブースター","淫具增强"
"能力","2","職技アビリティ","职技能力","395","淫具ハイブースター","淫具高级增强"
"能力","2","職技アビリティ","职技能力","396","淫具エクスブースター","淫具极限增强"
"能力","2","職技アビリティ","职技能力","397","マキナブースター","器械增强"
"能力","2","職技アビリティ","职技能力","398","マキナハイブースター","器械高级增强"
"能力","2","職技アビリティ","职技能力","399","マキナエクスブースター","器械极限增强"
"能力","2","職技アビリティ","职技能力","400","「竪琴」装備可能","可以装备「竖琴」"
"能力","2","職技アビリティ","职技能力","401","「包丁」装備可能","可以装备「菜刀」"
"能力","2","職技アビリティ","职技能力","402","「そろばん」装備可能","可以装备「算盘」"
"能力","2","職技アビリティ","职技能力","403","「メス」装備可能","可以装备「手术刀」"
"能力","2","職技アビリティ","职技能力","404","「カード」装備可能","可以装备「卡牌」"
"能力","2","職技アビリティ","职技能力","405","「皿」装備可能","可以装备「盘」"
"能力","2","職技アビリティ","职技能力","406","「淫具」装備可能","可以装备「淫具」"
"能力","2","職技アビリティ","职技能力","407","「盗賊技」使用可能","可以使用「盗贼技」"
"能力","2","職技アビリティ","职技能力","408","「忍術」使用可能","可以使用「忍术」"
"能力","2","職技アビリティ","职技能力","409","「海賊技」使用可能","可以使用「海贼技」"
"能力","2","職技アビリティ","职技能力","410","「商技」使用可能","可以使用「商技」"
"能力","2","職技アビリティ","职技能力","411","「EXアイテム」使用可能","可以使用「EX物品」"
"能力","2","職技アビリティ","职技能力","412","「オラクル」使用可能","可以使用「神谕」"
"能力","2","職技アビリティ","职技能力","413","「踊る」使用可能","可以使用「舞蹈」"
"能力","2","職技アビリティ","职技能力","414","「歌う」使用可能","可以使用「歌唱」"
"能力","2","職技アビリティ","职技能力","415","「話す」使用可能","可以使用「交谈」"
"能力","2","職技アビリティ","职技能力","416","「マキナ」使用可能","可以使用「器械」"
"能力","2","職技アビリティ","职技能力","417","「料理」使用可能","可以使用「料理」"
"能力","2","職技アビリティ","职技能力","418","「医術」使用可能","可以使用「医术」"
"能力","2","職技アビリティ","职技能力","419","「御奉仕」使用可能","可以使用「侍奉」"
"能力","2","職技アビリティ","职技能力","420","「王技」使用可能","可以使用「王技」"
"能力","2","職技アビリティ","职技能力","421","「勇者技」使用可能","可以使用「勇者技」"
"能力","2","職技アビリティ","职技能力","422","「淫技」使用可能","可以使用「淫技」"
"能力","2","職技アビリティ","职技能力","423","デュエル魂","决斗之魂"
"能力","2","職技アビリティ","职技能力","424","口先八丁","能言善辩"
"能力","2","職技アビリティ","职技能力","425","職技二連続発動",""
"能力","2","職技アビリティ","职技能力","6858","SP75%アップ","SP提升75%"
"能力","2","職技アビリティ","职技能力","6859","SP100%アップ","SP提升100%"
"能力","2","職技アビリティ","职技能力","6860","SP150%アップ","SP提升150%"
"能力","2","職技アビリティ","职技能力","6861","SP200%アップ","SP提升200%"
"能力","2","職技アビリティ","职技能力","6862","/SP300%アップ",""
"能力","2","職技アビリティ","职技能力","6863","素早さ75%アップ","敏捷提升75%"
"能力","2","職技アビリティ","职技能力","6864","素早さ100%アップ","敏捷提升100%"
"能力","2","職技アビリティ","职技能力","6865","素早さ150%アップ","敏捷提升150%"
"能力","2","職技アビリティ","职技能力","6866","素早さ200%アップ","敏捷提升200%"
"能力","2","職技アビリティ","职技能力","6867","/素早さ300%アップ",""
"能力","2","職技アビリティ","职技能力","6868","器用さ75%アップ","灵巧提升75%"
"能力","2","職技アビリティ","职技能力","6869","器用さ100%アップ","灵巧提升100%"
"能力","2","職技アビリティ","职技能力","6870","器用さ150%アップ","灵巧提升150%"
"能力","2","職技アビリティ","职技能力","6871","器用さ200%アップ","灵巧提升200%"
"能力","2","職技アビリティ","职技能力","6872","/器用さ300%アップ",""
"能力","2","職技アビリティ","职技能力","6873","ヘビィスピード","重速度"
"能力","2","職技アビリティ","职技能力","6874","ヘビィテクニック","重技巧"
"能力","2","職技アビリティ","职技能力","6875","絶技コンバーター","绝技转换器"
"能力","2","職技アビリティ","职技能力","6876","ダメージをSP変換","伤害转换为SP"
"能力","2","職技アビリティ","职技能力","6877","職技SPバースト","职技SP爆发"
"能力","2","職技アビリティ","职技能力","6878","職技SPハイバースト","职技SP超级爆发"
"能力","2","職技アビリティ","职技能力","6879","先の先","先发制人"
"能力","2","職技アビリティ","职技能力","6880","先々の先","先发制人II"
"能力","2","職技アビリティ","职技能力","6881","後の先","后发制人"
"能力","2","職技アビリティ","职技能力","6882","後々の先","后发制人II"
"能力","2","職技アビリティ","职技能力","6883","短剣技でぶんどる","短剑技抢夺"
"能力","2","職技アビリティ","职技能力","6884","海賊技でぶんどる","海贼技抢夺"
"能力","2","職技アビリティ","职技能力","6885","武技でぶんどる","武技抢夺"
"能力","2","職技アビリティ","职技能力","6886","体力低下時職技強化","体力降低时职技强化"
"能力","2","職技アビリティ","职技能力","6887","体力低下時職技超強化","体力降低时职技超强化"
"能力","2","職技アビリティ","职技能力","6888","心尽くしの職技","全心全意的职技"
"能力","2","職技アビリティ","职技能力","6889","一意専心","一心一意"
"能力","2","職技アビリティ","职技能力","6890","真・一意専心","真・一心一意"
"能力","2","職技アビリティ","职技能力","6891","対多職術","对多职业术"
"能力","2","職技アビリティ","职技能力","6892","孤高の英雄","孤高的英雄"
"能力","2","職技アビリティ","职技能力","6893","真・孤高の英雄","真・孤高的英雄"
"能力","2","職技アビリティ","职技能力","6894","クリティカルハープ","致命竖琴"
"能力","2","職技アビリティ","职技能力","6895","クリティカルメディスン","致命治疗"
"能力","2","職技アビリティ","职技能力","6896","ダークフォース","黑暗之力"
"能力","2","職技アビリティ","职技能力","6897","アルティメットフォース","究极之力"
"能力","2","職技アビリティ","职技能力","6898","快楽昇天の踊り","极乐升天的舞蹈"
"能力","2","職技アビリティ","职技能力","6899","快楽昇天の歌","极乐升天的歌声"
"能力","2","職技アビリティ","职技能力","6900","ヌルヌル殺しの御奉仕","黏滑杀手的侍奉"
"能力","2","職技アビリティ","职技能力","6901","快楽の奉仕者","极乐的侍奉者"
"能力","2","職技アビリティ","职技能力","6902","快楽ラッシュ","极乐冲击"
"能力","2","職技アビリティ","职技能力","6903","破邪のクナイ","破邪的苦无"
"能力","2","職技アビリティ","职技能力","6904","海狩り","海狩"
"能力","2","職技アビリティ","职技能力","6905","強敵を打ち破る一撃","击破强敌的一击"
"能力","2","職技アビリティ","职技能力","6906","真の必殺技","真正的必杀技"
"能力","2","職技アビリティ","职技能力","6907","欲喰いギャンブル","贪食赌博"
"能力","2","職技アビリティ","职技能力","6908","ダンスで勝負","舞蹈对决"
"能力","2","職技アビリティ","职技能力","6909","歌唱対決","歌唱对决"
"能力","2","職技アビリティ","职技能力","6910","除霊の話術","除灵的谈话术"
"能力","2","職技アビリティ","职技能力","6912","対兵器用マキナ","对兵器用器械"
"能力","2","職技アビリティ","职技能力","6913","高貴なる者も満足の味","高贵者也满足的味道"
"能力","2","職技アビリティ","职技能力","6914","天使をも魅了する味","连天使也为之倾倒的味道"
"能力","2","職技アビリティ","职技能力","6915","効率的人体破壊","高效的人体破坏"
"能力","2","職技アビリティ","职技能力","6916","高貴なる者への御奉仕","对高贵者的侍奉"
"能力","2","職技アビリティ","职技能力","6917","天地を統べる","统御天地"
"能力","2","職技アビリティ","职技能力","6918","猛毒のクナイ","猛毒的苦无"
"能力","2","職技アビリティ","职技能力","6919","海賊の搦め手","海贼的绞杀技"
"能力","2","職技アビリティ","职技能力","6920","ショッキングダンス","震撼舞蹈"
"能力","2","職技アビリティ","职技能力","6921","ショッキングソング","震撼歌曲"
"能力","2","職技アビリティ","职技能力","6922","アイドルダンス","偶像舞蹈"
"能力","2","職技アビリティ","职技能力","6923","アイドルソング","偶像歌曲"
"能力","2","職技アビリティ","职技能力","6924","極まりし偶像の踊り","极致偶像之舞"
"能力","2","職技アビリティ","职技能力","6925","極まりし偶像の歌","极致偶像之歌"
"能力","2","職技アビリティ","职技能力","6926","精神錯乱の話術","精神错乱的言术"
"能力","2","職技アビリティ","职技能力","6927","致死のマキナ","致命的器械"
"能力","2","職技アビリティ","职技能力","6928","洗礼料理",""
"能力","2","職技アビリティ","职技能力","6929","サバト料理","萨巴特料理"
"能力","2","職技アビリティ","职技能力","6930","非道なる医術","非道的医术"
"能力","2","職技アビリティ","职技能力","6931","過剰な御奉仕","过度的侍奉"
"能力","2","職技アビリティ","职技能力","6932","クィーンの淫技","女王的淫技"
"能力","2","職技アビリティ","职技能力","6933","ファーストスティール","初次偷窃"
"能力","2","職技アビリティ","职技能力","6934","手裏剣ダメージ強化","手里剑伤害强化"
"能力","2","職技アビリティ","职技能力","6935","手裏剣ダメージ超強化","手里剑伤害超强化"
"能力","2","職技アビリティ","职技能力","6936","ファーストランダマイザ","初次随机发生器"
"能力","2","職技アビリティ","职技能力","6937","オートランダマイザ","自动随机发生器"
"能力","2","職技アビリティ","职技能力","6938","属性ルーレット","属性轮盘"
"能力","2","職技アビリティ","职技能力","6939","スキルルーレット","技能轮盘"
"能力","2","職技アビリティ","职技能力","6940","ギャンブルジャンキー","赌博狂"
"能力","2","職技アビリティ","职技能力","6941","魅了の開幕","魅惑的开场"
"能力","2","職技アビリティ","职技能力","6942","ノンストップダンシング","不停歇的舞蹈"
"能力","2","職技アビリティ","职技能力","6943","ノンストップシンギング","不停歌唱"
"能力","2","職技アビリティ","职技能力","6944","ディレイダンス","延迟舞蹈"
"能力","2","職技アビリティ","职技能力","6945","固定砲台","固定炮台"
"能力","2","職技アビリティ","职技能力","6946","オートクッキング","自动烹饪"
"能力","2","職技アビリティ","职技能力","6947","元気モリモリ料理","元气满满料理"
"能力","2","職技アビリティ","职技能力","6948","活力モリモリ料理","活力满满料理"
"能力","2","職技アビリティ","职技能力","6949","メイドの片手間料理","女仆的空闲料理"
"能力","2","職技アビリティ","职技能力","6950","生身の英雄","肉身的英雄"
"能力","2","職技アビリティ","职技能力","6951","支援ビット","支援比特"
"能力","2","職技アビリティ","职技能力","6952","バスタービット","破坏比特"
"能力","2","職技アビリティ","职技能力","6953","サテライトビット","卫星比特"
"能力","2","職技アビリティ","职技能力","6954","オメガビット","欧米伽比特"
"能力","2","職技アビリティ","职技能力","6955","アシストバルカン","辅助火神"
"能力","2","職技アビリティ","职技能力","6956","アシストバースト","辅助爆发"
"能力","2","職技アビリティ","职技能力","6957","アシストフルバースト","辅助全爆发"
"能力","2","職技アビリティ","职技能力","6958","アシストギガバースト","辅助千兆爆发"
"能力","2","職技アビリティ","职技能力","6959","多重ロックオン","多重锁定"
"能力","2","職技アビリティ","职技能力","6960","フルロックオン","全锁定"
"能力","2","職技アビリティ","职技能力","6961","オーバーロックオン","超锁定"
"能力","2","職技アビリティ","职技能力","6962","加速装置",""
"能力","2","職技アビリティ","职技能力","6963","物理攻撃即死付加75%","物理攻击即死附加75%"
"能力","2","職技アビリティ","职技能力","6964","/物理攻撃即死付加100%",""
"能力","2","職技アビリティ","职技能力","6965","物理攻撃昇天付加75%","物理攻击升天附加75%"
"能力","2","職技アビリティ","职技能力","6966","/物理攻撃昇天付加100%",""
"能力","2","職技アビリティ","职技能力","6967","物理攻撃絶頂付加75%","物理攻击绝顶附加75%"
"能力","2","職技アビリティ","职技能力","6968","/物理攻撃絶頂付加100%",""
"能力","2","職技アビリティ","职技能力","6969","物理攻撃毒付加75%","物理攻击中毒附加75%"
"能力","2","職技アビリティ","职技能力","6970","/物理攻撃毒付加100%",""
"能力","2","職技アビリティ","职技能力","6971","物理攻撃暗闇付加75%","物理攻击黑暗附加75%"
"能力","2","職技アビリティ","职技能力","6972","/物理攻撃暗闇付加100%",""
"能力","2","職技アビリティ","职技能力","6973","物理攻撃沈黙付加75%","物理攻击沉默附加75%"
"能力","2","職技アビリティ","职技能力","6974","/物理攻撃沈黙付加100%",""
"能力","2","職技アビリティ","职技能力","6975","物理攻撃混乱付加75%","物理攻击混乱附加75%"
"能力","2","職技アビリティ","职技能力","6976","/物理攻撃混乱付加100%",""
"能力","2","職技アビリティ","职技能力","6977","物理攻撃睡眠付加75%","物理攻击睡眠附加75%"
"能力","2","職技アビリティ","职技能力","6978","/物理攻撃睡眠付加100%",""
"能力","2","職技アビリティ","职技能力","6979","物理攻撃麻痺付加75%","物理攻击麻痹附加75%"
"能力","2","職技アビリティ","职技能力","6980","/物理攻撃麻痺付加100%",""
"能力","2","職技アビリティ","职技能力","6981","物理攻撃バーン付加75%","物理攻击燃烧附加75%"
"能力","2","職技アビリティ","职技能力","6982","/物理攻撃バーン付加100%",""
"能力","2","職技アビリティ","职技能力","6983","物理攻撃フリーズ付加75%","物理攻击冻结附加75%"
"能力","2","職技アビリティ","职技能力","6984","/物理攻撃フリーズ付加100%",""
"能力","2","職技アビリティ","职技能力","6985","物理攻撃ショック付加75%","物理攻击电击附加75%"
"能力","2","職技アビリティ","职技能力","6986","/物理攻撃ショック付加100%",""
"能力","2","職技アビリティ","职技能力","6987","物理攻撃スロウ付加75%","物理攻击减速附加75%"
"能力","2","職技アビリティ","职技能力","6988","/物理攻撃スロウ付加100%",""
"能力","2","職技アビリティ","职技能力","6989","物理攻撃ストップ付加75%","物理攻击停止附加75%"
"能力","2","職技アビリティ","职技能力","6990","/物理攻撃ストップ付加100%",""
"能力","2","職技アビリティ","职技能力","6991","物理攻撃ミニマム付加75%","物理攻击缩小附加75%"
"能力","2","職技アビリティ","职技能力","6992","/物理攻撃ミニマム付加100%",""
"能力","2","職技アビリティ","职技能力","6993","物理攻撃ゾンビ付加75%","物理攻击僵尸化附加75%"
"能力","2","職技アビリティ","职技能力","6994","/物理攻撃ゾンビ付加100%",""
"能力","2","職技アビリティ","职技能力","6995","物理攻撃石化付加75%","物理攻击石化附加75%"
"能力","2","職技アビリティ","职技能力","6996","/物理攻撃石化付加100%",""
"能力","2","職技アビリティ","职技能力","6997","物理攻撃消化付加75%","物理攻击消化附加75%"
"能力","2","職技アビリティ","职技能力","6998","/物理攻撃消化付加100%",""
