"能力ID","日文名称","日文所属","日文说明","可学习职业（日文，含等级）","可学习种族（日文，含等级）","所需AP","中文名称","中文所属","中文说明","可学习职业（中文，含等级）","可学习种族（中文，含等级）","技能类型ID"
"354","物理攻撃石化付加50%","職技アビリティ","物理攻撃に50%の石化効果が付加する","","264:ウロボロス（Lv9）；335:カオスアンデッド（Lv8）","30","物理攻击石化附加50%","职技能力","物理攻击附加50%的石化效果","","264:衔尾蛇（Lv9）；335:混沌不死族（Lv8）","2"
"355","物理攻撃消化付加10%","職技アビリティ","物理攻撃に10%の消化効果が付加する","","228:肉食スライム（Lv7）；324:食虫淫花（Lv8）","10","物理攻击消化附加10%","职技能力","物理攻击附加10%的消化效果","","228:肉食史莱姆（Lv7）；324:食虫淫花（Lv8）","2"
"356","物理攻撃消化付加25%","職技アビリティ","物理攻撃に25%の消化効果が付加する","","229:淫酷の粘妖（Lv7）；325:ビーナスネペンテス（Lv8）","20","物理攻击消化附加25%","职技能力","物理攻击附加25%的消化效果","","229:淫酷粘妖（Lv7）；325:维纳斯之花（Lv8）","2"
"357","物理攻撃消化付加50%","職技アビリティ","物理攻撃に50%の消化効果が付加する","","231:究極群体生命（Lv6）","30","物理攻击消化附加50%","职技能力","物理攻击附加50%的消化效果","","231:究极群体生命（Lv6）","2"
"358","物理攻撃スタン付加10%","職技アビリティ","物理攻撃に10%のスタン効果が付加する","","261:メデューサ（Lv8）","10","物理攻击眩晕附加10%","职技能力","物理攻击附加10%的眩晕效果","","261:美杜莎（Lv8）","2"
"359","物理攻撃スタン付加25%","職技アビリティ","物理攻撃に25%のスタン効果が付加する","","262:ロードメデューサ（Lv8）","20","物理攻击眩晕附加25%","职技能力","物理攻击附加25%的眩晕效果","","262:美杜莎领主（Lv8）","2"
"360","物理攻撃スタン付加50%","職技アビリティ","物理攻撃に50%のスタン効果が付加する","","264:ウロボロス（Lv8）","30","物理攻击眩晕附加50%","职技能力","物理攻击附加50%的眩晕效果","","264:衔尾蛇（Lv8）","2"
"361","物理攻撃ヌルヌル付加10%","職技アビリティ","物理攻撃に10%のヌルヌル効果が付加する","","224:メガスライム（Lv3）；296:軟体搾精種（Lv5）","10","物理攻击黏滑附加10%","职技能力","物理攻击附加10%的黏滑效果","","224:大史莱姆（Lv3）；296:软体榨精种（Lv5）","2"
"362","物理攻撃ヌルヌル付加25%","職技アビリティ","物理攻撃に25%のヌルヌル効果が付加する","","225:ギガスライム（Lv4）；297:ハイクリーチャー（Lv5）","20","物理攻击黏滑附加25%","职技能力","物理攻击附加25%的黏滑效果","","225:千兆史莱姆（Lv4）；297:高级生物（Lv5）","2"
"363","物理攻撃ヌルヌル付加50%","職技アビリティ","物理攻撃に50%のヌルヌル効果が付加する","","231:究極群体生命（Lv6）；300:百魔の王（Lv4）","30","物理攻击黏滑附加50%","职技能力","物理攻击附加50%的黏滑效果","","231:究极群体生命（Lv6）；300:百魔之王（Lv4）","2"
"364","物理攻撃敏感付加10%","職技アビリティ","物理攻撃に10%の敏感効果が付加する","97:娼婦（Lv7）","178:モンクサキュバス（Lv3）","10","物理攻击敏感附加10%","职技能力","物理攻击附加10%的敏感效果","97:娼妇（Lv7）","178:僧侣魅魔（Lv3）","2"
"365","物理攻撃敏感付加25%","職技アビリティ","物理攻撃に25%の敏感効果が付加する","98:慈愛の聖娼（Lv7）","179:淫闘サキュバス（Lv3）","20","物理攻击敏感附加25%","职技能力","物理攻击附加25%的敏感效果","98:慈爱的圣娼（Lv7）","179:淫斗魅魔（Lv3）","2"
"366","物理攻撃敏感付加50%","職技アビリティ","物理攻撃に50%の敏感効果が付加する","","183:リリスナイトメア（Lv7）","30","物理攻击敏感附加50%","职技能力","物理攻击附加50%的敏感效果","","183:莉莉丝梦魇（Lv7）","2"
"367","物理攻撃恍惚付加10%","職技アビリティ","物理攻撃に10%の恍惚効果が付加する","97:娼婦（Lv8）","176:サキュバス（Lv5）","10","物理攻击恍惚附加10%","职技能力","物理攻击附加10%的恍惚效果","97:娼妇（Lv8）","176:魅魔（Lv5）","2"
"368","物理攻撃恍惚付加25%","職技アビリティ","物理攻撃に25%の恍惚効果が付加する","99:傾国の魔娼（Lv7）","177:エルダーサキュバス（Lv4）","20","物理攻击恍惚附加25%","职技能力","物理攻击附加25%的恍惚效果","99:倾国的魔娼（Lv7）","177:长老魅魔（Lv4）","2"
"369","物理攻撃恍惚付加50%","職技アビリティ","物理攻撃に50%の恍惚効果が付加する","","183:リリスナイトメア（Lv7）","30","物理攻击恍惚附加50%","职技能力","物理攻击附加50%的恍惚效果","","183:莉莉丝梦魇（Lv7）","2"
"370","物理攻撃誘惑付加10%","職技アビリティ","物理攻撃に10%の誘惑効果が付加する","100:スーパースター（Lv8）","180:ウィッチサキュバス（Lv4）；368:キューピッド（Lv5）","10","物理攻击诱惑附加10%","职技能力","物理攻击附加10%的诱惑效果","100:超级巨星（Lv8）","180:女巫魅魔（Lv4）；368:丘比特（Lv5）","2"
"371","物理攻撃誘惑付加25%","職技アビリティ","物理攻撃に25%の誘惑効果が付加する","67:淫流くのいち（Lv9）","181:アークサキュバス（Lv3）；369:淫欲のクピド（Lv5）","20","物理攻击诱惑附加25%","职技能力","物理攻击附加25%的诱惑效果","67:淫流女忍（Lv9）","181:大魅魔（Lv3）；369:淫欲的丘比特（Lv5）","2"
"372","物理攻撃誘惑付加50%","職技アビリティ","物理攻撃に50%の誘惑効果が付加する","","183:リリスナイトメア（Lv9）；7416:バビロンの大淫婦（Lv8）","30","物理攻击诱惑附加50%","职技能力","物理攻击附加50%的诱惑效果","","183:莉莉丝梦魇（Lv9）；7416:巴比伦的大淫妇（Lv8）","2"
"373","物理攻撃失禁付加10%","職技アビリティ","物理攻撃に10%の失禁効果が付加する","101:バトルファッカー（Lv5）","182:クィーンサキュバス（Lv5）；368:キューピッド（Lv5）","10","物理攻击失禁附加10%","职技能力","物理攻击附加10%的失禁效果","101:BF斗士（Lv5）","182:魅魔女王（Lv5）；368:丘比特（Lv5）","2"
"374","物理攻撃失禁付加25%","職技アビリティ","物理攻撃に25%の失禁効果が付加する","102:クィーンファッカー（Lv5）","183:リリスナイトメア（Lv10）；369:淫欲のクピド（Lv5）","20","物理攻击失禁附加25%","职技能力","物理攻击附加25%的失禁效果","102:女王BF（Lv5）","183:莉莉丝梦魇（Lv10）；369:淫欲的丘比特（Lv5）","2"
"375","物理攻撃失禁付加50%","職技アビリティ","物理攻撃に50%の失禁効果が付加する","","7416:バビロンの大淫婦（Lv8）","30","物理攻击失禁附加50%","职技能力","物理攻击附加50%的失禁效果","","7416:巴比伦的大淫妇（Lv8）","2"
"376","竪琴ブースター","職技アビリティ","竪琴装備時、その武器によるダメージが15%アップする","95:吟遊詩人（Lv9）","195:ハイマーメイド（Lv3）","10","竖琴增强","职技能力","装备竖琴时，该武器造成的伤害提升15%","95:吟游诗人（Lv9）","195:高等人鱼（Lv3）","2"
"377","竪琴ハイブースター","職技アビリティ","竪琴装備時、その武器によるダメージが30%アップする","96:神唱の歌姫（Lv9）","196:ローレライ（Lv4）","20","竖琴高级增强","职技能力","装备竖琴时，该武器造成的伤害提升30%","96:神唱的歌姬（Lv9）","196:罗蕾莱（Lv4）","2"
"378","竪琴エクスブースター","職技アビリティ","竪琴装備時、その武器によるダメージが50%アップする","7037:歌唱神（Lv14）","202:伝説の神魚（Lv15）；308:海神（Lv15）；353:究極至高人形（Lv15）","30","竖琴极限增强","职技能力","装备竖琴时，该武器造成的伤害提升50%","7037:歌唱神（Lv14）","202:传说之神鱼（Lv15）；308:海神（Lv15）；353:究极至高人偶（Lv15）","2"
"379","包丁ブースター","職技アビリティ","包丁装備時、その武器によるダメージが15%アップする","124:トリプルコック（Lv9）","","10","菜刀增强","职技能力","装备菜刀时，该武器造成的伤害提升15%","124:三星厨师（Lv9）","","2"
"380","包丁ハイブースター","職技アビリティ","包丁装備時、その武器によるダメージが30%アップする","125:味皇（Lv9）","","20","菜刀高级增强","职技能力","装备菜刀时，该武器造成的伤害提升30%","125:味皇（Lv9）","","2"
"381","包丁エクスブースター","職技アビリティ","包丁装備時、その武器によるダメージが50%アップする","7046:料理神（Lv14）","253:零尾の狐（Lv15）","30","菜刀极限增强","职技能力","装备菜刀时，该武器造成的伤害提升50%","7046:料理神（Lv14）","253:零尾之狐（Lv15）","2"
"382","そろばんブースター","職技アビリティ","そろばん装備時、その武器によるダメージが15%アップする","80:闇商人（Lv7）","","10","算盘增强","职技能力","装备算盘时，该武器造成的伤害提升15%","80:暗商人（Lv7）","","2"
"383","そろばんハイブースター","職技アビリティ","そろばん装備時、その武器によるダメージが30%アップする","81:神の見えざる手（Lv7）","","20","算盘高级增强","职技能力","装备算盘时，该武器造成的伤害提升30%","81:无形的大手（Lv7）","","2"
"384","そろばんエクスブースター","職技アビリティ","そろばん装備時、その武器によるダメージが50%アップする","7033:商神（Lv14）","202:伝説の神魚（Lv15）","30","算盘极限增强","职技能力","装备算盘时，该武器造成的伤害提升50%","7033:商神（Lv14）","202:传说之神鱼（Lv15）","2"
"385","メスブースター","職技アビリティ","メス装備時、その武器によるダメージが15%アップする","127:医者（Lv9）","","10","手术刀增强","职技能力","装备手术刀时，该武器造成的伤害提升15%","127:医生（Lv9）","","2"
"386","メスハイブースター","職技アビリティ","メス装備時、その武器によるダメージが30%アップする","128:神医（Lv9）","","20","手术刀高级增强","职技能力","装备手术刀时，该武器造成的伤害提升30%","128:神医（Lv9）","","2"
"387","メスエクスブースター","職技アビリティ","メス装備時、その武器によるダメージが50%アップする","7047:禁医（Lv14）","335:カオスアンデッド（Lv17）","30","手术刀极限增强","职技能力","装备手术刀时，该武器造成的伤害提升50%","7047:禁医（Lv14）","335:混沌不死族（Lv17）","2"
"388","カードブースター","職技アビリティ","カード装備時、その武器によるダメージが15%アップする","89:カードバトラー（Lv9）","","10","卡牌增强","职技能力","装备卡牌时，该武器造成的伤害提升15%","89:卡牌战士（Lv9）","","2"
"389","カードハイブースター","職技アビリティ","カード装備時、その武器によるダメージが30%アップする","90:カードサマナー（Lv9）","","20","卡牌高级增强","职技能力","装备卡牌时，该武器造成的伤害提升30%","90:卡牌召唤师（Lv9）","","2"
"390","カードエクスブースター","職技アビリティ","カード装備時、その武器によるダメージが50%アップする","7035:ゴッドギャンブラー（Lv14）","222:コスモフェアリー（Lv15）","30","卡牌极限增强","职技能力","装备卡牌时，该武器造成的伤害提升50%","7035:赌神（Lv14）","222:宇宙妖精（Lv15）","2"
"391","皿ブースター","職技アビリティ","皿装備時、その武器によるダメージが15%アップする","130:マスターメイド（Lv9）","345:エビルマータ（Lv8）","10","盘增强","职技能力","装备盘时，该武器造成的伤害提升15%","130:大师女仆（Lv9）","345:邪恶标记（Lv8）","2"
"392","皿ハイブースター","職技アビリティ","皿装備時、その武器によるダメージが30%アップする","131:パーフェクトメイド（Lv9）","346:フォースドール（Lv8）","20","盘高级增强","职技能力","装备盘时，该武器造成的伤害提升30%","131:完美女仆（Lv9）","346:强制人偶（Lv8）","2"
"393","皿エクスブースター","職技アビリティ","皿装備時、その武器によるダメージが50%アップする","7048:ゴッドメイド（Lv14）","273:インフィニティスキュラ（Lv18）；353:究極至高人形（Lv16）","30","盘极限增强","职技能力","装备盘时，该武器造成的伤害提升50%","7048:神之女仆（Lv14）","273:无限斯库拉（Lv18）；353:究极至高人偶（Lv16）","2"
"394","淫具ブースター","職技アビリティ","淫具装備時、その武器によるダメージが15%アップする","97:娼婦（Lv9）","180:ウィッチサキュバス（Lv9）","10","淫具增强","职技能力","装备淫具时，该武器造成的伤害提升15%","97:娼妇（Lv9）","180:女巫魅魔（Lv9）","2"
"395","淫具ハイブースター","職技アビリティ","淫具装備時、その武器によるダメージが30%アップする","98:慈愛の聖娼（Lv9）；99:傾国の魔娼（Lv9）","181:アークサキュバス（Lv9）","20","淫具高级增强","职技能力","装备淫具时，该武器造成的伤害提升30%","98:慈爱的圣娼（Lv9）；99:倾国的魔娼（Lv9）","181:大魅魔（Lv9）","2"
"396","淫具エクスブースター","職技アビリティ","淫具装備時、その武器によるダメージが50%アップする","7039:QOBF（Lv12）","183:リリスナイトメア（Lv16）","30","淫具极限增强","职技能力","装备淫具时，该武器造成的伤害提升50%","7039:QOBF（Lv12）","183:莉莉丝梦魇（Lv16）","2"
"397","マキナブースター","職技アビリティ","「マキナ」によるダメージが15%アップする","111:マキナマイスター（Lv9）","7404:射撃型ロイド（Lv9）","10","器械增强","职技能力","「器械」造成的伤害提升15%","111:器械工匠（Lv9）","7404:射击型机器人（Lv9）","2"
"398","マキナハイブースター","職技アビリティ","「マキナ」によるダメージが30%アップする","112:マスターマシーナリー（Lv9）","7405:バスターロイド（Lv9）","20","器械高级增强","职技能力","「器械」造成的伤害提升30%","112:机械大师（Lv9）","7405:破坏者机器人（Lv9）","2"
"399","マキナエクスブースター","職技アビリティ","「マキナ」によるダメージが50%アップする","7043:ゴッドマシーナリー（Lv13）","361:ウェポンタイプ（Lv17）；7443:アサルトバスター（Lv18）","30","器械极限增强","职技能力","「器械」造成的伤害提升50%","7043:神之机械（Lv13）","361:武器类型（Lv17）；7443:突击破坏者（Lv18）","2"
"400","「竪琴」装備可能","職技アビリティ","「竪琴」が装備可能になる","95:吟遊詩人（Lv7）","","5","可以装备「竖琴」","职技能力","变得可以装备「竖琴」","95:吟游诗人（Lv7）","","2"
"401","「包丁」装備可能","職技アビリティ","「包丁」が装備可能になる","124:トリプルコック（Lv7）","","5","可以装备「菜刀」","职技能力","变得可以装备「菜刀」","124:三星厨师（Lv7）","","2"
"402","「そろばん」装備可能","職技アビリティ","「そろばん」が装備可能になる","80:闇商人（Lv5）","199:行商マーメイド（Lv6）","5","可以装备「算盘」","职技能力","变得可以装备「算盘」","80:暗商人（Lv5）","199:行商人鱼（Lv6）","2"
"403","「メス」装備可能","職技アビリティ","「メス」が装備可能になる","126:ナース（Lv7）","","5","可以装备「手术刀」","职技能力","变得可以装备「手术刀」","126:护士（Lv7）","","2"
"404","「カード」装備可能","職技アビリティ","「カード」が装備可能になる","87:ギャンブラー（Lv5）；89:カードバトラー（Lv7）","","5","可以装备「卡牌」","职技能力","变得可以装备「卡牌」","87:赌徒（Lv5）；89:卡牌战士（Lv7）","","2"
"405","「皿」装備可能","職技アビリティ","「皿」が装備可能になる","130:マスターメイド（Lv8）","270:スキュラメイド（Lv9）","5","可以装备「盘」","职技能力","变得可以装备「盘」","130:大师女仆（Lv8）","270:斯库拉女仆（Lv9）","2"
"406","「淫具」装備可能","職技アビリティ","「淫具」が装備可能になる","98:慈愛の聖娼（Lv3）","176:サキュバス（Lv6）","5","可以装备「淫具」","职技能力","变得可以装备「淫具」","98:慈爱的圣娼（Lv3）","176:魅魔（Lv6）","2"
"407","「盗賊技」使用可能","職技アビリティ","「盗賊技」が使用可能になる","64:トリックスター（Lv5）","","5","可以使用「盗贼技」","职技能力","可以使用「盗贼技」","64:诡计之星（Lv5）","","2"
"408","「忍術」使用可能","職技アビリティ","「忍術」が使用可能になる","66:極忍（Lv7）","190:クノイチナイトメア（Lv7）","5","可以使用「忍术」","职技能力","可以使用「忍术」","66:极忍（Lv7）","190:女忍噩梦（Lv7）","2"
"409","「海賊技」使用可能","職技アビリティ","「海賊技」が使用可能になる","69:海賊王（Lv6）；76:海軍大将（Lv6）","198:海賊王ローレライ（Lv8）","5","可以使用「海贼技」","职技能力","可以使用「海贼技」","69:海贼王（Lv6）；76:海军大将（Lv6）","198:海贼王罗蕾莱（Lv8）","2"
"410","「商技」使用可能","職技アビリティ","「商技」が使用可能になる","81:神の見えざる手（Lv5）","200:海運王ローレライ（Lv8）","5","可以使用「商技」","职技能力","可以使用「商技」","81:无形的大手（Lv5）","200:海运王罗蕾莱（Lv8）","2"
"411","「EXアイテム」使用可能","職技アビリティ","「EXアイテム」が使用可能になる","83:マスターアイテム（Lv5）","","5","可以使用「EX物品」","职技能力","可以使用「EX物品」","83:道具大师（Lv5）","","2"
"412","「オラクル」使用可能","職技アビリティ","「オラクル」が使用可能になる","88:闇の賭博師（Lv5）；90:カードサマナー（Lv7）","","5","可以使用「神谕」","职技能力","可以使用「神谕」","88:暗之赌徒（Lv5）；90:卡牌召唤师（Lv7）","","2"
"413","「踊る」使用可能","職技アビリティ","「踊る」が使用可能になる","94:戦巫女（Lv7）","242:武神キャット（Lv7）；260:白蛇神楽（Lv9）；348:アカデミードール（Lv9）","5","可以使用「舞蹈」","职技能力","可以使用「舞蹈」","94:战巫女（Lv7）","242:武神猫（Lv7）；260:白蛇神乐（Lv9）；348:学院人偶（Lv9）","2"
"414","「歌う」使用可能","職技アビリティ","「歌う」が使用可能になる","96:神唱の歌姫（Lv7）","347:ボーカロイド（Lv9）","5","可以使用「歌唱」","职技能力","可以使用「歌唱」","96:神唱的歌姬（Lv7）","347:声乐人偶（Lv9）","2"
"415","「話す」使用可能","職技アビリティ","「話す」が使用可能になる","122:話神（Lv8）","","5","可以使用「交谈」","职技能力","可以使用「交谈」","122:话神（Lv8）","","2"
"416","「マキナ」使用可能","職技アビリティ","「マキナ」が使用可能になる","112:マスターマシーナリー（Lv5）","7404:射撃型ロイド（Lv7）","5","可以使用「器械」","职技能力","可以使用「器械」","112:机械大师（Lv5）","7404:射击型机器人（Lv7）","2"
"417","「料理」使用可能","職技アビリティ","「料理」が使用可能になる","125:味皇（Lv7）","","5","可以使用「料理」","职技能力","可以使用「料理」","125:味皇（Lv7）","","2"
"418","「医術」使用可能","職技アビリティ","「医術」が使用可能になる","128:神医（Lv5）","","5","可以使用「医术」","职技能力","可以使用「医术」","128:神医（Lv5）","","2"
"419","「御奉仕」使用可能","職技アビリティ","「御奉仕」が使用可能になる","131:パーフェクトメイド（Lv8）","271:スキュラサーバント（Lv9）","5","可以使用「侍奉」","职技能力","可以使用「侍奉」","131:完美女仆（Lv8）","271:斯库拉女仆（Lv9）","2"
"420","「王技」使用可能","職技アビリティ","「王技」が使用可能になる","136:騎士王（Lv4）；137:魔導王（Lv4）","","5","可以使用「王技」","职技能力","可以使用「王技」","136:骑士王（Lv4）；137:魔导王（Lv4）","","2"
"421","「勇者技」使用可能","職技アビリティ","「勇者技」が使用可能になる","143:光の勇者（Lv5）；144:闇の勇者（Lv5）","","5","可以使用「勇者技」","职技能力","可以使用「勇者技」","143:光之勇者（Lv5）；144:暗之勇者（Lv5）","","2"
"422","「淫技」使用可能","職技アビリティ","「淫技」が使用可能になる","99:傾国の魔娼（Lv3）","177:エルダーサキュバス（Lv6）","5","可以使用「淫技」","职技能力","可以使用「淫技」","99:倾国的魔娼（Lv3）","177:长老魅魔（Lv6）","2"
"423","デュエル魂","職技アビリティ","「オラクル」しか使用できないが、二回連続発動","89:カードバトラー（Lv10）","","5","决斗之魂","职技能力","只能使用「神谕」，但可以连续发动两次","89:卡牌战士（Lv10）","","2"
"424","口先八丁","職技アビリティ","「話す」しか使用できないが、消費SPが低下
回避率と魔法回避率が30%アップ","122:話神（Lv6）","","5","能言善辩","职技能力","只能使用「交谈」，但消耗SP降低
回避率和魔法回避率提升30%","122:话神（Lv6）","","2"
"425","職技二連続発動","職技アビリティ","職技スキルが二回連続で発動、消費量が1.5倍になる","7069:万職ヲ極メシ仕事人（Lv17）","","30","職技二連続発動","职技能力","職技スキルが二回連続で発動、消費量が1.5倍になる","7069:万职极尽的工匠（Lv17）","","2"
"446","MP10%アップ","魔法アビリティ","最大MPが10%アップする","33:魔法使い（Lv5）","","3","MP提升10%","魔法能力","最大MP提升10%","33:魔法师（Lv5）","","3"
"447","MP20%アップ","魔法アビリティ","最大MPが20%アップする","40:召喚士（Lv3）；7006:妖術師（Lv2）","155:ワームサマナー（Lv3）；156:マスターホムンクル（Lv3）；180:ウィッチサキュバス（Lv4）；187:マージヴァンパイア（Lv4）；331:マミー（Lv3）；357:魔導キメラ（Lv3）","5","MP提升20%","魔法能力","最大MP提升20%","40:召唤士（Lv3）；7006:妖术师（Lv2）","155:蠕虫召唤师（Lv3）；156:大师人造人（Lv3）；180:女巫魅魔（Lv4）；187:合并吸血鬼（Lv4）；331:木乃伊（Lv3）；357:魔导奇美拉（Lv3）","3"
"448","MP30%アップ","魔法アビリティ","最大MPが30%アップする","41:精霊召喚士（Lv4）；7007:異界妖術師（Lv2）","181:アークサキュバス（Lv4）；188:アークヴァンパイア（Lv4）；286:竜神（Lv3）；332:イシス（Lv3）；358:フォースミュータント（Lv3）","7","MP提升30%","魔法能力","最大MP提升30%","41:精灵召唤士（Lv4）；7007:异界妖术师（Lv2）","181:大魅魔（Lv4）；188:大吸血鬼（Lv4）；286:龙神（Lv3）；332:伊西斯（Lv3）；358:力量突变体（Lv3）","3"
"449","MP40%アップ","魔法アビリティ","最大MPが40%アップする","137:魔導王（Lv3）；7020:混沌召喚士（Lv3）；7054:禁忌妖術師（Lv2）","221:クィーンフェアリー（Lv3）；326:クィーンアルラウネ（Lv3）","10","MP提升40%","魔法能力","最大MP提升40%","137:魔导王（Lv3）；7020:混沌召唤士（Lv3）；7054:禁忌妖术师（Lv2）","221:妖精女王（Lv3）；326:阿娜温女王（Lv3）","3"
"450","MP50%アップ","魔法アビリティ","最大MPが50%アップする","50:魔女（Lv3）","157:ワームエンプレス（Lv3）；222:コスモフェアリー（Lv3）；327:世界樹花（Lv3）","15","MP提升50%","魔法能力","最大MP提升50%","50:魔女（Lv3）","157:蠕虫女皇（Lv3）；222:宇宙妖精（Lv3）；327:世界树之花（Lv3）","3"
"451","魔力10%アップ","魔法アビリティ","魔力が10%アップする","33:魔法使い（Lv3）；113:魔芸師（Lv7）","158:妖魔（Lv2）；214:フェアリー（Lv3）；245:妖狐（Lv3）；336:ゴースト（Lv3）","3","魔力提升10%","魔法能力","魔力提升10%","33:魔法师（Lv3）；113:魔艺师（Lv7）","158:妖魔（Lv2）；214:妖精（Lv3）；245:妖狐（Lv3）；336:幽灵（Lv3）","3"
"452","魔力20%アップ","魔法アビリティ","魔力が20%アップする","34:黒魔導師（Lv3）","155:ワームサマナー（Lv3）；159:上級妖魔（Lv3）；180:ウィッチサキュバス（Lv3）；187:マージヴァンパイア（Lv3）；215:風精（Lv2）；246:中級妖狐（Lv3）；314:アラクネ（Lv3）；322:ワルラウネ（Lv3）；331:マミー（Lv3）；337:エビルミスト（Lv3）；357:魔導キメラ（Lv3）","5","魔力提升20%","魔法能力","魔力提升20%","34:黑魔导师（Lv3）","155:蠕虫召唤师（Lv3）；159:上级妖魔（Lv3）；180:女巫魅魔（Lv3）；187:合并吸血鬼（Lv3）；215:风精灵（Lv2）；246:中级妖狐（Lv3）；314:阿拉克涅（Lv3）；322:恶娜温（Lv3）；331:木乃伊（Lv3）；337:邪恶迷雾（Lv3）；357:魔导奇美拉（Lv3）","3"
"453","魔力30%アップ","魔法アビリティ","魔力が30%アップする","35:灼熱魔導師（Lv3）；36:輝氷魔導師（Lv3）；37:極雷魔導師（Lv3）","156:マスターホムンクル（Lv3）；160:妖魔貴族（Lv3）；181:アークサキュバス（Lv3）；188:アークヴァンパイア（Lv3）；216:風の精霊（Lv2）；247:上級妖狐（Lv3）；286:竜神（Lv3）；315:アトラク＝ナクア（Lv3）；323:彼岸の魔花（Lv4）；332:イシス（Lv3）；338:マスターシャドウ（Lv3）；358:フォースミュータント（Lv3）；365:堕天使（Lv3）","7","魔力提升30%","魔法能力","魔力提升30%","35:灼热魔导师（Lv3）；36:辉冰魔导师（Lv3）；37:极雷魔导师（Lv3）","156:大师人造人（Lv3）；160:妖魔贵族（Lv3）；181:大魅魔（Lv3）；188:大吸血鬼（Lv3）；216:风之精灵（Lv2）；247:上级妖狐（Lv3）；286:龙神（Lv3）；315:阿特拉克・纳克亚（Lv3）；323:彼岸的魔花（Lv4）；332:伊西斯（Lv3）；338:幽影之主（Lv3）；358:力量突变体（Lv3）；365:堕天使（Lv3）","3"
"454","魔力40%アップ","魔法アビリティ","魔力が40%アップする","48:森羅万象士（Lv3）；7012:フォースマスター（Lv3）；7018:終焉魔導師（Lv3）","165:古神（Lv4）；192:クィーンヴァンパイア（Lv3）；221:クィーンフェアリー（Lv3）；252:九尾の狐（Lv3）","10","魔力提升40%","魔法能力","魔力提升40%","48:森罗万象士（Lv3）；7012:力量大师（Lv3）；7018:终焉魔导师（Lv3）","165:古神（Lv4）；192:吸血鬼女王（Lv3）；221:妖精女王（Lv3）；252:九尾狐（Lv3）","3"
"455","魔力50%アップ","魔法アビリティ","魔力が50%アップする","50:魔女（Lv3）","157:ワームエンプレス（Lv3）；166:魔王（Lv3）；193:ドラキュリーナ（Lv3）；222:コスモフェアリー（Lv3）；253:零尾の狐（Lv3）；343:エターニティ（Lv3）；370:熾天使（Lv4）","15","魔力提升50%","魔法能力","魔力提升50%","50:魔女（Lv3）","157:蠕虫女皇（Lv3）；166:魔王（Lv3）；193:德古莉娜（Lv3）；222:宇宙妖精（Lv3）；253:零尾之狐（Lv3）；343:永恒（Lv3）；370:炽天使（Lv4）","3"
"456","MP消費3/4","魔法アビリティ","スキル使用時のMP消費が3/4になる","47:賢者（Lv8）","215:風精（Lv10）","10","MP消費3/4","魔法能力","スキル使用時のMP消費が3/4になる","47:贤者（Lv8）","215:风精灵（Lv10）","3"
"457","MP消費1/2","魔法アビリティ","スキル使用時のMP消費が半分になる","48:森羅万象士（Lv9）","216:風の精霊（Lv10）","20","MP消費1/2","魔法能力","技能使用时的MP消耗减半","48:森罗万象士（Lv9）","216:风之精灵（Lv10）","3"
"458","MP消費1/4","魔法アビリティ","スキル使用時のMP消費が1/4になる","7023:ソーサラースプリーム（Lv14）","7420:コスモス（Lv13）","30","MP消費1/4","魔法能力","スキル使用時のMP消費が1/4になる","7023:至高魔法师（Lv14）","7420:宇宙神蝶（Lv13）","3"
"459","MP究極消費ダウン","魔法アビリティ","スキル使用時のMP消費が1/100になる","","7450:創世の女神（Lv12）","50","MP究极消耗降低","魔法能力","スキル使用時のMP消費が1/100になる","","7450:创世女神（Lv12）","3"
"460","ライトマジック","魔法アビリティ","魔法の消費MPが半分になるが、魔力も半分になる","","155:ワームサマナー（Lv5）；180:ウィッチサキュバス（Lv5）；187:マージヴァンパイア（Lv5）；286:竜神（Lv5）；314:アラクネ（Lv5）；339:魔棲の書物（Lv6）；357:魔導キメラ（Lv4）","5","轻魔法","魔法能力","魔法消耗的MP减半，但魔力也减半","","155:蠕虫召唤师（Lv5）；180:女巫魅魔（Lv5）；187:合并吸血鬼（Lv5）；286:龙神（Lv5）；314:阿拉克涅（Lv5）；339:魔栖之书（Lv6）；357:魔导奇美拉（Lv4）","3"
"461","ヘビィマジック","魔法アビリティ","全スキルの消費MPが2倍になるが、魔力は1.5倍になる","","156:マスターホムンクル（Lv5）；181:アークサキュバス（Lv5）；188:アークヴァンパイア（Lv5）；286:竜神（Lv5）；315:アトラク＝ナクア（Lv7）；340:ページオブロード（Lv6）；358:フォースミュータント（Lv5）","10","重魔法","魔法能力","全スキルの消費MPが2倍になるが、魔力は1.5倍になる","","156:大师人造人（Lv5）；181:大魅魔（Lv5）；188:大吸血鬼（Lv5）；286:龙神（Lv5）；315:阿特拉克・纳克亚（Lv7）；340:页之载（Lv6）；358:力量突变体（Lv5）","3"
"462","魔導コンバーター","魔法アビリティ","魔力と精神力が1.5倍になるが、力と防御力が半分になる","108:魔導司書（Lv5）；7002:ハイサイキック（Lv6）","357:魔導キメラ（Lv8）","10","魔导转换器","魔法能力","魔力と精神力が1.5倍になるが、力と防御力が半分になる","108:魔导司书（Lv5）；7002:高阶通灵者（Lv6）","357:魔导奇美拉（Lv8）","3"
"463","魔導リフレクト","魔法アビリティ","魔法を反射するが、受ける物理ダメージが2倍になる","109:ロードライブラリー（Lv7）","","6","魔导反射","魔法能力","反射魔法，但受到的物理伤害翻倍","109:图书馆领主（Lv7）","","3"
