"敌人ID","日本敌人名称","入队概率分母","基础入队概率","关联角色ID","日本角色名称","Faces路径","Faces索引","Battlers路径","敌人Cut-inPictures路径","角色Cut-inPictures路径","中文敌人名称","中文角色名称"
"156","商人マーメイド","4","1/4（25.00%）","196","ミンク","Graphics/Faces/s_mermaid_fc1","0","Graphics/Battlers/50_s_mermaid_st01","Graphics/Pictures/ct_s_mermaid1","Graphics/Pictures/ct_s_mermaid1","商人人鱼","米努克"
"157","海賊マーメイド","2","1/2（50.00%）","197","ロリッタ","Graphics/Faces/k_mermaid_fc1","0","Graphics/Battlers/50_k_mermaid_st01","Graphics/Pictures/ct_k_mermaid1","Graphics/Pictures/ct_k_mermaid1","海贼人鱼","洛丽塔"
"158","一反木綿娘","5","1/5（20.00%）","198","もめん","Graphics/Faces/ittanmomen_fc4","0","Graphics/Battlers/80_ittanmomen_st01","","Graphics/Pictures/ct_ittanmomen1","一反木绵娘","木棉"
"161","ダゴン娘","4","1/4（25.00%）","199","セラフィ","Graphics/Faces/dagon_fc1","0","Graphics/Battlers/50_dagon_st01","","","达贡娘","赛拉菲"
"162","人魂娘","4","1/4（25.00%）","200","フィアー","Graphics/Faces/hitodama_fc1","0","Graphics/Battlers/50_hitodama_st01","Graphics/Pictures/ct_hitodama1","Graphics/Pictures/ct_hitodama1","人魂娘","菲亚"
"168","カエル娘","4","1/4（25.00%）","206","けろろん＆クルル","Graphics/Faces/kaeru_fc4","0","Graphics/Battlers/50_kaeru_st01","","Graphics/Pictures/ct_kaeru1","青蛙娘","克罗罗恩＆库鲁鲁"
"170","ケンタウロス娘","4","1/4（25.00%）","207","ポニー","Graphics/Faces/centa_fc1","0","Graphics/Battlers/80_centa_st01","","","马人娘","小马"
"171","アルラウネ","2","1/2（50.00%）","208","フローラ","Graphics/Faces/alraune_fc1","0","Graphics/Battlers/80_alraune_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","阿娜温","芙萝拉"
"172","御菊蟲","4","1/4（25.00%）","209","なのは","Graphics/Faces/okikumusi_fc1","0","Graphics/Battlers/50_okikumusi_st01","","","御菊虫","奈叶"
"173","幽霊娘","4","1/4（25.00%）","210","ぼたん","Graphics/Faces/ghost2_fc1","0","Graphics/Battlers/50_ghost2_st01","","Graphics/Pictures/ct_ghost2_1","幽灵娘","牡丹"
"174","ハコイリ","5","1/5（20.00%）","211","ステファニー","Graphics/Faces/hakoiri_fc1","0","Graphics/Battlers/80_hakoiri_st01","","Graphics/Pictures/ct_hakoiri1","箱中千金","斯蒂芬妮"
"179","濡れ女","4","1/4（25.00%）","214","白波","Graphics/Faces/nureonnna_fc1","0","Graphics/Battlers/50_nureonnna_st01","Graphics/Pictures/ct_nureonnna1","Graphics/Pictures/ct_nureonnna1","濡女","白波"
"180","ハイミノタウロス","3","1/3（33.33%）","215","キャロル","Graphics/Faces/h_mino_fc1","0","Graphics/Battlers/50_h_mino_st01","Graphics/Pictures/ct_h_mino1","Graphics/Pictures/ct_h_mino1","高阶米诺陶洛斯","卡萝尔"
"181","ミズタウロス","4","1/4（25.00%）","216","オデット","Graphics/Faces/m_mino_fc1","0","Graphics/Battlers/50_m_mino_st01","Graphics/Pictures/ct_m_mino1","Graphics/Pictures/ct_m_mino1","米诺陶洛斯女士","奥黛塔"
"182","ジニタウロス","4","1/4（25.00%）","217","トーラ","Graphics/Faces/zinitauros_fc1","0","Graphics/Battlers/50_zinitauros_st01","","","技师米诺陶洛斯","托特"
"185","くのいちエルフ","4","1/4（25.00%）","219","かすみ","Graphics/Faces/kunoitielf_fc1","0","Graphics/Battlers/80_kunoitielf_st01","","","女忍精灵","霞"
"186","サムライエルフ","4","1/4（25.00%）","220","月花","Graphics/Faces/samuraielf_fc1","0","Graphics/Battlers/80_samuraielf_st01","","","武士精灵","月花"
"187","雪女","3","1/3（33.33%）","221","お雪","Graphics/Faces/yukionna_fc1","0","Graphics/Battlers/50_yukionna_st01","","","雪女","阿雪"
"188","ねこまた","2","1/2（50.00%）","222","たま","Graphics/Faces/nekomata_fc1","2","Graphics/Battlers/50_nekomata_st01","","","猫又","小玉"
"189","あかなめ","3","1/3（33.33%）","223","かなめ","Graphics/Faces/akaname_fc2","1","Graphics/Battlers/80_akaname_st01","","","垢舐鬼","卡娜美"
"190","河童","3","1/3（33.33%）","224","カワコ","Graphics/Faces/kappa_fc1","0","Graphics/Battlers/50_kappa_st01","Graphics/Pictures/ct_kappa1","Graphics/Pictures/ct_kappa1","河童","川子"
"191","二口娘","3","1/3（33.33%）","225","さくら","Graphics/Faces/hutakuti_fc1","5","Graphics/Battlers/80_hutakuti_st12","","","二口娘","樱"
"193","巫女ラミア","4","1/4（25.00%）","227","魅月","Graphics/Faces/mikolamia_fc1","3","Graphics/Battlers/50_mikolamia_st01","","","巫女拉米亚","魅月"
"194","巫女アラクネ","4","1/4（25.00%）","228","まや","Graphics/Faces/mikoarachne_fc1","0","Graphics/Battlers/50_mikoarachne_st01","","Graphics/Pictures/ct_mikoarachne1","巫女阿拉克涅","麻耶"
"195","毛倡妓","4","1/4（25.00%）","229","ツバキ","Graphics/Faces/kezyorou_fc1","0","Graphics/Battlers/80_kezyorou_st01","","","毛倡妓","椿"
"197","マジカルアゲハ","5","1/5（20.00%）","231","バグスタッフ","Graphics/Faces/bugstaff_fc1","0","Graphics/Battlers/50_m_batterfly_st01","","","魔法凤蝶","魔法学院低级生"
"200","マジカルピクシー","5","1/5（20.00%）","232","マギスタンズ","Graphics/Faces/magistans_fc1","0","Graphics/Battlers/50_m_fairy_st01","","","魔法皮克西","魔法学院高级生"
"204","カマキリ娘","4","1/4（25.00%）","234","マティス","Graphics/Faces/kamakiri_fc1","0","Graphics/Battlers/50_kamakiri_st01","","","螳螂娘","玛蒂斯"
"205","カイコ娘","4","1/4（25.00%）","235","シルク","Graphics/Faces/kaiko_fc1","0","Graphics/Battlers/50_kaiko_st01","","","蚕娘","丝露库"
"206","アルラ・アルム","4","1/4（25.00%）","236","プランツイン","Graphics/Faces/plantwin_fc1","0","Graphics/Battlers/50_a_alm_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","阿娜・阿尔姆","植物双胞胎"
"208","アルラ・ボア","4","1/4（25.00%）","237","アルプランツ","Graphics/Faces/alplants_fc1","0","Graphics/Battlers/50_a_vore_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","阿娜・吞噬藤","阿娜温们"
"216","モス娘","4","1/4（25.00%）","243","インセクツ","Graphics/Faces/insects_fc1","0","Graphics/Battlers/50_moss_st01","","","蛾娘","昆虫娘们"
"219","スズメバチ娘","3","1/3（33.33%）","244","ビー","Graphics/Faces/suzumebati_fc1","0","Graphics/Battlers/80_suzumebati_st01","","","胡蜂娘","蜜蜂"
"225","ジェリー娘","4","1/4（25.00%）","246","ジェリル","Graphics/Faces/jelly_fc1","0","Graphics/Battlers/50_jelly_st01","","","果冻娘","杰里尔"
"226","ブロブ娘","4","1/4（25.00%）","247","ブロブ","Graphics/Faces/blob_fc1","0","Graphics/Battlers/50_blob_st01","","","粘体娘","布洛布"
"230","パープルスライム","5","1/5（20.00%）","248","スライミーズ","Graphics/Faces/slime_purple_fc1","3","Graphics/Battlers/50_slime_purple_st01","","Graphics/Pictures/ct_slimes1","紫史莱姆","史莱姆们"
"233","アリ娘","3","1/3（33.33%）","249","アント","Graphics/Faces/ant_fc1","0","Graphics/Battlers/80_ant_st11","","","蚁娘","蚂蚁"
"234","オートマータ娘","2","1/2（50.00%）","250","コッペリア","Graphics/Faces/artm_fc1","0","Graphics/Battlers/50_artm_st01","","Graphics/Pictures/ct_artm1","自动机娘","科佩利亚"
"235","パイズリ人形","4","1/4（25.00%）","251","パイン","Graphics/Faces/paizuridoll_fc1","0","Graphics/Battlers/50_paizuridoll_st01","","Graphics/Pictures/ct_paizuridoll1","乳交人偶","阿乳"
"236","スキュラ","3","1/3（33.33%）","252","キューラ","Graphics/Faces/scylla_fc1","0","Graphics/Battlers/50_scylla_st01","","","斯库拉","库拉"
"237","メデューサ","4","1/4（25.00%）","253","デューサ","Graphics/Faces/medusa_fc1","0","Graphics/Battlers/50_medusa_st01","","","美杜莎","杜莎"
"238","あげは娘","4","1/4（25.00%）","254","あげは","Graphics/Faces/ageha_fc1","0","Graphics/Battlers/50_ageha_st01","","","凤蝶娘","凤蝶"
"239","ブロム娘","4","1/4（25.00%）","255","ブルーム","Graphics/Faces/blom_fc1","0","Graphics/Battlers/50_blom_st01","","Graphics/Pictures/ct_blom1","剧毒史莱姆娘","布鲁姆"
"240","ウォーマー","3","1/3（33.33%）","256","エルマ","Graphics/Faces/warmer_fc1","0","Graphics/Battlers/50_warmer_st01","","","沼泽毒尸","艾尔玛"
"241","グール","5","1/5（20.00%）","257","グールズ","Graphics/Faces/gool_fc1","3","Graphics/Battlers/50_gool_st01","","","食尸鬼","食尸鬼群"
"244","フェイクジェリー","5","1/5（20.00%）","258","アルネ","Graphics/Faces/fakejelly_fc1","0","Graphics/Battlers/50_fakejelly_st01","","","假水母","阿尔涅"
"245","ウィングハーピー","4","1/4（25.00%）","259","つばさ","Graphics/Faces/w_hapy_fc1","0","Graphics/Battlers/50_w_hapy_st01","","","翼身哈比","翼"
"246","ナイトハーピー","4","1/4（25.00%）","260","クリス","Graphics/Faces/k_hapy_fc1","0","Graphics/Battlers/50_k_hapy_st01","","","骑士哈比","克莉丝"
"247","マッドゴーレム娘","5","1/5（20.00%）","261","ノーグ","Graphics/Faces/madgolem_fc1","0","Graphics/Battlers/80_madgolem_st01","","","疯狂泥魔像娘","诺格"
"249","ハナビラカマキリ娘","4","1/4（25.00%）","263","ヒナゲシ","Graphics/Faces/h_kamakiri_fc1","0","Graphics/Battlers/50_h_kamakiri_st01","","Graphics/Pictures/ct_h_kamakiri_ct1","兰花螳螂娘","虞美人"
"250","ブラックゴーレム","4","1/4（25.00%）","264","マイス","Graphics/Faces/bgolem_fc1","0","Graphics/Battlers/50_bgolem_st01","Graphics/Pictures/ct_bgolem1","Graphics/Pictures/ct_bgolem1","黑暗魔像","麦丝"
"251","狐獣","4","1/4（25.00%）","265","はるか","Graphics/Faces/kitunezyu_fc1","0","Graphics/Battlers/50_kitunezyu_st01","","","狐兽","遥"
"252","くのいち三尾","4","1/4（25.00%）","266","ミナモ","Graphics/Faces/kunoitisanbi_fc1","0","Graphics/Battlers/50_kunoitisanbi_st01","","","女忍三尾","美奈萌"
"253","もののふ四尾","4","1/4（25.00%）","267","イヅナ","Graphics/Faces/mononohuyonbi_fc1","0","Graphics/Battlers/50_mononohuyonbi_st01","","","武士四尾","伊津奈"
"256","溶岩娘","4","1/4（25.00%）","269","ロミ","Graphics/Faces/yougan_fc1","0","Graphics/Battlers/50_yougan_st01","","","熔岩娘","罗米"
"257","デーモンラミア","4","1/4（25.00%）","270","アルビーナ","Graphics/Faces/lamiad_fc1","0","Graphics/Battlers/50_lamiad_st01","","","恶魔拉米亚","阿尔比娜"
"258","デーモンスキュラ","4","1/4（25.00%）","271","ミリアム","Graphics/Faces/scyllad_fc1","0","Graphics/Battlers/50_scyllad_st01","","","恶魔斯库拉","米莉亚姆"
"259","セイレーン","3","1/3（33.33%）","272","レーネ","Graphics/Faces/seiren_fc1","0","Graphics/Battlers/80_seiren_st01","","","塞壬","蕾涅"
"260","サンゴ娘","5","1/5（20.00%）","273","サンゴ","Graphics/Faces/sango_fc1","0","Graphics/Battlers/50_sango_st01","","","珊瑚娘","珊瑚"
"261","ヒトデ娘","4","1/4（25.00%）","274","アスタ","Graphics/Faces/hitode_fc1","0","Graphics/Battlers/50_hitode_st01","","","海星娘","阿斯塔"
"265","アークジェリー","4","1/4（25.00%）","278","サマンサ","Graphics/Faces/arkjelly_fc1","0","Graphics/Battlers/50_arkjelly_st01","Graphics/Pictures/ct_arkjelly1","Graphics/Pictures/ct_arkjelly1","电弧水母","萨曼莎"
"266","エルダースキュラ","4","1/4（25.00%）","279","オーマ","Graphics/Faces/e_scylla_fc1","0","Graphics/Battlers/80_e_scylla_st01","","Graphics/Pictures/ct_e_scylla1","长老斯库拉","奥玛"
"268","サキュバス","5","1/5（20.00%）","281","ハーレム","Graphics/Faces/succubuses_fc1","0","Graphics/Battlers/80_succubuses_st01","","Graphics/Pictures/ct_succubuses3；Graphics/Pictures/ct_succubuses2；Graphics/Pictures/ct_succubuses1；Graphics/Pictures/ct_succubuses4","魅魔","后宫"
"272","メイキュバス","5","1/5（20.00%）","282","メイ","Graphics/Faces/maycubbus_fc1","0","Graphics/Battlers/50_maycubbus_st01","Graphics/Pictures/ct_maycubbus1","Graphics/Pictures/ct_maycubbus1","女仆魅魔","梅"
"279","マダムインセクト","4","1/4（25.00%）","290","シルヴィア","Graphics/Faces/madaminsect_fc1","0","Graphics/Battlers/50_madaminsect_st01","","","昆虫夫人","希尔维娅"
"280","マダムアンブレラ","4","1/4（25.00%）","291","シャロン","Graphics/Faces/madamumbrella_fc1","0","Graphics/Battlers/50_madamumbrella_st01","","","伞夫人","夏洛特"
"281","アラディア","5","1/5（20.00%）","292","アラディア","Graphics/Faces/aradia_fc1","0","Graphics/Battlers/80_aradia_st01","Graphics/Pictures/ct_aradia2","Graphics/Pictures/ct_aradia2；Graphics/Pictures/ct_aradia1","阿拉迪亚","阿拉迪亚"
"283","バジリスク娘","4","1/4（25.00%）","297","バージリン","Graphics/Faces/basilisk_fc1","0","Graphics/Battlers/80_basilisk_st01","","","鸡蛇娘","巴吉琳"
"284","ドラゴン娘","4","1/4（25.00%）","298","グランテ","Graphics/Faces/dragon_fc1","0","Graphics/Battlers/80_dragon_st01","Graphics/Pictures/ct_dragon1","Graphics/Pictures/ct_dragon1","龙娘","格兰特"
"287","ゼラチナスキューブ娘","5","1/5（20.00%）","299","マージュ","Graphics/Faces/gelatinous_fc1","0","Graphics/Battlers/50_gelatinous_st01","Graphics/Pictures/ct_gelatinous1","Graphics/Pictures/ct_gelatinous1","凝胶立方娘","玛吉"
"288","妖鬼","4","1/4（25.00%）","300","くれは","Graphics/Faces/youki_fc1","0","Graphics/Battlers/50_youki_st01","Graphics/Pictures/ct_youki1","Graphics/Pictures/ct_youki1","妖鬼","克蕾雅"
"289","虎娘","5","1/5（20.00%）","301","虎南","Graphics/Faces/tora_fc1","0","Graphics/Battlers/50_tora_st01","","","虎娘","虎南"
"290","ヴァンパイア","3","1/3（33.33%）","302","ヴィルヘルミナ","Graphics/Faces/vampire_fc1","0","Graphics/Battlers/80_vampire_st01","","","吸血鬼","维尔赫尔米娜"
"291","ジェライラ","5","1/5（20.00%）","303","ジェライラ","Graphics/Faces/jeraira_fc1","0","Graphics/Battlers/50_jeraira_st01","","","杰莱拉","杰莱拉"
"292","リボ・リボ","5","1/5（20.00%）","304","リボ・リボ","Graphics/Faces/libolibo_fc1","0","Graphics/Battlers/50_libolibo_st01","","","莉波・莉波","莉波・莉波"
"293","アンフィル","5","1/5（20.00%）","305","アンフィル","Graphics/Faces/anfill_fc1","0","Graphics/Battlers/50_anfill_st01","","Graphics/Pictures/ct_anfill1","安菲尔","安菲尔"
"294","ツィンケル","5","1/5（20.00%）","306","ツィンケル","Graphics/Faces/twinkel_fc1","0","Graphics/Battlers/80_twinkel_st01","","Graphics/Pictures/ct_twinkel1","辛克尔","辛克尔"
"299","シーアネモネ","4","1/4（25.00%）","307","アネモ","Graphics/Faces/seaanemone_fc1","0","Graphics/Battlers/50_seaanemone_st01","","","海百合","海百合"
"300","水龍娘","5","1/5（20.00%）","308","みお","Graphics/Faces/suiryu_fc1","0","Graphics/Battlers/50_suiryu_st01","","","水龙娘","美绪"
"301","マンタ娘","5","1/5（20.00%）","309","オーシャン","Graphics/Faces/manta_fc1","0","Graphics/Battlers/80_manta_st01","Graphics/Pictures/ct_manta1","Graphics/Pictures/ct_manta1","蝠鲼娘","奥珊"
"302","イッカク娘","5","1/5（20.00%）","310","ホルン","Graphics/Faces/ikkaku_fc1","0","Graphics/Battlers/80_ikkaku_st01","","","独角鲸娘","霍恩"
"303","トリックフェアリー","5","1/5（20.00%）","311","シシリー","Graphics/Faces/trickfairy_fc1","0","Graphics/Battlers/50_trickfairy_st01","","","捣蛋小仙子","希希莉"
"304","アマゾネスエルフ","4","1/4（25.00%）","312","サン","Graphics/Faces/amazoneself_fc1","0","Graphics/Battlers/50_amazoneself_st01","","Graphics/Pictures/ct_amazoneself1","亚马逊精灵","桑"
"305","カーバンクル娘","4","1/4（25.00%）","313","カルカナ","Graphics/Faces/carbuncle_fc1","0","Graphics/Battlers/50_carbuncle_st01","","","卡班克尔娘","卡尔卡娜"
"306","ジャイガンテック娘","5","1/5（20.00%）","314","ジェイム","Graphics/Faces/gigantic_fc1","0","Graphics/Battlers/80_gigantic_st01","Graphics/Pictures/ct_gigantic1","Graphics/Pictures/ct_gigantic1","巨人娘","杰姆"
"309","フォレストアルラウネ","4","1/4（25.00%）","317","アリア","Graphics/Faces/f_alraune_fc1","0","Graphics/Battlers/50_f_alraune_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","森林阿娜温","阿莉亚"
"310","フォレストドリアード","4","1/4（25.00%）","318","ラシェル","Graphics/Faces/f_dryad_fc1","0","Graphics/Battlers/50_f_dryad_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","森林树精","拉谢尔"
"311","ワルラウネ","4","1/4（25.00%）","319","ベラドンナ","Graphics/Faces/walraune_fc1","3","Graphics/Battlers/80_walraune_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","恶娜温","贝拉多娜"
"312","ドリアード","3","1/3（33.33%）","320","ドリア","Graphics/Faces/dryad_fc1","0","Graphics/Battlers/50_dryad_st01","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","树精","多莉亚"
"313","ドリアード","3","1/3（33.33%）","321","ドリエ","Graphics/Faces/dryad_fc1","4","Graphics/Battlers/50_dryad_st11","","Graphics/Pictures/ct_tuta1；Graphics/Pictures/ct_tuta2；Graphics/Pictures/ct_utubo2；Graphics/Pictures/ct_haetori2","树精","多莉耶"
"316","ナイトマーメイド","3","1/3（33.33%）","324","メリル","Graphics/Faces/knight_mermaid_fc1","0","Graphics/Battlers/50_knight_mermaid_st01","","","骑士人鱼","梅莉尔"
"317","ジェネラルマーメイド","4","1/4（25.00%）","325","ジェシー","Graphics/Faces/g_marmaid_fc1","0","Graphics/Battlers/50_g_mermaid_st01","","","将军人鱼","杰西"
"318","ローレライ","3","1/3（33.33%）","326","ハイネ","Graphics/Faces/loreley_fc1","0","Graphics/Battlers/80_loreley_st01","","","罗蕾莱","海涅"
"321","アラクネ","5","1/5（20.00%）","330","アラクネーズ","Graphics/Faces/arachnes_fc1","0","Graphics/Battlers/50_arachnes_st01","","Graphics/Pictures/ct_arachnes1","阿拉克涅","阿拉克涅集团"
"324","あやし土蜘蛛","5","1/5（20.00%）","331","ミズキ","Graphics/Faces/tutigumo_fc1","0","Graphics/Battlers/80_tutigumo_st11","Graphics/Pictures/ct_tutigumo1","Graphics/Pictures/ct_tutigumo1","诡怪土蜘蛛","水木"
"325","アラクネロード","5","1/5（20.00%）","332","アラーニェ","Graphics/Faces/alakneload_fc1","0","Graphics/Battlers/50_alakneload_st01","","","阿拉克涅领主","阿拉涅"
"326","アトラク＝ナクア","5","1/5（20.00%）","333","ナクア","Graphics/Faces/atlach_fc1","0","Graphics/Battlers/80_atlach_st02","","","阿特拉克・纳克亚","纳克亚"
"328","コンキスタ","4","1/4（25.00%）","335","エビータ","Graphics/Faces/conquista_fc1","0","Graphics/Battlers/50_conquista_st01","Graphics/Pictures/ct_conquista1","Graphics/Pictures/ct_conquista1","征服者","艾薇塔"
"329","ヴェンデッタ","4","1/4（25.00%）","336","アンヘラ","Graphics/Faces/vendetta_fc1","0","Graphics/Battlers/50_vendetta_st01","Graphics/Pictures/ct_vendetta1","Graphics/Pictures/ct_vendetta1","仇杀者","安吉拉"
"330","エルダーヴァンパイア","4","1/4（25.00%）","337","ヴァルヘルト","Graphics/Faces/e_vampire_fc1","0","Graphics/Battlers/80_e_vampire_st01","","","长老吸血鬼","瓦尔赫尔特"
"334","マスターシャドウ","4","1/4（25.00%）","342","エスメラルダ","Graphics/Faces/m_shadow_fc1","0","Graphics/Battlers/50_m_shadow_st01","","","幽影之主","艾斯梅拉达"
"335","煙々羅","5","1/5（20.00%）","343","夕霧","Graphics/Faces/enenra_fc1","1","Graphics/Battlers/50_enenra_st11","Graphics/Pictures/ct_enenra1","Graphics/Pictures/ct_enenra1","烟烟罗","夕雾"
"336","麒麟","5","1/5（20.00%）","344","キリン","Graphics/Faces/kirin_fc1","0","Graphics/Battlers/80_kirin_st02","","Graphics/Pictures/ct_kirin1","麒麟","绮铃"
"337","蛇骨女","5","1/5（20.00%）","345","蛇骨殿","Graphics/Faces/zyakotuonna_fc1","0","Graphics/Battlers/50_zyakotuonna_st01","","","蛇骨女","蛇骨殿"
"338","ベヒーモス娘","3","1/3（33.33%）","346","ベヒーナ","Graphics/Faces/behemoth_fc1","0","Graphics/Battlers/80_behemoth_st01","","","贝希摩斯娘","贝希娜"
"339","ワイバーン","4","1/4（25.00%）","347","ワーバイン","Graphics/Faces/wyvern_fc1","0","Graphics/Battlers/80_wyvern_st01","","","飞龙","瓦尔拜因"
"340","巨竜娘","4","1/4（25.00%）","348","ぎが","Graphics/Faces/kyoryuu_fc1","0","Graphics/Battlers/80_kyoryuu_st01","Graphics/Pictures/ct_kyoryuu1","Graphics/Pictures/ct_kyoryuu1","巨龙娘","巍峨"
"341","モンクサキュバス","4","1/4（25.00%）","349","エルザ","Graphics/Faces/monk_sucubuss_fc1","0","Graphics/Battlers/50_monk_sucubuss_st01","Graphics/Pictures/ct_monk_sucubuss1","Graphics/Pictures/ct_monk_sucubuss1","僧侣魅魔","厄萨"
"342","モンクデーモン","4","1/4（25.00%）","350","アニー","Graphics/Faces/monk_demon_fc1","0","Graphics/Battlers/50_monk_demon_st01","Graphics/Pictures/ct_monk_demon1","Graphics/Pictures/ct_monk_demon1","僧侣恶魔","安妮"
"343","スキュラサーバント","5","1/5（20.00%）","351","セシール","Graphics/Faces/scylla_s_fc1","0","Graphics/Battlers/50_scylla_s_st01","Graphics/Pictures/ct_scylla_s1","Graphics/Pictures/ct_scylla_s1","斯库拉女仆","塞西尔"
"344","ヴィーヴル娘","5","1/5（20.00%）","352","ヴィーヴィー","Graphics/Faces/vouivre_fc1","0","Graphics/Battlers/50_vouivre_st01","Graphics/Pictures/ct_vouivre1","Graphics/Pictures/ct_vouivre1","薇薇尔娘","薇薇"
"351","氷の魔女","5","1/5（20.00%）","353","イルマ","Graphics/Faces/icemaze_fc1","0","Graphics/Battlers/50_icemaze_st01","","","冰之魔女","艾尔玛"
"352","シロクマ娘","3","1/3（33.33%）","354","クヌート","Graphics/Faces/shirokuma_fc1","0","Graphics/Battlers/50_shirokuma_st01","Graphics/Pictures/ct_shirokuma1","Graphics/Pictures/ct_shirokuma1","白熊娘","克努特"
"353","天使兵","3","1/3（33.33%）","355","エンジェルズ","Graphics/Faces/angels_fc1","0","Graphics/Battlers/50_angels_st01","","Graphics/Pictures/ct_angels1","天使兵","天使们"
"358","トリニティ","5","1/5（20.00%）","356","トリニティ","Graphics/Faces/trinity_fc1","3","Graphics/Battlers/50_trinity_st01","","Graphics/Pictures/ct_trinity1","三位一体","三位一体"
"361","ウラヌス","5","1/5（20.00%）","357","ウラヌス","Graphics/Faces/uranus_fc1","0","Graphics/Battlers/50_uranus_st01","","","乌拉诺斯","乌拉诺斯"
"362","エリシエル","5","1/5（20.00%）","358","エリシエル","Graphics/Faces/erisiel_fc1","0","Graphics/Battlers/50_ediniel_st01","","","伊利西艾尔","伊利西艾尔"
"363","キューピッド","3","1/3（33.33%）","359","キューピー","Graphics/Faces/cupid_fc1","0","Graphics/Battlers/50_cupid_st01","","","丘比特","丘比"
"364","ヴァルキリー","3","1/3（33.33%）","360","ヴィクトリア","Graphics/Faces/valkyrie_fc1","0","Graphics/Battlers/50_valkyrie_st01","","","瓦尔基里","维多利亚"
"366","ヘリエル","5","1/5（20.00%）","361","ヘリエル","Graphics/Faces/heriel_fc1","0","Graphics/Battlers/80_heriel_st01","","","海莉艾尔","海莉艾尔"
"367","アルシエル","5","1/5（20.00%）","362","アルシエル","Graphics/Faces/arusiel_fc1","0","Graphics/Battlers/80_arusiel_st11","","","艾尔西艾尔","艾尔西艾尔"
"373","キメラビースト","4","1/4（25.00%）","363","がぶり","Graphics/Faces/c_beast_fc1","0","Graphics/Battlers/50_c_beast_st01","","","奇美拉兽","伽捕"
"374","S-2","4","1/4（25.00%）","364","あわわ","Graphics/Faces/c_s2_fc1","0","Graphics/Battlers/50_c_s2_st01","","","S-2","阿哇哇"
"375","A-3","4","1/4（25.00%）","365","ぱたぱた","Graphics/Faces/c_a3_fc1","0","Graphics/Battlers/50_c_a3_st01","","","A-3","啪嗒啪嗒"
"376","AD-5","4","1/4（25.00%）","366","まっきー","Graphics/Faces/AD-5_fc1","0","Graphics/Battlers/50_AD-5_st01","","","AD-5","玛奇"
"377","Q-5","5","1/5（20.00%）","367","ぐるる","Graphics/Faces/q_5_fc1","0","Graphics/Battlers/50_q_5_st01","","","Q-5","咕噜噜"
"462","サキュバス","4","1/4（25.00%）","829","リリン","Graphics/Faces/succubusq_fc1","0","Graphics/Battlers/50_succubusq_st01","","","魅魔","莉莉恩"
"492","サキュバス","4","1/4（25.00%）","831","アヤネ","Graphics/Faces/succubusj_fc1","0","Graphics/Battlers/50_succubusj_st01","Graphics/Pictures/ct_succubusj1","Graphics/Pictures/ct_succubusj1","魅魔","绫音"
"494","サキュバス","4","1/4（25.00%）","830","メア","Graphics/Faces/succubusm_fc1","0","Graphics/Battlers/50_succubusm_st01","","","魅魔","梅亚"
"502","コックローチ娘","2","1/2（50.00%）","404","クローナ","Graphics/Faces/cockroacha_fc1","0","Graphics/Battlers/50_cockroacha_st01","","","蟑螂娘","克萝娜"
"503","スピードローチ","3","1/3（33.33%）","405","ローファ","Graphics/Faces/cockroachb_fc1","0","Graphics/Battlers/50_cockroachb_st01","","","迅捷蟑螂","乐福"
"507","マジックポット","2","1/2（50.00%）","407","ポトフ","Graphics/Faces/magicpot_fc1","0","Graphics/Battlers/80_magicpot_st01","","","魔法壶","波托夫"
"508","豆狸","1","1/1（100.00%）","408","ぽんぽこ","Graphics/Faces/mametanuki_fc1","0","Graphics/Battlers/50_mametanuki_st01","","","豆狸","蓬蓬可"
"509","上狸","3","1/3（33.33%）","409","たぬぽん","Graphics/Faces/zyoutanuki_fc1","0","Graphics/Battlers/50_zyoutanuki_st01","","","上狸","狸咚"
"510","忍狸","3","1/3（33.33%）","410","どろん","Graphics/Faces/shinobitanuki_fc1","0","Graphics/Battlers/50_shinobitanuki_st01","","","忍狸","忽隆"
"511","化け狸","3","1/3（33.33%）","411","望月","Graphics/Faces/baketanuki_fc1","0","Graphics/Battlers/50_baketanuki_st01","","","化狸","望月"
